ID,ATP5F1B,GATA6,GM2A,ITGB6,OVGP1,PLAGL1,SLC8A2,XRCC4,OGFR,WDR37
GSM283327,0.898417694,-2.463537481,0.382409786,-0.493120043,0.819281785,-2.868997453,0.129508539,0.341944201,1.506351325,0.830828758
GSM283328,1.245091803,-4.038350428,1.994906721,-0.058752984,0.342389414,-2.963750563,-0.753148268,0.54922503,1.561585846,1.118566511
GSM283329,0.303597116,0.918470718,1.174737574,-0.015016827,1.181910645,1.732595318,1.226399595,1.981218809,1.811160899,0.902367264
GSM283330,0.899542061,-3.963986491,1.646898362,0.634821233,-0.931656323,-3.559028369,-1.514036337,0.492171425,1.296508481,1.630697855
GSM283331,-0.048122842,0.696481924,0.926262143,-0.712285331,0.280921359,1.711468947,1.550510626,-0.296388562,2.094871077,2.212705807
GSM283332,0.761425341,-3.295470726,1.375426802,1.006157862,0.070538388,-1.957482894,NA,1.180624692,0.81825054,0.814958135
GSM283333,0.293374065,1.360673419,0.657557317,0.533134624,0.716238244,1.834048246,1.558826867,0.74844566,1.708874428,1.966250756
GSM283334,-0.035078503,-1.928043686,0.772776921,0.354090303,1.018954583,0.41922334,1.070795918,1.420671757,2.140374617,2.526498507
GSM283335,0.023989537,1.888047954,1.051641688,-0.334131575,0.212021733,3.108531931,1.483711187,0.930096497,1.527171754,1.262066211
GSM283336,0.265558439,0.030426138,1.556263224,-0.219726937,-0.187728098,0.424084238,0.435693798,0.264310942,-0.274352086,0.165630477
GSM283337,-0.664630745,1.402876495,0.10994601,-0.751291912,0.143650273,1.217413897,1.076574088,0.2629557,1.236440481,1.965388856
GSM283338,0.732543838,-1.847447113,0.633637866,-0.324244627,0.456358698,-2.493117105,0.535160719,0.989276826,3.021521105,0.633637866
GSM283339,-0.129691553,0.637438432,1.26211375,-0.213149393,0.465443756,1.131638224,0.887864577,-0.098229171,3.067009242,1.591330239
GSM283340,-0.026995204,2.75648813,0.897477122,-0.607840413,0.521561719,1.593702622,1.242609387,0.60046454,1.276080067,1.902561283
GSM283341,-0.427050674,2.322435495,1.099761697,-0.336726179,0.33734365,2.628834057,1.359799782,0.79947341,0.576777013,0.542591234
GSM283342,-0.775590429,2.904261108,0.140869686,-0.549480761,0.45706124,2.045727807,1.839679825,0.290500554,0.969299257,1.283235059
GSM283343,-0.014868193,1.656185252,-0.247307616,-0.069199469,-0.046685839,1.91978323,-0.379516816,0.780579882,0.483671492,0.96934025
GSM283344,-0.666346459,2.067251933,0.358373237,-0.535665814,-0.349946841,2.120323476,0.698381647,-0.072416943,0.628422094,0.84295143
GSM283345,-0.321996963,-0.153704031,2.062732857,0.082426679,NA,0.164098408,-0.17727315,0.827358572,-0.05018135,1.43113465
GSM283346,0.141844686,-2.546313799,2.754061803,0.473786643,-0.608570925,-3.311954929,0.339970265,1.347212533,-0.672782802,-0.262027857
GSM283347,-0.066230038,2.465827454,0.473698187,-0.323277428,-0.014336035,1.767052122,-0.661862132,0.87402002,0.871789139,0.646416281
GSM283348,-0.440273258,-3.529175672,2.224609345,0.481859599,-0.905770025,-3.155154409,-0.997350431,0.849956713,-0.656177107,-0.75717126
GSM283349,0.160189944,1.95460712,0.105070616,-0.403318608,-0.204138005,1.962917544,-0.402359841,0.305282825,-0.491960918,0.851426593
GSM283350,0.266625936,1.828923469,1.496691426,-0.682975715,-0.080675359,2.397866401,-0.907674078,0.373402733,-0.40885853,1.709695389
GSM283351,-0.413831106,2.955550403,0.614580694,-0.027927844,0.031245541,2.514156209,-2.267239946,0.511272294,0.516665783,0.543206
GSM283352,-0.467829625,-3.571986501,0.952167751,-0.369842844,3.680139645,-1.237248704,-0.557128008,0.266719383,-0.364513787,1.61981849
GSM283353,0.259194976,-2.829515172,1.394232911,0.249773608,-0.43156562,-1.755123107,-0.985704286,0.757373389,0.478691151,1.113850388
GSM283354,-0.06344685,-3.732672189,1.230909477,0.37167967,-0.585440199,-2.853883017,-1.107666961,0.494910246,1.165999636,0.641355699
GSM283355,0.226452177,-1.764169277,1.814368048,0.488240154,-0.068899006,-1.026182212,-0.380772792,0.295244672,-0.653503951,0.516647639
GSM283356,1.061524966,-1.951646,1.527978945,0.563702302,-0.047315607,-1.220597844,-1.356355445,1.520994611,1.843277434,0.262983057
GSM283357,-0.565309026,2.598385419,0.713079522,-0.32848833,0.278646433,2.262970965,0.385196808,1.202751225,NA,1.193312056
GSM283358,0.398889494,-1.599384563,0.588383561,0.010609897,-0.395739616,-0.798943689,-0.046030288,0.445376792,0.224751823,0.166734317
GSM283359,-0.137903922,2.721670695,0.685036273,-1.022778192,0.234349152,2.151564899,-3.778698235,0.710113328,0.977905759,1.418047517
GSM283360,0.864480477,2.208697424,3.50311315,-0.270127682,0.363619538,2.356848541,-0.21499182,0.782871021,0.20850794,1.426340062
GSM283363,0.660190491,-4.167918176,-0.041504345,-0.244955613,-0.900833103,-3.488287348,-0.021019505,-0.350098632,-0.127821568,-1.062791198
GSM283364,NA,-2.950605599,-1.210986065,-0.005422718,0.762600205,-3.042833703,-0.778055976,-0.606221007,-0.433787159,NA
GSM283365,-0.648926631,-1.488687101,-0.125551311,-0.140196575,0.515793591,-1.067659929,0.793648496,0.041721905,0.444273053,0.765422117
GSM283366,-0.247937775,-2.225382791,1.320879357,0.581730723,0.260526632,-0.70610873,0.349495981,1.5638271,-0.000113485,0.155116337
GSM283367,0.488995739,2.427800719,0.447910695,0.037645155,-0.279621816,4.186436291,0.095478876,0.474465776,0.956136817,0.128482459
GSM283368,0.602997466,-1.083114941,-1.476712727,0.03847914,-0.314178514,-0.838875521,-0.433853169,-0.094280832,0.261154203,-0.818360733
GSM283369,-0.029825646,-2.622098313,1.201345675,-0.260194284,-0.479200853,-1.482625647,-3.127548612,0.460605794,-0.175541856,0.853948194
GSM283370,-0.38260605,0.773963891,-0.10635868,-0.559894455,1.067989273,1.11207716,0.48959984,0.100816965,1.41825595,1.67314683
GSM283371,0.388555072,2.730138309,0.658942994,0.166154899,0.246954593,2.711315239,0.013830841,0.693570967,0.361854952,1.278282941
GSM283372,-1.435116322,3.267977813,-0.266747993,-0.50611152,0.947714899,1.644964111,0.904063417,0.11220969,0.949707864,0.739977538
GSM283373,-0.347281235,-2.290939453,0.466765105,-0.884444477,0.580815426,-2.44845644,-0.268804189,0.007823713,1.547244968,2.110098996
GSM283374,-1.962759497,-0.657666792,1.370080821,-2.204188606,0.803870683,-0.482517516,1.400564936,0.501020563,2.063824525,1.005517475
GSM283375,0.461823094,2.977255443,0.917992773,1.229646425,0.270152136,3.211168209,0.37768123,0.49292209,1.48341422,0.081108648
GSM283376,-1.67710051,2.919336838,-0.4220674,-1.108334881,0.906999271,2.369242518,0.925051077,-0.560528378,1.158785708,1.102590123
GSM283377,0.004987763,0.219097996,0.845952817,0.405114471,0.078313522,1.498698898,-1.602989187,0.362595091,2.077743124,0.332075962
GSM283378,-0.224899219,-2.967069269,-0.469497116,-0.373316469,0.097643653,-3.24424779,0.399979612,-0.258790647,-0.304465711,1.190966115
GSM283379,0.339661683,3.037651489,0.29425673,-0.316065931,0.032820774,2.495107388,0.809228427,-0.106677954,0.655002162,0.883153656
GSM283380,0.400589755,1.355740515,1.04962054,-0.038238384,0.645376826,2.634968546,1.438078587,0.358905238,1.937229916,1.136943774
GSM283381,-0.189855755,-4.626358415,2.990104517,0.530069939,-0.423623604,-3.303530438,-0.590202686,0.756390182,-0.466571359,-0.739634185
GSM283382,0.272085419,3.748140776,0.69113676,0.115363949,0.716922851,3.031862707,0.365404679,0.650701745,1.154927145,0.555360075
GSM283383,-0.430676467,-4.130989778,1.597014748,0.791902249,-0.402202024,-3.67549718,-0.096073151,1.422376538,-0.226189877,-0.75739831
GSM283384,-0.061347089,-3.090456587,0.028578614,0.946834774,-0.772304895,-3.312185165,-0.455649274,0.836729183,-0.299958258,0.060557875
GSM283396,0.042717842,-4.285505454,-1.897148789,-0.210354626,0.266863858,-3.543499706,NA,0.582697001,-0.105160369,-0.302843018
GSM283397,-0.068660075,0.987488243,-2.336282489,-0.543371509,0.557449294,1.395733544,0.11148215,0.289434385,0.134918852,-0.005793658
GSM283398,-0.45631177,2.453197064,-2.310250616,-0.610775042,-0.00783663,2.750663258,-0.227963948,-0.109009903,0.512902418,1.152301935
GSM283399,0.362825827,-3.873347148,2.946685981,0.437419954,-0.783737439,-3.030394464,-0.389240886,0.561288514,-0.922667406,-0.662894609
GSM283400,-0.907907929,4.061901863,-1.733049209,-1.005081046,0.038883966,3.824540744,-0.185378083,-0.144509086,0.6628919,0.23066431
GSM283401,-1.14455527,3.713028614,-1.698774039,-1.181998114,0.199383129,3.074952403,0.365367945,0.151677685,0.59683882,-0.095171766
GSM283402,0.052219645,-3.876328765,3.266565652,0.225849777,-0.591684736,-3.789240845,-0.826367285,0.930423729,-0.632367964,-0.583869926
GSM283403,-1.369144159,4.875735729,-4.549429589,-0.547859518,1.093070127,3.312271874,0.702152409,0.286399443,1.306687805,0.939454778
GSM283404,-0.159040025,-3.493829854,2.267441877,0.840806979,-0.291498874,-3.568458696,-0.584303674,0.878128163,-0.410999922,-0.287605372
GSM283405,-0.912092676,4.310604052,-0.925060365,-1.404207537,0.681351843,3.269635164,1.270109891,0.920172248,1.514117111,1.460088199
GSM283406,0.102894655,-1.192346293,3.393925908,0.333016289,-0.4219618,-1.243133376,-1.411919612,0.888031369,-0.714265641,-0.278587264
GSM283407,-0.483622808,-5.04284263,-1.07811516,-0.332000259,-1.091212945,NA,NA,-0.586048529,-0.283377327,1.142286983
GSM283408,0.022706232,-0.785763078,2.898606117,0.239467909,-0.642169793,-0.405168553,-1.466237298,0.822127928,-0.954909396,-0.483978605
GSM283409,0.222161402,NA,NA,-0.242676575,2.112099058,NA,0.150816467,-0.476234705,0.407158696,1.38137598
GSM283410,-0.265169731,-0.449286208,2.463963594,0.248676617,-0.902110036,-0.217856419,-0.758732153,0.660171223,-0.42824643,-0.284316008
GSM283411,0.077341297,-0.047745677,-1.51195405,-0.245113846,0.38120668,0.254250763,-0.789554376,-0.283320161,0.04034139,1.619384391
GSM283412,-0.429178399,0.388166827,1.068244812,0.183838641,-0.817001667,0.377184278,-0.712425424,1.01809675,-0.313608158,-0.486732872
GSM283413,0.238021049,-1.334012631,3.153094537,-0.003690313,-0.787443496,-1.087756229,-1.392736875,1.254747242,-0.866217084,-0.641104342
GSM283414,-0.258506945,-4.068887217,3.075835774,0.024011999,-0.54879582,-3.541375426,-0.43755852,1.359832826,-0.634186135,2.026804423
GSM283416,0.012350362,-3.255039921,2.28763753,0.513466353,-0.761454564,-3.249319025,-0.786168605,1.563042169,-0.176164875,0.170973077
