Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GW-8510 MCF7 DOWN	7/1290	1.0486397381373928E-5	1.0647726571856604E-4	0	0	14.57755261106781	167.1379327680792	CCNA2;CDC20;SMAD4;CCNB1;BUB1B;KIF11;AURKA
etoposide CTD 00005948	5/461	1.0732845857878821E-5	1.0732845857878821E-4	0	0	23.79385964912281	272.2541439935991	CCNA2;CCNB1;UBE2C;BUB1B;BUB1
Belinostat CTD 00004313	3/64	1.1092402840183206E-5	1.0926844588837188E-4	0	0	89.08345752608048	1016.3754478268571	CCNA2;CCNB1;AURKA
GW-8510 PC3 DOWN	7/1312	1.1723862337139778E-5	1.1379042856635666E-4	0	0	14.314942528735632	162.53020090538752	CCNA2;CCNB2;SMAD4;CCNB1;BUB1B;KIF11;AURKA
glibenclamide HL60 DOWN	7/1333	1.301694039098432E-5	1.2450986460941523E-4	0	0	14.072398190045249	158.30405117209133	CDC20;CCNB1;RRM2;UBE2C;KIF11;BUB1;AURKA
EINECS 250-892-2 CTD 00001193	4/223	1.3795199440408478E-5	1.3006902329527995E-4	0	0	36.104109589041094	404.04794632711804	RRM2;TXNRD1;BUB1B;AURKA
Dasatinib CTD 00004330	5/502	1.620773063519425E-5	1.506634115384254E-4	0	0	21.785155376704672	240.29074808570502	CDC20;RRM2;BUB1B;BUB1;AURKA
8-azaguanine HL60 DOWN	6/897	1.7628912801108003E-5	1.6159836734349E-4	0	0	16.07323232323232	175.93712252613145	CCNA2;CDC20;CCNB1;BUB1B;KIF11;BUB1
curcumin CTD 00000663	5/528	2.0677449024771462E-5	1.866167086460885E-4	0	0	20.674527299766307	223.0051037849565	CCNA2;CDC20;CCNB1;UBE2C;TXNRD1
ANTIMONY CTD 00005424	3/79	2.0923691575470528E-5	1.866167086460885E-4	0	0	71.44736842105263	769.8188500955687	CCNB2;UBE2C;TXNRD1
fisetin PC3 DOWN	5/541	2.324655904367017E-5	2.0456971958429752E-4	0	0	20.15961857379768	215.09009567874745	CCNA2;CCNB1;BUB1B;KIF11;AURKA
Tetradioxin CTD 00006848	10/3768	2.64448165808062E-5	2.29543151392041E-4	0	0	10.79563597658329	113.79086543259997	CCNA2;CDC20;CCNB2;RRM2;CTBP2;UBE2C;TXNRD1;KIF11;BUB1;AURKA
0175029-0000 MCF7 DOWN	7/1488	2.678003432907145E-5	2.29543151392041E-4	0	0	12.4949358541526	131.54485960983305	CCNA2;SMAD4;CCNB1;RRM2;CTBP2;KIF11;AURKA
Enterolactone CTD 00001393	6/971	2.7665425184071003E-5	2.3353153664008798E-4	0	0	14.783160621761658	155.1541064850851	CCNB2;CCNB1;RRM2;BUB1B;KIF11;AURKA
ANTIMONY POTASSIUM TARTRATE CTD 00005425	3/87	2.795301726449538E-5	2.3353153664008798E-4	0	0	64.61688311688312	677.5070768475873	CCNB2;UBE2C;TXNRD1
DENSPM CTD 00002486	2/13	3.533413970382075E-5	2.87907804994095E-4	0	0	302.6515151515151	3102.378062063868	CCNA2;CCNB1
roscovitine TTD 00010683	2/13	3.533413970382075E-5	2.87907804994095E-4	0	0	302.6515151515151	3102.378062063868	CCNA2;CCNB1
hydroxyurea CTD 00006132	3/96	3.75406132297874E-5	3.021561552641425E-4	0	0	58.33724340175953	594.4615967797359	CCNA2;CCNB1;UBE2C
7646-79-9 CTD 00000928	9/3094	4.775459651664808E-5	3.7973534579503293E-4	0	0	9.861199351701783	98.1133642748001	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;KIF11;BUB1;AURKA
ZINC CTD 00007011	7/1642	5.0811188424743465E-5	3.992307661944129E-4	0	0	11.223853211009175	110.97465870515227	CCNA2;CDC20;CCNB2;UBE2C;TXNRD1;BUB1;AURKA
Calpain inhibitor I CTD 00002578	2/17	6.15100567126949E-5	4.7760749918092507E-4	0	0	221.9	2151.6111607602743	CDC20;CCNB1
caffeine CTD 00005556	3/115	6.436543887790155E-5	4.93967321621105E-4	0	0	48.39448051948052	467.0519245023926	CCNB1;TXNRD1;BUB1
menadione CTD 00007386	6/1140	6.837314815873373E-5	5.186928481007386E-4	0	0	12.468253968253968	119.5771684829399	CCNA2;CCNB2;CTBP2;UBE2C;TXNRD1;BUB1
Tylophorine CTD 00000134	2/18	6.917121064943945E-5	5.187840798707958E-4	0	0	208.02083333333334	1992.6161300549122	CCNA2;CCNB1
Chromium(VI) CTD 00002830	3/130	9.268809925594699E-5	6.856601294487354E-4	0	0	42.64638511095204	396.02586682534917	CCNB1;BUB1B;BUB1
MERCURY CTD 00006274	4/364	9.34991085611912E-5	6.856601294487354E-4	0	0	21.80666666666667	202.3126290879146	CCNB2;UBE2C;TXNRD1;BUB1
Nobiletin CTD 00000424	2/21	9.482727286527288E-5	6.87758242759122E-4	0	0	175.14912280701753	1622.4857549732908	CCNA2;KIF11
sodium azide CTD 00007311	2/22	1.0426836797847276E-4	7.480122050629568E-4	0	0	166.38333333333333	1525.49266647988	CCNA2;CCNB1
