Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
celecoxib CTD 00003448,0.072851904,0.100112616,0,0,14.4,37.71830323,CCNB1
camptothecin CTD 00005566,0.073458065,0.100728977,0,0,14.27514368,37.27297949,CCNB1
HG-5-113-01 LINCS,0.07406386,0.101342198,0,0,14.15242165,36.83631353,AURKA
azacyclonol HL60 DOWN,0.074489396,0.101706676,0,0,5.002204643,12.99121815,CTBP2;BUB1
SELENIUM CTD 00006731,0.074994206,0.102177607,0,0,3.553534704,9.20487879,CCNB1;CTBP2;TXNRD1
CP466722 LINCS,0.075274353,0.102341088,0,0,13.91316527,35.9880131,AURKA
valproic acid MCF7 DOWN,0.075879052,0.102944191,0,0,13.79652778,35.57592839,CCNA2
15-delta prostaglandin J2 MCF7 UP,0.076483385,0.103325335,0,0,13.68181818,35.17160025,TXNRD1
cycloheximide BOSS,0.076483385,0.103325335,0,0,13.68181818,35.17160025,CCNB1
digitoxigenin HL60 DOWN,0.078220026,0.104665257,0,0,4.858403732,12.3803281,RRM2;CTBP2
PKC-412 Kinome Scan,0.078294198,0.104665257,0,0,13.34879032,34.00313028,AURKA
Dabrafenib LINCS,0.078294198,0.104665257,0,0,13.34879032,34.00313028,BUB1
Dabrafenib FDA,0.078294198,0.104665257,0,0,13.34879032,34.00313028,BUB1
benserazide PC3 DOWN,0.078294198,0.104665257,0,0,13.34879032,34.00313028,BUB1
"K-252a, Nocardiopsis sp. RBC",0.078897074,0.10503173,0,0,13.24133333,33.62783759,AURKA
N-NITROSODIMETHYLAMINE CTD 00005845,0.078897074,0.10503173,0,0,13.24133333,33.62783759,TXNRD1
daidzein CTD 00000166,0.079499586,0.105394679,0,0,13.13558201,33.25933922,CCNA2
caffeine BOSS,0.079499586,0.105394679,0,0,13.13558201,33.25933922,CCNB1
AZD4547 LINCS,0.080101733,0.105973101,0,0,13.03149606,32.89746167,AURKA
lorazepam BOSS,0.080703518,0.106548652,0,0,12.92903646,32.54203717,CCNB1
NSC25485 CTD 00006443,0.081304938,0.107121352,0,0,12.82816537,32.19290344,CCNA2
thimerosal CTD 00006868,0.081905996,0.107691217,0,0,12.72884615,31.84990346,CCNB1
metronidazole PC3 DOWN,0.082394316,0.108036425,0,0,4.709164322,11.75519881,CCNA2;CTBP2
STOCK1N-28457 MCF7 DOWN,0.082506691,0.108036425,0,0,12.63104326,31.5128853,BUB1
lanatoside C PC3 DOWN,0.083107022,0.108599974,0,0,12.53472222,31.18170185,CCNA2
WH-4-023 LINCS,0.084306598,0.109942686,0,0,12.34639303,30.53627396,AURKA
Crizotinib LINCS,0.084905843,0.110274052,0,0,12.25432099,30.22175798,AURKA
MeIQx CTD 00001739,0.084905843,0.110274052,0,0,12.25432099,30.22175798,RRM2
Crizotinib FDA,0.086103246,0.111602382,0,0,12.07420925,29.60847452,AURKA
ACROLEIN CTD 00005313,0.086701405,0.112150198,0,0,11.98611111,29.30945995,TXNRD1
colchicine CTD 00005701,0.087299203,0.112695335,0,0,11.89928058,29.0153717,CCNB1
parathion CTD 00006472,0.088397032,0.113882467,0,0,4.513272257,10.94882337,CCNA2;CDC20
genistein BOSS,0.08909043,0.114544838,0,0,11.64612676,28.16153825,CCNB1
Cadmium sulfate CTD 00001745,0.089686784,0.11508003,0,0,11.56410256,27.88604533,TXNRD1
Dasatinib,0.090282778,0.115612615,0,0,11.48321759,27.61493997,AURKA
fulvestrant PC3 DOWN,0.090878411,0.116142609,0,0,11.40344828,27.34812377,BUB1
Crizotinib,0.091473685,0.116670029,0,0,11.32477169,27.08550116,AURKA
EXEL-2880/GSK-1363089 Kinome Scan,0.092663152,0.117717206,0,0,11.17060811,26.57246806,AURKA
Zinc acetate dihydrate CTD 00007284,0.092663152,0.117717206,0,0,11.17060811,26.57246806,TXNRD1
tamoxifen CTD 00006827,0.093535937,0.118590205,0,0,4.360681818,10.33224123,CCNA2;TXNRD1
parthenolide HL60 UP,0.093851183,0.118754269,0,0,11.02055556,26.07512943,TXNRD1
HG-9-91-01 LINCS,0.095037777,0.120018062,0,0,10.87445175,25.59281359,AURKA
Cyperquat CTD 00007079,0.098588959,0.12425709,0,0,10.45833333,24.22982485,CCNB1
epivincamine HL60 DOWN,0.099179571,0.124510306,0,0,10.39203354,24.0141525,KIF11
Sorafenib tosylate BOSS,0.099179571,0.124510306,0,0,10.39203354,24.0141525,CCNB1
liothyronine CTD 00006943,0.100359722,0.125744828,0,0,10.26190476,23.59206082,CCNA2
strophanthidin PC3 DOWN,0.101538447,0.126972735,0,0,10.13496933,23.18189542,CCNA2
cinnamaldehyde CTD 00000671,0.102127274,0.127459625,0,0,10.0726626,22.98113689,TXNRD1
ARSENIC CTD 00005442,0.103876588,0.129390135,0,0,4.088452088,9.258511299,CCNA2;AURKA
captopril PC3 DOWN,0.104495128,0.129907367,0,0,4.073451139,9.200357151,CTBP2;BUB1
hydroquinone CTD 00001535,0.106239103,0.131819003,0,0,9.656920078,21.65142359,TXNRD1
parthenolide PC3 DOWN,0.107410714,0.133014431,0,0,9.544315992,21.29427896,CCNA2
"O,P'-DDT CTD 00000838",0.109749685,0.135648064,0,0,9.326741996,20.60793163,RRM2
dUTP BOSS,0.110333544,0.136106437,0,0,9.273876404,20.44191691,CCNB1
L-threonine BOSS,0.1115002,0.136681366,0,0,9.169907407,20.11629088,CCNB1
"1,9-Pyrazoloanthrone CTD 00003948",0.1115002,0.136681366,0,0,9.169907407,20.11629088,CCNB1
calmidazolium MCF7 UP,0.112082998,0.136681366,0,0,9.11878453,19.95660247,TXNRD1
PROPIDIUM BOSS,0.112082998,0.136681366,0,0,9.11878453,19.95660247,CCNB1
clomipramine PC3 UP,0.112082998,0.136681366,0,0,9.11878453,19.95660247,TXNRD1
"5,6-BENZOFLAVONE CTD 00007276",0.112082998,0.136681366,0,0,9.11878453,19.95660247,TXNRD1
Velcade(Bortezomib) BOSS,0.112665443,0.137055257,0,0,9.068223443,19.79894724,CCNB1
KW-2449 Kinome Scan,0.113247536,0.137055257,0,0,9.018214936,19.64328885,AURKA
CROTONALDEHYDE CTD 00000669,0.113247536,0.137055257,0,0,9.018214936,19.64328885,TXNRD1
Copper(II) chloride CTD 00001408,0.113247536,0.137055257,0,0,9.018214936,19.64328885,TXNRD1
15-delta prostaglandin J2 HL60 UP,0.113829276,0.13749888,0,0,8.96875,19.48959179,TXNRD1
17-Hydroxyandrostan-3-one CTD 00006776,0.1149917,0.138640936,0,0,8.871415771,19.18794373,CCNA2
actinomycin D CTD 00005748,0.116732697,0.140210889,0,0,8.729276896,18.74933977,TXNRD1
ciglitazone CTD 00001835,0.116732697,0.140210889,0,0,8.729276896,18.74933977,CCNA2
phenoxybenzamine MCF7 UP,0.117312326,0.140379356,0,0,8.682894737,18.60670927,TXNRD1
N-Acetyl-L-cysteine BOSS,0.117312326,0.140379356,0,0,8.682894737,18.60670927,CCNB1
POTASSIUM CHROMATE CTD 00001284,0.118775425,0.141661788,0,0,2.865839493,6.105730529,CCNB1;BUB1;AURKA
R406 LINCS,0.119049108,0.141661788,0,0,8.546632124,18.18910657,AURKA
PLATINUM BOSS,0.119049108,0.141661788,0,0,8.546632124,18.18910657,CCNB1
VALPROIC ACID CTD 00006977,0.119540518,0.14198214,0,0,2.25105973,4.781475745,CCNA2;CCNB2;RRM2;CTBP2;TXNRD1;BUB1B;BUB1;AURKA
2-Butanone BOSS,0.12020521,0.142506733,0,0,8.458119658,17.91899099,CCNB1
"Staurosporine, Streptomyces sp. RBC",0.120782735,0.142926237,0,0,8.414540816,17.78633599,AURKA
doxorubicin BOSS,0.122513213,0.144705994,0,0,8.286432161,17.39766592,CCNB1
Pentadecafluorooctanoic acid CTD 00001078,0.124240546,0.146205725,0,0,8.162128713,17.02241088,RRM2
R406 Kinome Scan,0.124240546,0.146205725,0,0,8.162128713,17.02241088,AURKA
TAE-684 Kinome Scan,0.124815626,0.146612472,0,0,8.121510673,16.90019471,AURKA
cimetidine PC3 DOWN,0.125057235,0.14662674,0,0,3.639422617,7.566300544,KIF11;BUB1
BX-912 LINCS,0.12596474,0.147420272,0,0,8.041463415,16.65992801,AURKA
dimethyl sulfoxide CTD 00005842,0.126538774,0.147821347,0,0,8.002022654,16.54183326,UBE2C
"2,2',4,4',5,5'-Hexachlorobiphenyl CTD 00000731",0.127112461,0.148220552,0,0,7.962962963,16.42506886,CCNA2
Cube root extract CTD 00006707,0.128831434,0.149951342,0,0,7.848015873,16.08254997,BUB1B
NVP-TAE684 LINCS,0.129403731,0.150343607,0,0,7.81042654,15.97090128,AURKA
dexibuprofen PC3 DOWN,0.133400099,0.154705378,0,0,7.556957187,15.2227527,BUB1
progesterone BOSS,0.134538805,0.15574329,0,0,7.4875,15.0191958,CCNB1
parthenolide MCF7 UP,0.135676129,0.156775852,0,0,7.419294294,14.81992639,TXNRD1
doxorubicin MCF7 DOWN,0.136711948,0.157687608,0,0,3.437703731,6.840614938,CCNA2;AURKA
LY 294002 CTD 00003061,0.137946639,0.158825049,0,0,7.286504425,14.43375168,CCNA2
celastrol MCF7 UP,0.139079828,0.159841745,0,0,7.221856725,14.2466088,TXNRD1
nitrofural PC3 DOWN,0.140211643,0.160853213,0,0,7.158333333,14.06327788,BUB1
diethylstilbestrol CTD 00005818,0.141342083,0.161859482,0,0,7.095905172,13.88365083,CDC20
spiperone PC3 UP,0.143035172,0.163505322,0,0,7.004255319,13.62092823,CTBP2
hesperetin PC3 DOWN,0.143598849,0.163564465,0,0,6.974223164,13.53509552,BUB1
"3,3',4,4',5-Pentachlorobiphenyl CTD 00001077",0.143598849,0.163564465,0,0,6.974223164,13.53509552,CCNA2
dorzolamide HL60 DOWN,0.144162185,0.1636228,0,0,6.944444444,13.45011339,BUB1
flunixin HL60 DOWN,0.144162185,0.1636228,0,0,6.944444444,13.45011339,CCNB1
puromycin HL60 DOWN,0.14528783,0.16460802,0,0,6.885634589,13.28265401,RRM2
emetine MCF7 DOWN,0.147535021,0.166858192,0,0,6.770919067,12.95743809,CCNA2
cicloheximide PC3 DOWN,0.149216834,0.168462115,0,0,6.687330623,12.72167531,CCNA2
topotecan CTD 00007293,0.150895583,0.170056927,0,0,6.605756359,12.49258963,CCNB2
(-)-Epigallocatechin gallate CTD 00002033,0.151296832,0.170208937,0,0,2.54040739,4.797588809,CCNB1;BUB1;AURKA
curcumin BOSS,0.154800782,0.173844815,0,0,6.422851563,11.98257635,CCNB1
Sunitinib,0.155357312,0.174163724,0,0,6.397535668,11.91238783,AURKA
ascorbic acid CTD 00005445,0.157024874,0.175724859,0,0,6.32275641,11.70564175,BUB1
PD 98059 CTD 00003206,0.157580052,0.176037855,0,0,6.298212005,11.63797272,CCNB1
MG-132 MCF7 UP,0.162009342,0.180670104,0,0,6.10842627,11.11795448,TXNRD1
CEP-701 Kinome Scan,0.1631133,0.181584318,0,0,6.062730627,10.99361145,AURKA
cyclophosphamide CTD 00005734,0.167515723,0.186160951,0,0,5.886499403,10.51727936,RRM2
alsterpaullone PC3 DOWN,0.170311632,0.188939467,0,0,2.975436379,5.266895476,CCNA2;AURKA
Allococaine CTD 00005697,0.172988688,0.191576728,0,0,5.679930796,9.965603705,CCNA2
luteolin HL60 DOWN,0.17462409,0.193053276,0,0,5.620719178,9.808827615,RRM2
OCHRATOXIN A CTD 00001202,0.176799982,0.195121223,0,0,5.543637387,9.605661362,CCNB1
helveticoside HL60 UP,0.178970577,0.197176205,0,0,5.468611111,9.408930578,BUB1
lycorine PC3 DOWN,0.1795124,0.197432743,0,0,5.450166113,9.360720205,CCNA2
mitomycin C CTD 00007136,0.182756412,0.200655236,0,0,5.342019544,9.079302268,CCNB1
MG-262 MCF7 UP,0.184912505,0.202674255,0,0,5.272240086,8.89886913,TXNRD1
N-Acetyl-L-cysteine CTD 00005305,0.186526127,0.203743923,0,0,5.221072187,8.767140668,TXNRD1
Staurosporine Kinome Scan,0.186526127,0.203743923,0,0,5.221072187,8.767140668,AURKA
thapsigargin PC3 DOWN,0.194017449,0.211565102,0,0,4.994664634,8.190286929,HSPG2
menadione HL60 UP,0.196677452,0.21358681,0,0,4.918418418,7.998283801,TXNRD1
mifepristone CTD 00007083,0.196677452,0.21358681,0,0,4.918418418,7.998283801,CCNA2
amikacin PC3 DOWN,0.197208479,0.21358681,0,0,4.903443114,7.960709702,BUB1
indomethacin CTD 00006147,0.197208479,0.21358681,0,0,4.903443114,7.960709702,CCNB1
strophanthidin HL60 DOWN,0.200387843,0.216662997,0,0,4.815441176,7.74082447,CTBP2
atovaquone MCF7 DOWN,0.207236631,0.22368954,0,0,4.63503305,7.295050671,KIF11
MG-262 PC3 DOWN,0.210379312,0.226698786,0,0,4.556174559,7.102361416,AURKA
diltiazem PC3 DOWN,0.212468039,0.228564102,0,0,4.505050505,6.978159733,BUB1
H-7 MCF7 DOWN,0.213123062,0.228883423,0,0,2.550512645,3.942800574,CCNA2;AURKA
bisacodyl MCF7 DOWN,0.217149041,0.232815834,0,0,4.394041219,6.710453801,KIF11
H-7 PC3 DOWN,0.220199547,0.235690972,0,0,2.492206837,3.771260001,CCNA2;AURKA
Medroxyprogesterone acetate CTD 00006623,0.225407461,0.240861819,0,0,4.209407216,6.271366718,CCNB1
apigenin HL60 DOWN,0.228995169,0.244287,0,0,4.133333333,6.092758064,RRM2
ellipticine PC3 DOWN,0.230528058,0.245512381,0,0,4.101549414,6.018542647,CCNA2
cephaeline HL60 DOWN,0.236631522,0.251593249,0,0,3.979065041,5.734831895,RRM2
digitoxigenin HL60 UP,0.241683571,0.256537877,0,0,3.88234127,5.51341364,AURKA
lanatoside C HL60 UP,0.247205168,0.261963685,0,0,3.781129157,5.284266573,BUB1
deptropine HL60 DOWN,0.248704603,0.262681391,0,0,3.754416283,5.224230534,BUB1
emetine HL60 DOWN,0.248704603,0.262681391,0,0,3.754416283,5.224230534,RRM2
digoxin HL60 DOWN,0.257149459,0.271152647,0,0,3.609756098,4.902401854,RRM2
mitoxantrone PC3 DOWN,0.262566993,0.276409075,0,0,3.521825397,4.709557551,CCNA2
Cylindrospermopsin CTD 00003136,0.272323724,0.285738686,0,0,3.372233748,4.386479444,TXNRD1
digoxin PC3 UP,0.272323724,0.285738686,0,0,3.372233748,4.386479444,BUB1
latamoxef HL60 DOWN,0.273882203,0.286902832,0,0,2.124019382,2.750726553,CCNB1;BUB1
ellipticine MCF7 DOWN,0.287686949,0.300870639,0,0,3.157101167,3.933376697,CCNA2
oxygen CTD 00006454,0.291953588,0.304833893,0,0,3.101338432,3.818245175,CCNB1
chlorhexidine PC3 DOWN,0.296666622,0.308745882,0,0,3.041588493,3.695974866,CCNA2
helveticoside HL60 DOWN,0.296666622,0.308745882,0,0,3.041588493,3.695974866,CTBP2
atrazine CTD 00005450,0.30194097,0.313724033,0,0,1.722293423,2.062487267,CCNA2;CCNB1;BUB1B
ouabain HL60 DOWN,0.3036819,0.315020672,0,0,2.956052311,3.522947788,RRM2
helveticoside MCF7 DOWN,0.306469881,0.317397494,0,0,2.923134777,3.457003824,CCNA2
Tamibarotene CTD 00002527,0.308322807,0.318799795,0,0,2.901583035,3.414025728,RRM2
etifenin PC3 DOWN,0.331102054,0.34180002,0,0,2.656112939,2.935877677,CTBP2
benzene CTD 00005481,0.333788522,0.344017525,0,0,2.629343105,2.885040555,CCNB1
methotrexate CTD 00006299,0.335573964,0.345300745,0,0,2.611785329,2.851842064,UBE2C
ambroxol PC3 DOWN,0.336910145,0.3461183,0,0,2.598765432,2.827298307,UBE2C
staurosporine MCF7 DOWN,0.348824648,0.357657831,0,0,2.487011317,2.619285311,AURKA
neostigmine bromide PC3 DOWN,0.349262107,0.357657831,0,0,2.483050847,2.612002172,BUB1
"8-Bromo-cAMP, Na CTD 00007044",0.350136211,0.357979262,0,0,2.475166411,2.597521376,RRM2
irinotecan MCF7 UP,0.358386311,0.365828839,0,0,2.40261194,2.465425328,HSPG2
cicloheximide HL60 DOWN,0.363975294,0.370941329,0,0,2.355295266,2.380424586,CTBP2
digitoxigenin PC3 DOWN,0.368243894,0.374694026,0,0,2.32010582,2.317808464,CCNA2
cephaeline HL60 UP,0.398612623,0.404949866,0,0,2.091057441,1.923281874,AURKA
Caspan CTD 00000180,0.415072273,0.421001876,0,0,1.980586534,1.741534935,TXNRD1
emetine HL60 UP,0.431115204,0.436581006,0,0,1.880797956,1.582465655,AURKA
Cianidanol CTD 00005600,0.439174083,0.444038353,0,0,1.833333333,1.508575567,CCNB1
Bortezomib CTD 00003736,0.442216314,0.446407938,0,0,1.815849487,1.4816535,CCNB1
diazinon CTD 00005790,0.496166563,0.500079549,0,0,1.540042235,1.079328737,CDC20
phenobarbital CTD 00006510,0.530275511,0.53361583,0,0,1.393247636,0.883818584,RRM2
anisomycin HL60 UP,0.534466122,0.536987188,0,0,1.376424189,0.86231177,AURKA
metronidazole PC3 UP,0.587333093,0.589177153,0,0,1.183269962,0.629692694,BUB1
VITAMIN E CTD 00006994,0.639709781,0.640712461,0,0,1.020432958,0.455868906,CTBP2
ETHYL METHANESULFONATE CTD 00005938,0.798044237,0.798044237,0,0,0.636452031,0.143578008,BUB1
