Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
danazol HL60 DOWN,1.99E-07,3.10E-06,0,0,24.50546939,378.1510934,CDC20;CCNB2;CCNB1;RRM2;CTBP2;KIF11;BUB1;AURKA
vinblastine CTD 00006986,2.15E-07,3.28E-06,0,0,55.64470721,854.1953957,CCNB2;CCNB1;RRM2;KIF11;BUB1
deferoxamine MCF7 DOWN,2.43E-07,3.61E-06,0,0,352.4117647,5367.325134,CDC20;CCNB1;AURKA
Phorbol 12-myristate 13-acetate CTD 00006852,2.86E-07,4.12E-06,0,0,35.05840072,528.2621744,CCNA2;CDC20;CCNB2;TXNRD1;BUB1B;AURKA
pyrvinium MCF7 DOWN,2.90E-07,4.12E-06,0,0,100.5,1512.737165,CCNA2;RRM2;BUB1B;KIF11
paclitaxel CTD 00007144,3.22E-07,4.45E-06,0,0,34.32091522,513.0128167,CDC20;CCNB2;CCNB1;RRM2;BUB1B;AURKA
rapamycin CTD 00007350,3.27E-07,4.45E-06,0,0,50.99431818,761.4366388,CCNA2;CDC20;CCNB2;BUB1B;BUB1
cyclosporin A CTD 00007121,3.89E-07,5.18E-06,0,0,37.83253688,558.4075611,CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
Irinotecan hydrochloride CTD 00002224,7.17E-07,9.30E-06,0,0,29.789931,421.4605534,CCNA2;CDC20;CCNB2;CTBP2;UBE2C;BUB1
67526-95-8 CTD 00007263,7.27E-07,9.30E-06,0,0,23.48255814,331.8971124,CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;KIF11
amsacrine CTD 00005396,1.39E-06,1.74E-05,0,0,187.078125,2523.346918,CCNA2;CCNB1;UBE2C
quercetin CTD 00006679,1.71E-06,2.11E-05,0,0,17.83036849,236.7317086,CCNA2;CDC20;CCNB2;CCNB1;RRM2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
trichostatin A PC3 DOWN,2.33E-06,2.81E-05,0,0,19.54218472,253.4327097,CCNA2;CCNB2;CCNB1;CTBP2;UBE2C;BUB1;AURKA
