#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BNIP3	CASP3	9606.ENSP00000357625	9606.ENSP00000311032	0	0	0	0	0	0.135	0	0.61	0.648
BNIP3	ULK2	9606.ENSP00000357625	9606.ENSP00000378914	0	0	0	0	0	0	0	0.521	0.521
BNIP3	VEGFA	9606.ENSP00000357625	9606.ENSP00000478570	0	0	0	0	0.08	0	0	0.518	0.537
BNIP3	PDK1	9606.ENSP00000357625	9606.ENSP00000376352	0	0	0	0	0.126	0	0	0.552	0.591
BNIP3	SLC2A1	9606.ENSP00000357625	9606.ENSP00000416293	0	0	0	0	0.064	0.056	0	0.611	0.626
C10orf35	GDPD5	9606.ENSP00000362376	9606.ENSP00000337972	0	0	0	0	0	0	0	0.41	0.41
C12orf65	SPG20	9606.ENSP00000253233	9606.ENSP00000414147	0	0	0	0	0	0	0	0.407	0.407
C12orf65	DDHD2	9606.ENSP00000253233	9606.ENSP00000380352	0	0	0	0	0	0	0	0.472	0.472
C12orf65	C19orf12	9606.ENSP00000253233	9606.ENSP00000376103	0	0	0	0	0	0	0	0.525	0.525
C19orf12	CSGALNACT2	9606.ENSP00000376103	9606.ENSP00000363590	0	0	0	0	0	0	0	0.684	0.684
C19orf12	DDHD2	9606.ENSP00000376103	9606.ENSP00000380352	0	0	0	0	0	0	0	0.421	0.421
CAMK1	CREB3	9606.ENSP00000256460	9606.ENSP00000342136	0	0	0	0	0	0.065	0.6	0.056	0.616
CAPRIN2	TDRD7	9606.ENSP00000298892	9606.ENSP00000347444	0	0	0	0	0.063	0	0	0.68	0.687
CASP3	TNS1	9606.ENSP00000311032	9606.ENSP00000171887	0	0	0	0	0.048	0	0	0.458	0.461
CASP3	XBP1	9606.ENSP00000311032	9606.ENSP00000216037	0	0	0	0	0	0	0	0.694	0.694
CASP3	GSR	9606.ENSP00000311032	9606.ENSP00000221130	0	0	0	0	0	0	0	0.603	0.603
CASP3	SERPINE1	9606.ENSP00000311032	9606.ENSP00000223095	0	0	0	0	0	0	0	0.47	0.47
CASP3	EIF2AK2	9606.ENSP00000311032	9606.ENSP00000233057	0	0	0	0	0	0.213	0	0.377	0.489
CASP3	TRAF2	9606.ENSP00000311032	9606.ENSP00000247668	0	0	0	0	0	0.273	0.9	0.578	0.966
CASP3	KRAS	9606.ENSP00000311032	9606.ENSP00000256078	0	0	0	0	0.063	0.059	0	0.659	0.673
CASP3	DSG2	9606.ENSP00000311032	9606.ENSP00000261590	0	0	0	0	0	0	0.9	0.161	0.912
CASP3	TXNRD1	9606.ENSP00000311032	9606.ENSP00000434516	0	0	0	0	0.058	0	0	0.402	0.413
CASP3	SLC2A1	9606.ENSP00000311032	9606.ENSP00000416293	0	0	0	0	0	0	0	0.46	0.459
CASP3	KRT8	9606.ENSP00000311032	9606.ENSP00000449404	0	0	0	0	0.062	0	0	0.468	0.48
CASP3	SMAD4	9606.ENSP00000311032	9606.ENSP00000341551	0	0	0	0	0	0	0	0.48	0.48
CASP3	SNX25	9606.ENSP00000311032	9606.ENSP00000426255	0	0	0	0	0	0	0	0.486	0.485
CASP3	SNCA	9606.ENSP00000311032	9606.ENSP00000338345	0	0	0	0	0	0	0	0.575	0.575
