NAME	TITLE	SCORE	
ZFTA	zinc finger translocation associated [Source:HGNC Symbol;Acc:HGNC:28449]	4.6647816	
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	4.6643887	
ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	4.663112	
OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	4.6623697	
GDF9	growth differentiation factor 9 [Source:HGNC Symbol;Acc:HGNC:4224]	4.661536	
DZIP1L	DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]	4.6614804	
SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	4.6592402	
C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	4.659011	
FGFRL1	fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]	4.658831	
NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	4.655158	
PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	4.6545434	
LINC02137	long intergenic non-protein coding RNA 2137 [Source:HGNC Symbol;Acc:HGNC:52997]	4.6543074	
ARHGAP45	Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102]	4.6538897	
H4C8	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	4.6528106	
BCL10-AS1	BCL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55868]	4.6523643	
CCND2-AS1	CCND2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49398]	4.6503563	
SPRED3	sprouty related EVH1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31041]	4.643742	
GCNA	germ cell nuclear acidic peptidase [Source:HGNC Symbol;Acc:HGNC:15805]	4.640716	
SRSF12	serine and arginine rich splicing factor 12 [Source:HGNC Symbol;Acc:HGNC:21220]	4.632733	
SYNE3	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	4.6311455	
SLC12A7	solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]	4.630063	
MCPH1-AS1	MCPH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51655]	4.628159	
ZDHHC2	zinc finger DHHC-type palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:18469]	4.628075	
MAP3K2-DT	MAP3K2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54088]	4.62803	
