"","RowNames","Y_Data"
"371","ERV3-1",NA
"372","NDUFS3",NA
"373","ATF6B",NA
"374","LTB4R2",NA
"375","FIS1",-0.885745261
"376","RPTN",NA
"377","VPS52",NA
"378","TINCR",NA
"379","SCAMP4",NA
"380","RPL41",NA
"381","LNCAROD",NA
"382","AL159166.1",NA
"383","LINC01819",NA
"384","UQCRHL",NA
"385","ZSCAN31",NA
"386","WAKMAR2",NA
"387","EIF4EBP3",NA
"388","PSG4",NA
"389","PRAF2",NA
"390","ASPRV1",0.680834843
"391","H2AFJ",-0.635386045
"392","AC093866.1",NA
"393","LINC02159",NA
"394","SLC22A18AS",NA
"395","SNHG9",0.698373659
"396","CARD17",NA
"397","HCAR3",NA
"398","AL732437.1",NA
"399","C17orf49",NA
"400","LINC00520",NA
"401","GJA5",NA
"402","RASSF5",NA
"403","LIVAR",NA
"404","SNHG25",NA
"405","AC115522.1",NA
"406","MMP28",NA
"407","AC103718.1",NA
