Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
LY6G6C,-2.834374544,-0.533118945,NA,NA,,,,,,,,,,
PSORS1C2,-2.347276193,NA,NA,NA,,,,,,,,,,
CDSN,-1.461986019,0.591563666,NA,NA,,,,,,,,,,
HLA-E,-1.132489067,0.509780483,0.529062066,NA,,,,,,,,,,
MT1H,-1.769156201,NA,NA,NA,,,,,,,,,,
MT1M,-2.056889318,NA,NA,NA,,,,,,,,,,
HLA-A,-1.295197926,1.164365295,1.487366498,NA,,,,,,,,,,
ERV3-1,-1.327792886,NA,NA,-0.58325,,,,,,,,,,
NDUFS3,-1.156225535,NA,NA,NA,,,,,,,,,,
ATF6B,-1.246812951,NA,-0.851180392,-0.531875,,,,,,,,,,
LTB4R2,-1.63746286,NA,NA,NA,,,,,,,,,,
FIS1,-1.331866359,-0.885745261,-0.785845883,NA,,,,,,,,,,
RPTN,-3.354237264,NA,NA,NA,,,,,,,,,,
VPS52,-1.240656472,NA,NA,NA,,,,,,,,,,
TINCR,-1.710982642,NA,NA,NA,,,,,,,,,,
SCAMP4,-1.207976491,NA,NA,NA,,,,,,,,,,
RPL41,-1.123259734,NA,NA,-0.577125,,,,,,,,,,
LNCAROD,-2.982149705,NA,NA,NA,,,,,,,,,,
AL159166.1,-2.79467572,NA,NA,NA,,,,,,,,,,
LINC01819,-3.490356196,NA,NA,NA,,,,,,,,,,
UQCRHL,-1.640958398,NA,NA,NA,,,,,,,,,,
ZSCAN31,-1.568817147,NA,NA,NA,,,,,,,,,,
WAKMAR2,-3.094647964,NA,NA,NA,,,,,,,,,,
EIF4EBP3,-1.113263999,NA,NA,NA,,,,,,,,,,
PSG4,-2.776552753,NA,NA,NA,,,,,,,,,,
PRAF2,-1.067179941,NA,NA,-0.558625,,,,,,,,,,
ASPRV1,-1.340804971,0.680834843,NA,NA,,,,,,,,,,
H2AFJ,-2.295188334,-0.635386045,-0.719984907,NA,,,,,,,,,,
AC093866.1,-2.379309412,NA,NA,NA,,,,,,,,,,
LINC02159,-3.038967025,NA,NA,NA,,,,,,,,,,
SLC22A18AS,-2.412474979,NA,NA,NA,,,,,,,,,,
SNHG9,-1.094148859,0.698373659,NA,NA,,,,,,,,,,
CARD17,-2.427106797,NA,NA,NA,,,,,,,,,,
HCAR3,-2.28348073,NA,NA,-0.45125,,,,,,,,,,
