Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
CITED2,-1.957983703,-0.685305643,-0.686919358,NA,,,,,,,,,,
MIOS,-1.025466198,NA,NA,NA,,,,,,,,,,
DNAAF5,-1.290488311,NA,NA,NA,,,,,,,,,,
AQP3,-1.796641483,NA,-0.582629026,NA,,,,,,,,,,
SKA3,-4.726603201,NA,NA,NA,,,,,,,,,,
SERPINA12,-2.687359887,NA,NA,NA,,,,,,,,,,
CKB,-1.620763286,NA,NA,NA,,,,,,,,,,
NOLC1,-1.3825692,-0.552677058,NA,NA,,,,,,,,,,
USP54,-2.771572613,NA,NA,NA,,,,,,,,,,
WEE1,-1.286557803,NA,NA,-0.521625,,,,,,,,,,
MCM7,-1.091952331,1.383679195,1.390974599,NA,,,,,,,,,,
SEC11C,-1.34004718,NA,NA,NA,,,,,,,,,,
CDH16,-1.578872307,NA,NA,NA,,,,,,,,,,
HSP90B1,-1.080957784,NA,-0.684541941,NA,,,,,,,,,,
B2M,-2.436091153,0.784385774,NA,NA,,,,,,,,,,
SCNN1G,-2.232669958,NA,NA,-0.623,,,,,,,,,,
NAV2,-2.821198596,NA,NA,NA,,,,,,,,,,
CDT1,-2.35889532,NA,NA,NA,,,,,,,,,,
EEF2,-1.450918315,0.280058115,0.188868403,-0.52925,,,,,,,,,,
NXN,-1.063158904,-0.744604296,NA,NA,,,,,,,,,,
KLK13,-2.6597064,NA,NA,NA,,,,,,,,,,
KRT80,-2.12731786,NA,-0.831845263,NA,,,,,,,,,,
CDK2AP2,-1.306678576,NA,-0.918370054,NA,,,,,,,,,,
KRT24,-4.182758059,NA,NA,NA,,,,,,,,,,
BSCL2,-1.279266651,-0.966152446,NA,NA,,,,,,,,,,
SAC3D1,-1.954837022,NA,NA,-0.625875,,,,,,,,,,
PBK,-1.950818524,NA,NA,NA,,,,,,,,,,
VASN,-1.609665567,NA,NA,NA,,,,,,,,,,
FILIP1L,-2.589443978,NA,NA,NA,,,,,,,,,,
SCNN1B,-3.408094776,NA,NA,NA,,,,,,,,,,
PHYHIP,-1.773612269,NA,NA,NA,,,,,,,,,,
MN1,-1.6765374,NA,NA,NA,,,,,,,,,,
CKAP2L,-4.392047476,NA,NA,NA,,,,,,,,,,
BUB1,-2.28040653,NA,NA,-0.582875,,,,,,,,,,
MT1E,-2.340707108,NA,-0.969678409,NA,,,,,,,,,,
PCDH7,-1.80538351,NA,NA,NA,,,,,,,,,,
ROBO1,-1.505322395,NA,NA,NA,,,,,,,,,,
SLC30A1,-1.854810717,NA,-0.6376264,-0.709875,,,,,,,,,,
KRT4,-4.458252913,NA,NA,-0.444625,,,,,,,,,,
NUDT9,-1.396138395,-0.886714219,NA,NA,,,,,,,,,,
SHCBP1,-2.814046264,NA,NA,NA,,,,,,,,,,
KRT15,-2.668777092,NA,NA,-0.4735,,,,,,,,,,
KRT9,-2.829013809,NA,NA,NA,,,,,,,,,,
RRM2,-2.568059954,NA,NA,NA,,,,,,,,,,
ID4,-2.318190195,NA,NA,-0.559,,,,,,,,,,
OVOL1,-1.769348052,-0.622977642,-0.99068473,-0.5365,,,,,,,,,,
CES4A,-1.988867003,NA,NA,NA,,,,,,,,,,
HPSE,-1.202283221,NA,NA,NA,,,,,,,,,,
COQ2,-1.288355611,NA,NA,NA,,,,,,,,,,
COMMD1,-1.05381083,NA,NA,NA,,,,,,,,,,
NWD2,-2.295628531,NA,NA,NA,,,,,,,,,,
ZHX3,-1.441465967,NA,NA,NA,,,,,,,,,,
GLIS1,-2.065154303,NA,NA,NA,,,,,,,,,,
EXO1,-4.482640167,NA,NA,-0.566875,,,,,,,,,,
MRPL11,-1.381028276,NA,-0.99110367,NA,,,,,,,,,,
NDUFA11,-1.064419922,NA,-0.95348984,NA,,,,,,,,,,
RAB1B,-1.374840759,-0.599301996,-0.7202393,NA,,,,,,,,,,
UBE2C,-1.563087107,NA,0.99293917,NA,,,,,,,,,,
CLTB,-1.865844,-0.844736176,-0.931506323,NA,,,,,,,,,,
TOM1L2,-1.524092373,NA,NA,NA,,,,,,,,,,
SLC35A4,-1.266412476,-0.604576051,NA,NA,,,,,,,,,,
ZBTB8OS,-1.224379697,NA,-0.972995831,NA,,,,,,,,,,
TYMS,-3.302288382,NA,NA,-0.459375,,,,,,,,,,
FAM89B,-2.065784604,NA,NA,NA,,,,,,,,,,
PPFIA3,-1.269088423,NA,NA,-0.32625,,,,,,,,,,
ZFAS1,-1.664785082,NA,-0.666356141,NA,,,,,,,,,,
STX19,-2.455710611,NA,NA,NA,,,,,,,,,,
GEMIN4,-1.045195773,NA,NA,NA,,,,,,,,,,
NKPD1,-1.790433399,NA,NA,NA,,,,,,,,,,
BACE2,-1.907734361,NA,NA,NA,,,,,,,,,,
NLRP10,-1.513244708,NA,NA,NA,,,,,,,,,,
XKRX,-1.882324279,NA,NA,NA,,,,,,,,,,
EPHB3,-1.444204795,NA,-0.968569837,NA,,,,,,,,,,
NAA38,-1.422779801,NA,NA,NA,,,,,,,,,,
OVCH2,-3.245369189,NA,NA,NA,,,,,,,,,,
TBL3,-1.136749303,NA,NA,-0.68,,,,,,,,,,
CRELD2,-1.616104688,NA,NA,NA,,,,,,,,,,
ZBTB7C,-2.507242384,NA,NA,NA,,,,,,,,,,
UBALD2,-1.492609144,NA,NA,NA,,,,,,,,,,
PSMD13,-1.110225223,NA,NA,NA,,,,,,,,,,
PMEL,-3.405802021,NA,NA,NA,,,,,,,,,,
IFIT1,-3.244996513,NA,NA,-0.7005,,,,,,,,,,
LAMP1,-1.142189529,0.540021944,NA,-0.599875,,,,,,,,,,
SAPCD2,-4.003650157,NA,NA,NA,,,,,,,,,,
THBS2,-3.066126488,NA,-0.792443411,NA,,,,,,,,,,
FAM183A,-1.21436826,NA,NA,NA,,,,,,,,,,
NAP1L1,-1.12538441,NA,NA,NA,,,,,,,,,,
MT1X,-1.60863761,1.374668197,NA,NA,,,,,,,,,,
CHP1,-1.070573012,-0.564193315,NA,NA,,,,,,,,,,
ISG15,-2.361451804,-0.971228752,NA,NA,,,,,,,,,,
TPRG1,-4.368723737,NA,NA,NA,,,,,,,,,,
CLDN4,-1.801860443,NA,-0.544536287,-0.484375,,,,,,,,,,
MAOA,-2.010954891,-0.790765095,NA,NA,,,,,,,,,,
ALG1L,-2.131943031,NA,NA,NA,,,,,,,,,,
RASSF10,-2.935135078,NA,NA,NA,,,,,,,,,,
SEMA4A,-2.671254889,NA,NA,NA,,,,,,,,,,
IPO4,-1.134928104,NA,-0.987884173,NA,,,,,,,,,,
NACA,-1.176857262,NA,-0.855487418,NA,,,,,,,,,,
PELI1,-1.065135426,NA,NA,NA,,,,,,,,,,
MRPL21,-1.395459458,NA,NA,NA,,,,,,,,,,
HHLA3,-1.837478522,NA,NA,NA,,,,,,,,,,
SERPINB2,-1.643285132,NA,-0.561223691,NA,,,,,,,,,,
DPP4,-2.491068494,NA,NA,NA,,,,,,,,,,
PDCD1LG2,-5.420435633,NA,NA,NA,,,,,,,,,,
CFD,-4.624954144,NA,NA,NA,,,,,,,,,,
AADACL2,-4.62814961,NA,NA,NA,,,,,,,,,,
TMPRSS11F,-1.716266339,NA,NA,NA,,,,,,,,,,
GET3,-1.499379814,-0.456389489,NA,-0.306,,,,,,,,,,
MT1F,-1.803003006,NA,NA,NA,,,,,,,,,,
CTNND1,-1.41642079,-0.543990876,-0.844221457,-0.294375,,,,,,,,,,
COPS8,-1.104877039,-0.880358164,-0.928211724,NA,,,,,,,,,,
PRC1,-1.59537456,NA,NA,-0.49225,,,,,,,,,,
RPL39,-1.273886373,NA,NA,-0.68225,,,,,,,,,,
MFAP3L,-2.010162163,NA,NA,NA,,,,,,,,,,
LOR,-2.895638103,NA,NA,NA,,,,,,,,,,
LIPN,-2.389643382,NA,NA,NA,,,,,,,,,,
MAFB,-1.064133743,NA,0.821876895,NA,,,,,,,,,,
SMIM5,-2.587725032,NA,NA,NA,,,,,,,,,,
SDHD,-1.073238405,NA,NA,NA,,,,,,,,,,
