Category,Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0035307~positive regulation of protein dephosphorylation,,3,1.214574899,0.044331444,"PPP1R7, CALM3, SPPL3",235,28,19462,8.87325228,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006270~DNA replication initiation,,3,1.214574899,0.044331444,"POLA2, MCM10, MCM5",235,28,19462,8.87325228,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0008315~meiotic G2/MI transition,,2,0.809716599,0.023902908,"CCNB2, NDC80",235,2,19462,82.81702128,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0070101~positive regulation of chemokine-mediated signaling pathway,,2,0.809716599,0.023902908,"EDN1, HIF1A",235,2,19462,82.81702128,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0051231~spindle elongation,,2,0.809716599,0.03564015,"KIF4A, KIF11",235,3,19462,55.21134752,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0099638~endosome to plasma membrane protein transport,,2,0.809716599,0.047236851,"ATP6AP1, SORL1",235,4,19462,41.40851064,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0019884~antigen processing and presentation of exogenous antigen,,2,0.809716599,0.047236851,"PSME1, PSME2",235,4,19462,41.40851064,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0002605~negative regulation of dendritic cell antigen processing and presentation,,2,0.809716599,0.047236851,"CD68, THBS1",235,4,19462,41.40851064,1,1,0.995668317
GOTERM_BP_DIRECT,GO:1905448~positive regulation of mitochondrial ATP synthesis coupled electron transport,,2,0.809716599,0.047236851,"CHCHD2, CCNB1",235,4,19462,41.40851064,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0045840~positive regulation of mitotic nuclear division,,3,1.214574899,0.050229624,"IL1A, EDN1, AURKA",235,30,19462,8.281702128,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0045766~positive regulation of angiogenesis,,6,2.429149798,0.050358234,"IL1A, GAB1, CTSH, THBS1, HIF1A, RHOB",235,166,19462,2.993386311,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006196~AMP catabolic process,,2,0.809716599,0.058694687,"NT5E, XDH",235,5,19462,33.12680851,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0002248~connective tissue replacement involved in inflammatory response wound healing,,2,0.809716599,0.058694687,"IL1A, HIF1A",235,5,19462,33.12680851,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0045931~positive regulation of mitotic cell cycle,,3,1.214574899,0.062802491,"CCNB1, BIRC5, AURKA",235,34,19462,7.30738423,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0031669~cellular response to nutrient levels,,3,1.214574899,0.062802491,"MIOS, CD68, PPARD",235,34,19462,7.30738423,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0001975~response to amphetamine,,3,1.214574899,0.069446027,"EDN1, RGS2, CALM3",235,36,19462,6.90141844,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0048255~mRNA stabilization,,3,1.214574899,0.069446027,"YBX1, PABPC1, TENT5B",235,36,19462,6.90141844,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0071373~cellular response to luteinizing hormone stimulus,,2,0.809716599,0.070015314,"CCNA2, EDN1",235,6,19462,27.60567376,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006102~isocitrate metabolic process,,2,0.809716599,0.070015314,"IDH3B, ACO2",235,6,19462,27.60567376,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0007100~mitotic centrosome separation,,2,0.809716599,0.070015314,"KIF11, AURKA",235,6,19462,27.60567376,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0031536~positive regulation of exit from mitosis,,2,0.809716599,0.070015314,"CDCA5, BIRC5",235,6,19462,27.60567376,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0010193~response to ozone,,2,0.809716599,0.070015314,"IL1A, EDN1",235,6,19462,27.60567376,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006366~transcription from RNA polymerase II promoter,,7,2.834008097,0.071505383,"EDN1, EHF, BCL11B, NCAPG2, POLR2F, TRIP13, POLR2K",235,241,19462,2.405473647,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0002244~hematopoietic progenitor cell differentiation,,4,1.619433198,0.071928517,"KITLG, CITED2, FST, SSBP3",235,80,19462,4.140851064,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006915~apoptotic process,,13,5.263157895,0.071963619,"BUB1B, THBS1, RHOB, AURKA, IL1A, TPX2, MIEN1, CTSK, CTSH, BIRC5, SGK1, ZNF385A, PPARD",235,620,19462,1.73648593,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0002052~positive regulation of neuroblast proliferation,,3,1.214574899,0.072850548,"ASPM, WDR62, HIF1A",235,37,19462,6.714893617,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0021987~cerebral cortex development,,4,1.619433198,0.076221596,"ASPM, TUBB2A, WDR62, HIF1A",235,82,19462,4.039854696,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0000070~mitotic sister chromatid segregation,,3,1.214574899,0.076307847,"NCAPG2, SMC1A, NDC80",235,38,19462,6.53818589,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0071456~cellular response to hypoxia,,5,2.024291498,0.078513709,"CCNA2, EDN1, HIF1A, AQP3, PPARD",235,134,19462,3.090187361,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0046605~regulation of centrosome cycle,,2,0.809716599,0.081200368,"WDR62, AURKA",235,7,19462,23.66200608,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0019216~regulation of lipid metabolic process,,3,1.214574899,0.086979105,"BCL11B, ADIPOR1, PPARD",235,41,19462,6.059782045,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0071356~cellular response to tumor necrosis factor,,5,2.024291498,0.088818377,"EDN1, CTSK, GBP2, THBS1, GSDME",235,140,19462,2.95775076,1,1,0.995668317
GOTERM_BP_DIRECT,GO:1902600~hydrogen ion transmembrane transport,,5,2.024291498,0.090596443,"SLC15A1, COX7B, ATP6AP1, ATP5PB, COX4I1",235,141,19462,2.936773804,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0045184~establishment of protein localization,,3,1.214574899,0.090630374,"CHMP2A, PHLDB2, CEP55",235,42,19462,5.91550152,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0007018~microtubule-based movement,,4,1.619433198,0.092100427,"KIF4A, KIF2C, KIF20A, KIF11",235,89,19462,3.722113316,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006776~vitamin A metabolic process,,2,0.809716599,0.092251466,"RBP1, PPARD",235,8,19462,20.70425532,1,1,0.995668317
