Category	Term		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030176~integral component of endoplasmic reticulum membrane		6	2.429149798	0.01803737	"SLC35B2, WDR83OS, DHRS9, TECR, EMC7, ERGIC3"	243	129	20660	3.954445401	0.998811127	0.26695307	0.254687659
GOTERM_CC_DIRECT	GO:0000940~condensed chromosome outer kinetochore		5	2.024291498	1.21E-05	"CENPF, CCNB1, BUB1B, NDC80, SKA1"	243	13	20660	32.70022159	0.004461094	0.001117762	0.001066405
GOTERM_CC_DIRECT	GO:0000502~proteasome complex		5	2.024291498	0.00474908	"PSMB6, PSMC5, PSMA2, PSME1, PSME2"	243	58	20660	7.329360011	0.828186429	0.109822474	0.104776576
GOTERM_CC_DIRECT	GO:0001533~cornified envelope		5	2.024291498	0.005684588	"FLG, SPRR3, NCL, CNFN, SPRR2D"	243	61	20660	6.968899683	0.878676945	0.123723381	0.118038793
GOTERM_CC_DIRECT	GO:0045171~intercellular bridge		5	2.024291498	0.030080496	"TPX2, TUBB2A, KIF20A, SKA1, CEP55"	243	100	20660	4.251028807	0.999987635	0.397492272	0.379229113
GOTERM_CC_DIRECT	GO:0005751~mitochondrial respiratory chain complex IV		4	1.619433198	0.003017582	"COX7B, COX4I1, COX7A2, COX6A1"	243	25	20660	13.60329218	0.673130219	0.074433696	0.071013769
GOTERM_CC_DIRECT	GO:0000794~condensed nuclear chromosome		4	1.619433198	0.012193788	"NCAPG2, NCAPG, SMC1A, ADD3"	243	41	20660	8.294690354	0.989320556	0.187987561	0.179350294
GOTERM_CC_DIRECT	GO:0032154~cleavage furrow		4	1.619433198	0.026645721	"DCTN3, KIF20A, CEP55, RHOB"	243	55	20660	6.183314628	0.999954265	0.37078194	0.353746013
GOTERM_CC_DIRECT	GO:0005680~anaphase-promoting complex		3	1.214574899	0.027057061	"CDC20, CDC23, BUB1B"	243	22	20660	11.59371493	0.999960886	0.37078194	0.353746013
GOTERM_CC_DIRECT	GO:0008537~proteasome activator complex		2	0.809716599	0.034732021	"PSME1, PSME2"	243	3	20660	56.68038409	0.999997912	0.443132685	0.422772535
GOTERM_CC_DIRECT	GO:0033597~mitotic checkpoint complex		2	0.809716599	0.046040287	"CDC20, BUB1B"	243	4	20660	42.51028807	0.999999973	0.549513106	0.524265207
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix		10	4.048582996	0.050512602	"COQ3, MCEE, MYG1, CCNB1, ACSS2, OAT, ATP5PB, IDH3B, ACO2, REXO2"	243	406	20660	2.09410286	0.999999995	0.584051958	0.557217139
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome		3	1.214574899	0.053849163	"BTF3, EIF3H, RPL18"	243	32	20660	7.970679012	0.999999999	0.603763347	0.576022869
GOTERM_CC_DIRECT	GO:0045120~pronucleus		2	0.809716599	0.057216616	"CENPF, AURKA"	243	5	20660	34.00823045	1	0.622651412	0.594043104
GOTERM_CC_DIRECT	GO:0030665~clathrin-coated vesicle membrane		3	1.214574899	0.059993724	"CEMIP, ATP6AP1, AP1B1"	243	34	20660	7.501815541	1	0.634219365	0.605079556
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane		11	4.453441296	0.066457216	"HADHB, COQ3, COX7B, MRPS9, CYP24A1, ATP5PB, NDUFB11, MPC1, COX4I1, TMEM160, COX6A1"	243	494	20660	1.893170724	1	0.682625411	0.651261541
GOTERM_CC_DIRECT	GO:0032133~chromosome passenger complex		2	0.809716599	0.068262541	"BIRC5, AURKA"	243	6	20660	28.34019204	1	0.682625411	0.651261541
GOTERM_CC_DIRECT	GO:0005925~focal adhesion		10	4.048582996	0.070398359	"TSPAN9, CD81, LMO7, PABPC1, REXO2, RPL18, RND3, PHLDB2, RPS10, RHOB"	243	434	20660	1.95899945	1	0.685457708	0.653963705
GOTERM_CC_DIRECT	GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane		4	1.619433198	0.075904021	"LMAN1, ATP6AP1, ERGIC3, SPPL3"	243	84	20660	4.048598863	1	0.705953096	0.673517413
GOTERM_CC_DIRECT	GO:0097431~mitotic spindle pole		3	1.214574899	0.076319254	"ASPM, SMC1A, AURKA"	243	39	20660	6.540044318	1	0.705953096	0.673517413
GOTERM_CC_DIRECT	GO:0043203~axon hillock		2	0.809716599	0.079179577	"TPX2, AURKA"	243	7	20660	24.29159318	1	0.714547405	0.681716848
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus		20	8.097165992	0.081319084	"SPRR3, SLC35B2, HDAC5, EHF, GALNT5, AP1B1, SPPL3, SORL1, TM9SF4, SCAMP2, LMAN1, COMMD9, VPS51, NUCB1, GPR107, KIF20A, GBP2, B4GALNT3, ERGIC3, CRYAB"	243	1147	20660	1.48248607	1	0.716382406	0.683467538
GOTERM_CC_DIRECT	GO:0005576~extracellular region		34	13.76518219	0.08767287	"COL17A1, NRP2, CEMIP, SEMA3C, TUFT1, FBLN1, LTBP2, YBX1, LYPD5, THBS1, COMMD9, PDZD2, CTSK, COTL1, TIMP3, CTSH, CLCA4, BCHE, EDN1, ARG1, FST, RNASET2, DKK1, SORL1, IL1F10, IL1A, OLFM2, KITLG, CCDC80, TCN1, PSMA2, RAET1L, NUCB1, CALM3"	243	2213	20660	1.306235693	1	0.754394461	0.719733094
GOTERM_CC_DIRECT	GO:0036464~cytoplasmic ribonucleoprotein granule		4	1.619433198	0.091328383	"FLG, NCL, CTSH, PABPC1"	243	91	20660	3.737168182	1	0.767988678	0.732702712
GOTERM_CC_DIRECT	GO:0005622~intracellular		3	1.214574899	0.097492269	"DHX40, TUFT1, DQX1"	243	45	20660	5.668038409	1	0.784176946	0.748147194
GOTERM_CC_DIRECT	GO:0000307~cyclin-dependent protein kinase holoenzyme complex		3	1.214574899	0.097492269	"CCNA2, CCNB2, CCNB1"	243	45	20660	5.668038409	1	0.784176946	0.748147194
