ID,WDR37,OGFR,ATP1B3,CNOT4,OVGP1,NFAT5,NEFM,ICAM5,ELL,CLDN15,ATP5F1B,FGFR1OP2,ITGB6,SLC8A2,PLAGL1,INHBA,TUBA1B,DHX38,GATA6,XRCC4,UBXN7,ATP5MG,ZNF212,BSG,IDH2,CBX6,GM2A,condition
GSM6765225,18.884071,29.375222,176.251331,11.540266,23.080531,18.884071,8.392921,1.049115,22.031416,36.719027,891.747804,14.687611,10.491151,2.09823,17.834956,2.09823,118.550002,45.111948,50.357523,24.129646,22.031416,227.657969,9.442036,523.508417,123.795577,10.491151,83.929205,1
GSM6765240,17.566318,32.032698,176.696493,12.399754,24.799508,21.699569,7.23319,1.033313,17.566318,32.032698,820.450383,14.46638,14.46638,2.066626,16.533005,2.066626,121.930913,42.365826,48.565703,25.832821,23.766195,215.96238,7.23319,492.890217,117.797662,11.366441,83.698339,1
GSM6765254,12.381815,23.638011,290.409846,18.009913,5.628098,22.512391,0,1.12562,21.386772,4.502478,1312.472403,18.009913,31.517348,0,9.004956,6.753717,256.641259,42.773543,0,16.884293,32.642967,159.837977,20.261152,274.651172,52.904119,4.502478,360.198258,0
GSM6765268,11.32927,21.525613,305.890283,15.860978,3.398781,21.525613,1.132927,0,21.525613,4.531708,1314.19529,18.126832,30.589028,0,9.063416,6.797562,260.573204,45.317079,0,15.860978,32.854882,147.280507,16.993905,277.567109,61.178057,4.531708,381.79639,0
GSM6765281,13.364581,25.615446,298.475634,15.592011,4.45486,20.046871,0,0,20.046871,6.68229,1310.842615,14.478296,33.411452,0,8.90972,5.568575,246.131026,44.548602,0,14.478296,35.638882,139.214381,18.933156,298.475634,56.799468,5.568575,373.094542,0
GSM6765294,77.407041,64.137262,105.052412,68.560522,179.142008,176.930378,286.40605,9.952334,180.247823,131.591969,371.553794,47.550039,0,32.068631,30.962816,27.645372,81.8303,363.81309,1.105815,95.100078,215.633899,45.338409,117.216376,84.04193,6.634889,60.819818,34.280261,1
GSM6765307,74.884075,57.264293,85.896439,72.681602,224.652225,181.704005,307.244955,5.506182,148.666914,124.439713,377.724084,44.049456,3.303709,24.227201,29.733383,36.340801,85.896439,350.193174,2.202473,79.289021,211.437388,40.745747,105.718694,85.896439,3.303709,67.17542,47.353165,1
GSM6765321,78.416785,58.536473,98.297097,68.476629,189.967423,195.489732,339.069762,8.835694,142.475568,134.744335,304.831447,51.909703,1.104462,24.298159,28.716006,41.969547,80.625709,367.785767,6.626771,87.252479,209.847735,47.491856,93.87925,77.312323,2.208924,54.118626,48.596318,1
GSM6765335,30.510246,61.020493,139.156489,38.695922,34.97516,80.368454,20.836266,5.953219,49.114055,19.347961,221.7574,35.719313,1.488305,7.441523,25.30118,32.742703,118.320224,99.716415,6.697371,37.207617,78.135997,46.881598,40.928379,89.298282,2.232457,37.207617,27.533637,1
GSM6765349,31.149543,72.682267,124.598171,36.341133,31.891199,76.390545,17.058083,15.574771,57.849151,25.957952,238.813162,31.891199,2.966623,5.19159,20.024706,31.149543,117.181613,101.606842,5.19159,35.599477,72.682267,48.207626,52.65756,100.12353,5.19159,36.341133,20.024706,1
