term,p-value,q-value
Dronabinol CTD 00006853,0.00013719008902247047,0.0009146005934831366
thioguanosine PC3 DOWN,0.00014165489659109397,0.0009319630808147673
hydrogen peroxide CTD 00006118,0.00014261859267013864,0.0009319630808147673
Antimycin A CTD 00005427,0.00014646380653235145,0.000947706983444627
roscovitine CTD 00003426,0.00017021266102889025,0.0010906830706705589
MG-132 CTD 00002789,0.00021584140511492314,0.0013697627632293199
alsterpaullone MCF7 DOWN,0.00027890954260409277,0.001753145696368583
Romidepsin CTD 00003096,0.0002988222171700243,0.001843202461048748
malathion CTD 00006233,0.0002988222171700243,0.001843202461048748
camptothecin PC3 DOWN,0.00030589932360750656,0.0018693847553792066
camptothecin MCF7 DOWN,0.0003277725551048915,0.0019846778565984257
pentoxifylline CTD 00006487,0.0003322078014627923,0.0019932468087767536
Equol CTD 00007470,0.0003673317118420773,0.002164633301926527
mephentermine HL60 DOWN,0.0003673317118420773,0.002164633301926527
Allyl sulfide CTD 00001796,0.0003855442169962099,0.0022518511789159164
AFLATOXIN B1 CTD 00007128,0.00039330428775693316,0.002277024823855929
2-CHLOROETHYL ETHYL SULFIDE CTD 00001489,0.0004427775949754095,0.0025411583711632195
dirithromycin HL60 DOWN,0.000473642120408491,0.002671827345894052
POTASSIUM DICHROMATE CTD 00006598,0.000473642120408491,0.002671827345894052
Phytoestrogens CTD 00007437,0.0005038936977770158,0.0028183884790917834
Aflodac CTD 00006817,0.0005232010915831517,0.0029017875667636983
gemcitabine CTD 00002382,0.0005297474223139825,0.0029136108227269036
506-26-3 CTD 00007216,0.0005467878206419364,0.0029824790216832894
Retinoic acid CTD 00006918,0.0006217177185299552,0.0033633909363095936
nocodazole CTD 00007087,0.00073547385272901,0.003914618893557633
Alvocidib CTD 00002892,0.00073547385272901,0.003914618893557633
niclosamide HL60 DOWN,0.0007679226408487115,0.004054631543681197
scriptaid CTD 00003819,0.000786901835472271,0.004121866757235706
caffeic acid CTD 00001850,0.0008400240681185265,0.004365479409119901
Momelotinib LINCS,0.0009228750422321747,0.00475857443650965
MS-275 PC3 DOWN,0.0010148988697670168,0.005192505845319622
spiperone PC3 DOWN,0.001039234133514415,0.005256304794374119
raloxifene CTD 00007367,0.0010432968607015298,0.005256304794374119
ritonavir CTD 00007290,0.0010693724440031793,0.005346862220015897
trichostatin A CTD 00000660,0.0011303617045712333,0.005609313721932436
progesterone CTD 00006624,0.0011659550814999652,0.005742763834253559
mesalazine MCF7 DOWN,0.0013254974295978832,0.006480209655811874
SILVER CTD 00006742,0.0015350048968418733,0.007449288469967914
apigenin MCF7 DOWN,0.0016453167561850293,0.007926343496949775
gedunin CTD 00003449,0.001720907217333334,0.00823042582202899
SB 202190 CTD 00003161,0.0017981323113668171,0.008537894428072656
"(17S)-17-hydroxy-13,17-dimethyl-1,2,6,7,8,14,15,16-octahydrocyclopenta[a]phenanthren-3-one CTD 00007088",0.001919262102717925,0.009047949912813075
celastrol CTD 00002186,0.002251908371812029,0.01054084769784354
phenol CTD 00007305,0.002295583368811727,0.010669612840955914
Pinosylvin CTD 00002139,0.002384137634921312,0.011003712161175284
NICKEL CHLORIDE CTD 00001064,0.002435462456997487,0.011162536261238481
Demecolcine CTD 00005762,0.00257224785387733,0.011708162645234745
docetaxel CTD 00002688,0.002612524841351922,0.011810043803371702
sulforaphane CTD 00000857,0.002659398546636821,0.01185948000527231
Pioglitazone CTD 00002515,0.002659398546636821,0.01185948000527231
emodin CTD 00005893,0.002706669841645333,0.011989275808630335
Silica CTD 00006678,0.002815593146810516,0.012388609845966271
disulfiram CTD 00005860,0.002899720964463047,0.012648806677056335
Zoledronic acid CTD 00003127,0.002913058507443277,0.012648806677056335
diclofenac CTD 00005804,0.0029520270551083765,0.012714357570180825
0179445-0000 MCF7 DOWN,0.0029666834330421927,0.012714357570180825
luteolin CTD 00007430,0.0030990937422035263,0.01319614109583437
carbamazepine CTD 00005574,0.003131401478236612,0.013248237023308743
deferoxamine CTD 00005759,0.00325275282866749,0.013673992782933396
Oxazolone CTD 00006449,0.003624975058181088,0.015142300875946316
docetaxel BOSS,0.00430723167559448,0.01787907487982614
vorinostat MCF7 DOWN,0.004399754692724142,0.018148988107487083
doxorubicin PC3 DOWN,0.00450918760826071,0.01848486845622403
3-(1-methylpyrrolidin-2-yl)pyridine CTD 00006393,0.004577314156467726,0.018648316933757403
CHROMIUM CTD 00005668,0.004669058835063234,0.01890539160209653
chlortetracycline HL60 DOWN,0.004950053761940871,0.019920948066347408
AZD5438 LINCS,0.005172725227483539,0.020690900909934157
trichostatin A ssMCF7 DOWN,0.005499738669263782,0.02160611620067914
eugenol CTD 00005949,0.005499738669263782,0.02160611620067914
ellipticine HL60 DOWN,0.005499738669263782,0.02160611620067914
parthenolide MCF7 DOWN,0.0055662628224102725,0.02173806782716438
trichostatin A HL60 DOWN,0.005794158079955527,0.022494966663356753
COBALT CTD 00005696,0.006322522312669346,0.024340352197435047
aspirin CTD 00005447,0.006343243299937618,0.024340352197435047
vorinostat HL60 DOWN,0.006597050405162532,0.02516793796189174
parthenolide HL60 DOWN,0.006900493753845327,0.026174286652516757
4-Hydroxytamoxifen CTD 00000850,0.00715659960543215,0.02699060422620125
17-Hydroxyandrostan-3-one CTD 00006776,0.00734926123931398,0.027559729647427426
azacitidine PC3 DOWN,0.007464062174447329,0.027832096243701903
Pyruvic acid CTD 00007265,0.007674930787541144,0.02814141288765086
flavin adenine dinucleotide TTD 00008045,0.007674930787541144,0.02814141288765086
CHEMBL380598 TTD 00005159,0.007674930787541144,0.02814141288765086
valproic acid HL60 DOWN,0.007967810629056353,0.029053895111476203
MANGANESE CHLORIDE CTD 00001187,0.008046741440048239,0.02918049093643867
AR-A014418 CTD 00004251,0.008369935820942226,0.03002259587946668
metolachlor CTD 00002221,0.008369935820942226,0.03002259587946668
HG-14-10-04 LINCS,0.008690990362893284,0.031005695348700364
Capsaicin CTD 00005570,0.008855591875529655,0.031322318106858565
38966-21-1 CTD 00007124,0.009064489027893918,0.031322318106858565
"1H-Pyrrole-2,5-dione, 3,4-diphenyl- TTD 00000418",0.009064489027893918,0.031322318106858565
"1H-Pyrrole-2,5-dione, 3,4-bis(4-methoxyphenyl)- TTD 00000417",0.009064489027893918,0.031322318106858565
AGN-PC-00BUNE TTD 00001660,0.009064489027893918,0.031322318106858565
GOLD CTD 00006047,0.009064489027893918,0.031322318106858565
MANGANESE CTD 00006240,0.00944276372106067,0.032459500291146054
ALLYL ISOTHIOCYANATE CTD 00000143,0.009758590659951067,0.03286056038554951
7-ACA CTD 00001461,0.009758590659951067,0.03286056038554951
L-cysteine CTD 00005741,0.009758590659951067,0.03286056038554951
benzyl isothiocyanate CTD 00001509,0.009758590659951067,0.03286056038554951
"[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate CTD 00005796",0.010399940839849207,0.03466572382321179
Cinobufagin CTD 00000078,0.0104522409709381,0.03466572382321179
Homocastasterone CTD 00002741,0.0104522409709381,0.03466572382321179
arsenite CTD 00000779,0.010506113067892153,0.0346701731240441
PHENCYCLIDINE CTD 00005881,0.010578461043696417,0.03473524521810764
FENRETINIDE CTD 00007166,0.010758353100571874,0.03515105468503681
LITHIUM CHLORIDE CTD 00007226,0.011030755508728517,0.03553618620519809
Rimonabant hydrochloride CTD 00003133,0.011145440218903038,0.03553618620519809
Brassinolide CTD 00001097,0.011145440218903038,0.03553618620519809
CHLOROBENZENE CTD 00001495,0.011145440218903038,0.03553618620519809
N-Methyl-N-nitrosourea CTD 00006319,0.011145440218903038,0.03553618620519809
OTSSP167 LINCS,0.011584747300440434,0.03675929431870522
TERT-BUTYL HYDROPEROXIDE CTD 00007349,0.01169761196691325,0.036939827263936575
EDTA CTD 00005888,0.01183818865932929,0.03720573578646348
"1-chloro-2,4-dinitrobenzene CTD 00005848",0.012055706621754286,0.03770979322444468
CHLOROPICRIN CTD 00003338,0.01253048655713669,0.038299095974238646
EPICHLOROHYDRIN CTD 00005906,0.01253048655713669,0.038299095974238646
Isopentenyladenine CTD 00000045,0.01253048655713669,0.038299095974238646
alvespimycin CTD 00004027,0.01253048655713669,0.038299095974238646
harmine MCF7 DOWN,0.012535060423851201,0.038299095974238646
Disodium selenite CTD 00007229,0.012592278524863311,0.038299095974238646
puromycin PC3 DOWN,0.012661986454849781,0.03833445440459108
Methoxycamptothecin CTD 00001213,0.013222334171232074,0.039667002513696224
purvalanol A TTD 00010395,0.013222334171232074,0.039667002513696224
Teriflunomide CTD 00002799,0.013913731760820029,0.0409958167952733
HYPOCHLOROUS ACID CTD 00006135,0.013913731760820029,0.0409958167952733
Kinome 511 Roche,0.013913731760820029,0.0409958167952733
myricetin HL60 UP,0.013913731760820029,0.0409958167952733
digoxin HL60 UP,0.014535311440347969,0.04154779539668904
medrysone HL60 DOWN,0.014539798484617728,0.04154779539668904
securinine MCF7 UP,0.014604679593987663,0.04154779539668904
POTASSIUM BROMATE CTD 00000989,0.014604679593987663,0.04154779539668904
IKK-2 Inhibitor IV (TPCA-1) MRC,0.014604679593987663,0.04154779539668904
CHEMBL1967116 Roche,0.014604679593987663,0.04154779539668904
Cdk9 Inhibitor II TTD 00002745,0.014604679593987663,0.04154779539668904
TDZD-8 CTD 00004374,0.014604679593987663,0.04154779539668904
"2-Nonenal, 4-hydroxy-, (2E,4R)- CTD 00001295",0.015266267624516364,0.042594166385494917
oxyphenbutazone MCF7 UP,0.01529517792933681,0.042594166385494917
Tozasertib TTD 00011505,0.01529517792933681,0.042594166385494917
AZD-1152HQPA Kinome Scan,0.01529517792933681,0.042594166385494917
Baicalin CTD 00001780,0.01529517792933681,0.042594166385494917
formaldehyde CTD 00006001,0.01550293511733523,0.04299133267832459
ampyrone HL60 DOWN,0.01564311375930722,0.04319855682486513
quercetin MCF7 DOWN,0.015985227036696047,0.04359607373644376
MLN-8054 Kinome Scan,0.015985227036696047,0.04359607373644376
carmustine MCF7 UP,0.015985227036696047,0.04359607373644376
ethotoin HL60 DOWN,0.016674827177981324,0.04455621837031447
Tozasertib CTD 00004298,0.016674827177981324,0.04455621837031447
HEXANE CTD 00001239,0.016674827177981324,0.04455621837031447
Everolimus CTD 00003479,0.016674827177981324,0.04455621837031447
SU-6656 MRC,0.016674827177981324,0.04455621837031447
5194442 MCF7 UP,0.017363978615388416,0.04602500355886086
latamoxef PC3 DOWN,0.017363978615388416,0.04602500355886086
Wogonin CTD 00003053,0.01805268161758667,0.04654206979534063
BX-912 MRC,0.01805268161758667,0.04654206979534063
Bis-gma CTD 00007186,0.01805268161758667,0.04654206979534063
XMD-12 LINCS,0.01805268161758667,0.04654206979534063
ILORASERTIB Roche,0.01805268161758667,0.04654206979534063
ebselen MCF7 UP,0.01805268161758667,0.04654206979534063
harmaline MCF7 DOWN,0.01805268161758667,0.04654206979534063
simvastatin CTD 00007319,0.018575648000498636,0.04757314637115251
benzoic acid CTD 00007316,0.018740936449241897,0.04757314637115251
bisindolylmaleimide i TTD 00002466,0.018740936449241897,0.04757314637115251
lactic acid CTD 00007283,0.018740936449241897,0.04757314637115251
NSC321521 CTD 00005452,0.01942874337764288,0.048571858444107205
MANEB CTD 00006239,0.01942874337764288,0.048571858444107205
juglone CTD 00000198,0.01942874337764288,0.048571858444107205
isotretinoin MCF7 UP,0.01942874337764288,0.048571858444107205
naloxone PC3 DOWN,0.02011610266484507,0.04917269540295462
bisindolylmaleimide iv TTD 00002467,0.02011610266484507,0.04917269540295462
"2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol CTD 00001063",0.02011610266484507,0.04917269540295462
kenpaullone TTD 00008780,0.02011610266484507,0.04917269540295462
BI-D-1870 MRC,0.02011610266484507,0.04917269540295462
Kinome 635 Roche,0.02011610266484507,0.04917269540295462
Indirubin Derivative E804 RBC,0.02080301457834001,0.05065377283738335
cycloheximide CTD 00005731,0.020937043450660685,0.05065377283738335
dexverapamil MCF7 DOWN,0.021179848448401407,0.05065377283738335
nifuroxazide MCF7 UP,0.02148947938555657,0.05065377283738335
methyl salicylate CTD 00001586,0.02148947938555657,0.05065377283738335
amlodipine CTD 00007164,0.02148947938555657,0.05065377283738335
SB 216763 TTD 00010836,0.02148947938555657,0.05065377283738335
AG1478 LINCS,0.02148947938555657,0.05065377283738335
Plumbagin CTD 00000768,0.02148947938555657,0.05065377283738335
TAE684 MRC,0.02148947938555657,0.05065377283738335
"1,6-Diisocyanatohexane CTD 00000793",0.022175497351954617,0.051353783341368586
succinylsulfathiazole HL60 DOWN,0.022175497351954617,0.051353783341368586
INDIRUBIN-3'-MONOXIME TTD 00008590,0.022175497351954617,0.051353783341368586
etacrynic acid HL60 UP,0.022175497351954617,0.051353783341368586
141-05-9 CTD 00000755,0.022175497351954617,0.051353783341368586
Riboflavine CTD 00006698,0.022861068741375043,0.052028639204508724
Methyl 4-methoxycinnamate CTD 00002989,0.022861068741375043,0.052028639204508724
IPA-3 MRC,0.022861068741375043,0.052028639204508724
alpha-Hexylcinnamaldehyde CTD 00002937,0.022861068741375043,0.052028639204508724
isopropanol CTD 00007325,0.022861068741375043,0.052028639204508724
clopamide HL60 DOWN,0.023545807526618244,0.05340286243150529
Entinostat CTD 00003662,0.02423087286505986,0.05421144437606613
oxozinc CTD 00007012,0.02423087286505986,0.05421144437606613
indirubin deriv. 7a TTD 00008589,0.02423087286505986,0.05421144437606613
Go 6976 CTD 00002962,0.02423087286505986,0.05421144437606613
2-Methylcholine CTD 00002006,0.024377513972629744,0.054355267641674435
vorinostat PC3 DOWN,0.024833542630822682,0.05445023193311522
cinnamyl alcohol CTD 00001006,0.024915106126970902,0.05445023193311522
TAXIFOLIN CTD 00000115,0.024915106126970902,0.05445023193311522
R-406 MRC,0.024915106126970902,0.05445023193311522
ciprofloxacin CTD 00005674,0.024915106126970902,0.05445023193311522
SYK Inhibitor I MRC,0.024915106126970902,0.05445023193311522
semustine MCF7 UP,0.025598893875467085,0.055394327730518944
IKK Inhibitor VII MRC,0.025598893875467085,0.055394327730518944
Kinome 1194 Roche,0.025598893875467085,0.055394327730518944
Ephedrone CTD 00002112,0.026282236384327425,0.05650252773177883
TTNPB CTD 00001809,0.026282236384327425,0.05650252773177883
Ammonium hexachloroplatinate(IV) CTD 00000945,0.026965133912219295,0.056678306949250745
AG-013736 Kinome Scan,0.026965133912219295,0.056678306949250745
Axitinib FDA,0.026965133912219295,0.056678306949250745
Barasertib LINCS,0.026965133912219295,0.056678306949250745
Calycosin CTD 00003727,0.026965133912219295,0.056678306949250745
tubocurarine CTD 00006958,0.026965133912219295,0.056678306949250745
AC1L1I3Y CTD 00006365,0.026965133912219295,0.056678306949250745
3'-Azido-3'-deoxythymidine CTD 00007047,0.02735918677451797,0.057324010384704326
Bandrowski's base CTD 00002216,0.027647586728505463,0.05738178377614341
cilostazol CTD 00002032,0.027647586728505463,0.05738178377614341
Glycitein CTD 00003084,0.027647586728505463,0.05738178377614341
hycanthone MCF7 DOWN,0.02832959509733448,0.05824776562068771
MLN8054 LINCS,0.02832959509733448,0.05824776562068771
TETRACHLOROETHYLENE CTD 00006849,0.02832959509733448,0.05824776562068771
resveratrol PC3 DOWN,0.02901115928584133,0.059096805952639754
DIALLYL DISULFIDE CTD 00001321,0.02901115928584133,0.059096805952639754
tert-Butylhydroquinone CTD 00000961,0.02901115928584133,0.059096805952639754
piperlongumine HL60 DOWN,0.02942469127727455,0.05975475767077293
5182598 MCF7 UP,0.029692279563515972,0.05992937159608728
Andrographolide CTD 00001445,0.029692279563515972,0.05992937159608728
securinine HL60 UP,0.030372956185516903,0.06093055040255671
ZM-447439 LINCS,0.030372956185516903,0.06093055040255671
doxorubicin MCF7 DOWN,0.030468519403847278,0.060937038807694556
ellipticine PC3 DOWN,0.030836054355945816,0.06136258988036326
dorsomorphin CTD 00004649,0.03105318942430504,0.06136258988036326
flurbiprofen CTD 00005993,0.03105318942430504,0.06136258988036326
Diquat dication CTD 00005858,0.03105318942430504,0.06136258988036326
Decitabine CTD 00000750,0.03142485456529644,0.06191165377043477
flupentixol HL60 DOWN,0.03173297954882987,0.06218644098752236
MG-262 MCF7 DOWN,0.03198462631293356,0.06218644098752236
mitotane CTD 00006344,0.03241232681773892,0.06218644098752236
carbamazepine BOSS,0.03241232681773892,0.06218644098752236
Cardidigin CTD 00005822,0.03241232681773892,0.06218644098752236
"1,4-chrysenequinone HL60 UP",0.03241232681773892,0.06218644098752236
AMILORIDE CTD 00005369,0.03241232681773892,0.06218644098752236
phenoxybenzamine MCF7 DOWN,0.03241232681773892,0.06218644098752236
2-Mercaptobenzothiazole CTD 00000240,0.03241232681773892,0.06218644098752236
rosiglitazone CTD 00003139,0.032565337807555626,0.06229890711010642
anisomycin HL60 DOWN,0.03270289724909447,0.06238124908786807
BUTHIONINE SULFOXIMINE CTD 00007280,0.03309123150218267,0.06294009449982871
"Staurosporine, N-benzoyl- RBC",0.03376969386509401,0.06386245831221216
domperidone MCF7 DOWN,0.03376969386509401,0.06386245831221216
proscillaridin MCF7 DOWN,0.034332878548646625,0.06422455184213266
Elesclomol CTD 00004602,0.034447714169871156,0.06422455184213266
Leptomycin B CTD 00001805,0.034447714169871156,0.06422455184213266
PNU-0293363 MCF7 DOWN,0.034447714169871156,0.06422455184213266
disopyramide MCF7 DOWN,0.034447714169871156,0.06422455184213266
Vorinostat CTD 00003560,0.03463114157936849,0.06438465758417804
clofibrate CTD 00005684,0.035125292681812,0.06475612617317296
choline CTD 00005662,0.035125292681812,0.06475612617317296
5155877 MCF7 UP,0.035125292681812,0.06475612617317296
sanguinarine HL60 DOWN,0.03553216612420274,0.06532375944839501
securinine PC3 UP,0.03580242966944604,0.06563778772731774
thioridazine PC3 DOWN,0.036479125395076716,0.0666931378414145
CHEBI:18224 CTD 00001728,0.03715538012271022,0.06681893973021456
hyoscyamine CTD 00005451,0.03715538012271022,0.06681893973021456
"3,3',4,4'-Tetrachlorobiphenyl CTD 00001342",0.03715538012271022,0.06681893973021456
dl-Thioctic acid CTD 00006215,0.03715538012271022,0.06681893973021456
Picrotoxinum BOSS,0.03715538012271022,0.06681893973021456
etacrynic acid MCF7 UP,0.03715538012271022,0.06681893973021456
METHYL METHANESULFONATE CTD 00006307,0.037552939478584645,0.06735038058659203
verapamil MCF7 DOWN,0.037831194118660955,0.06766555045614155
Fisetin CTD 00000919,0.03850656764938555,0.0686873909421472
BX-795 MRC,0.03918150096867877,0.06970293972864687
alpha-Tocopherol CTD 00007387,0.039855994355866974,0.07052267097820966
TACROLIMUS MONOHYDRATE CTD 00007118,0.039855994355866974,0.07052267097820966
tyrphostin AG-825 MCF7 DOWN,0.04033365270731674,0.07117703418938248
Caffeic acid phenethyl ester CTD 00002352,0.04053004806447805,0.07133288459348136
STOCK1N-35215 MCF7 UP,0.0412036623612398,0.07213373251569831
chlorophyll a BOSS,0.0412036623612398,0.07213373251569831
F0447-0125 MCF7 UP,0.04187683751130603,0.07311828771815339
CADMIUM CTD 00005555,0.04212945291989862,0.07336527421407148
alsterpaullone PC3 DOWN,0.04316122149297465,0.0748725331814401
etacrynic acid HL60 DOWN,0.043221871427467695,0.0748725331814401
azacitidine MCF7 DOWN,0.04355778968129018,0.07525691410903539
JWE-035 LINCS,0.04389373072164962,0.07544234967783528
QUINOLINE CTD 00001749,0.04389373072164962,0.07544234967783528
cicloheximide HL60 UP,0.044049733270461494,0.07551382846364828
ouabain MCF7 DOWN,0.0442141911697543,0.07559939422807731
Mangiferin CTD 00000713,0.04456515191829398,0.07580670171668563
15-delta prostaglandin J2 PC3 UP,0.04456515191829398,0.07580670171668563
colchicine BOSS,0.04523613528541748,0.07655345971378343
Melatonin CTD 00006260,0.04523613528541748,0.07655345971378343
ajmaline HL60 DOWN,0.04587178706185064,0.07709518961896351
UNII-9XX54M675G CTD 00004634,0.04590668109129191,0.07709518961896351
pentetrazol HL60 DOWN,0.04590668109129191,0.07709518961896351
Mehp CTD 00000849,0.046576789586793774,0.07782450918299719
lomustine MCF7 UP,0.046576789586793774,0.07782450918299719
disulfiram MCF7 UP,0.04724646104265027,0.07874410173775045
quercetin HL60 UP,0.04791569572777685,0.07925904556474365
tonzonium bromide PC3 DOWN,0.04791569572777685,0.07925904556474365
Fludarabine CTD 00001135,0.04791569572777685,0.07925904556474365
fluoxetine CTD 00005988,0.04858449389017961,0.08016441491879635
