ID,MetaColumn,MetaRow,Column,Row,CLONE_ID,SPOT_ID,Reporter.Species,Reporter.BioSequence.Database.Entry..preferredName.,Repoter.Biosequence.Type,Repoter.BioSequence.PolymerType,CompositeSequence.Identifier,GeneId,CompositeSequence.Biosequence.Type,Plate.Identifier,Plate.Row,Plate.Column,LUID,Failed,Contaminated,Mpox.F.Mock.F,Mpox.F.Killed.F,Killed.F.Mock.F,AveExpr,F,P.Value,adj.P.Val,log2FC
14820,1,5,30,14,IMAGE:1554917,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.535964,gene,DNA,H,17,525677,0,U,U,-0.173125,-0.1345,-0.038625,-0.037833333,1.022020589,0.37523564,0.486099384,-0.173125
34627,3,10,7,15,IMAGE:294310,,Homo sapiens,cDNA_clone,DNA,Experimental,"Tubulin, beta 1",gene,DNA,F,10,502909,0,U,U,-0.2025,-0.084875,-0.117625,-1.098583333,1.021933441,0.375265738,0.486100765,-0.2025
36472,1,11,22,16,IMAGE:563444,,Homo sapiens,cDNA_clone,DNA,Experimental,GNAS complex locus,gene,DNA,P,23,501920,0,U,U,0.0765,0.260375,-0.183875,-0.055416667,1.021932729,0.375265984,0.486100765,0.0765
35808,4,10,18,24,IMAGE:2562181,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.414332,gene,DNA,E,22,542407,0,U,U,-0.292,-0.172875,-0.119125,-0.749541667,1.021723132,0.375338383,0.48617558,-0.292
7313,1,3,23,4,IMAGE:47459,,Homo sapiens,cDNA_clone,DNA,Experimental,Transcribed locus,gene,DNA,D,3,509902,0,U,U,-0.106875,0.163625,-0.2705,0.059708333,1.021641632,0.375366539,0.486193085,-0.106875
31572,4,9,12,3,IMAGE:683943,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,M,21,179,0,U,U,-0.193125,-0.083875,-0.10925,-0.439291667,1.021473017,0.375424798,0.486249577,-0.193125
6114,3,2,24,24,IMAGE:1251979,,Homo sapiens,cDNA_clone,DNA,Experimental,11052,gene,DNA,B,14,10279,0,U,U,-0.266875,-0.14425,-0.122625,0.148791667,1.021313425,0.375479948,0.486302039,-0.266875
13023,3,4,3,15,IMAGE:1505279,,Homo sapiens,cDNA_clone,DNA,Experimental,"Transcribed locus, strongly similar to XP_531150.1 PREDICTED: hypothetical protein XP_531150 [Pan troglodytes]",gene,DNA,N,4,525610,0,U,U,0.02025,0.22875,-0.2085,-0.104,1.021151249,0.375536,0.486343316,0.02025
4256,1,2,26,22,IMAGE:731060,,Homo sapiens,cDNA_clone,DNA,Experimental,"CDNA FLJ43371 fis, clone NTONG2005969",gene,DNA,P,14,511803,0,U,U,-0.156375,-0.18725,0.030875,-0.273958333,1.021136459,0.375541112,0.486343316,-0.156375
16871,3,5,11,23,IMAGE:1271374,,Homo sapiens,cDNA_clone,DNA,Experimental,Methylthioadenosine phosphorylase,gene,DNA,N,5,10635,0,U,U,-0.30275,-0.532125,0.229375,-0.369458333,1.021075144,0.375562307,0.486351796,-0.30275
4501,2,2,1,1,IMAGE:712335,,Homo sapiens,cDNA_clone,DNA,Experimental,28232,gene,DNA,C,2,1165,0,U,U,-0.157125,-0.07425,-0.082875,-0.5605,1.020846002,0.375641526,0.486435413,-0.157125
3792,1,2,12,7,IMAGE:711879,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,P,14,2299,0,U,U,0.20075,0.112875,0.087875,-0.594291667,1.020672159,0.375701639,0.486494284,0.20075
7320,1,3,30,4,IMAGE:46328,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.572348,gene,DNA,P,15,509980,0,U,U,-0.223625,-0.09625,-0.127375,-0.035875,1.020485515,0.37576619,0.486547474,-0.223625
21954,1,7,24,12,IMAGE:669523,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.440829,gene,DNA,D,19,600886,0,U,U,-0.285625,-0.194875,-0.09075,0.598916667,1.020468656,0.375772021,0.486547474,-0.285625
749,1,1,29,25,IMAGE:704177,,Homo sapiens,cDNA_clone,DNA,Experimental,2744,gene,DNA,L,1,925,0,U,U,-0.165,0.098,-0.263,0.899958333,1.019848432,0.375986617,0.486793826,-0.165
15312,2,5,12,1,IMAGE:1241176,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,G,17,15693,0,U,U,0.1745,0.341125,-0.166625,-0.480125,1.019753403,0.376019508,0.486793826,0.1745
19265,2,6,5,13,IMAGE:586698,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.517973,gene,DNA,K,6,505151,0,U,U,0.424125,0.10525,0.318875,-1.049958333,1.019743864,0.37602281,0.486793826,0.424125
4042,1,2,22,15,IMAGE:1284590,,Homo sapiens,cDNA_clone,DNA,Experimental,Transcriptional regulating factor 1,gene,DNA,D,14,11059,0,U,U,-0.3275,-0.299,-0.0285,0.056833333,1.019682544,0.376044036,0.486793826,-0.3275
14797,1,5,7,14,IMAGE:686235,,Homo sapiens,cDNA_clone,DNA,Experimental,54930,gene,DNA,L,5,1791,0,U,U,-0.582625,-0.655125,0.0725,0.117833333,1.019671998,0.376047686,0.486793826,-0.582625
