"initial_alias","converted_alias","name","description","namespace"
"COL17A1","1308","COL17A1","collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]","DBASS3,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YBX1","4904","YBX1","Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPM","259266","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC1","26986","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TESK2","10420","TESK2","testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIP13","9319","TRIP13","thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP6AP1","537","ATP6AP1","ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMC1A","8243","SMC1A","structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMMR","3161","HMMR","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XRCC1","7515","XRCC1","X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCARB1","949","SCARB1","scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHRS9","10170","DHRS9","dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMAN1","3998","LMAN1","lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEMA3C","10512","SEMA3C","semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR62","284403","WDR62","WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REXO2","25996","REXO2","RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBLN1","2192","FBLN1","fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EDN1","1906","EDN1","endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDC80","10403","NDC80","NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAL","3034","HAL","histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIGS","94005","PIGS","phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMC5","5705","PSMC5","proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFAP2C","7022","TFAP2C","transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AURKA","6790","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPX2","22974","TPX2","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC15A1","6564","SLC15A1","solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BIRC5","332","BIRC5","baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF4A","24137","KIF4A","kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAT14","57106","NAT14","N-acetyltransferase 14 (putative) [Source:HGNC Symbol;Acc:HGNC:28918]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM101","84336","TMEM101","transmembrane protein 101 [Source:HGNC Symbol;Acc:HGNC:28653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC80","151887","CCDC80","coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSME1","5720","PSME1","proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYL6","4637","MYL6","myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC23","8697","CDC23","cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TECR","9524","TECR","trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2F","5435","POLR2F","RNA polymerase II, I and III subunit F [Source:HGNC Symbol;Acc:HGNC:9193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIMP3","7078","TIMP3","TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP1B1","162","AP1B1","adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM5","4174","MCM5","minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYNGR1","9145","SYNGR1","synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACO2","50","ACO2","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN3","1033","CDKN3","cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DAAM1","23002","DAAM1","dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIF1A","3091","HIF1A","hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSME2","5721","PSME2","proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBL2","4605","MYBL2","MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM9SF4","9777","TM9SF4","transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDH3B","3420","IDH3B","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GDPD3","79153","GDPD3","glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT4","84560","MT4","metallothionein 4 [Source:HGNC Symbol;Acc:HGNC:18705]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COTL1","23406","COTL1","coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"QPRT","23475","QPRT","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS35L","57020","VPS35L","VPS35 endosomal protein sorting factor like [Source:HGNC Symbol;Acc:HGNC:24641]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSH","1512","CTSH","cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEMIP","57214","CEMIP","cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGM5","9333","TGM5","transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUCB1","4924","NUCB1","nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OLFM2","93145","OLFM2","olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNFN","84518","CNFN","cornifelin [Source:HGNC Symbol;Acc:HGNC:30183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM205","374882","TMEM205","transmembrane protein 205 [Source:HGNC Symbol;Acc:HGNC:29631]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR83OS","51398","WDR83OS","WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLX5","1749","DLX5","distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSDME","1687","GSDME","gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHCHD2","51142","CHCHD2","coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMA2","5683","PSMA2","proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K8","1326","MAP3K8","mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DKK1","22943","DKK1","dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT23","25984","KRT23","keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RUNDC3A","10900","RUNDC3A","RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR4","9110","MTMR4","myotubularin related protein 4 [Source:HGNC Symbol;Acc:HGNC:7452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX40","79665","DHX40","DEAH-box helicase 40 [Source:HGNC Symbol;Acc:HGNC:18018]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BLMH","642","BLMH","bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDAC5","10014","HDAC5","histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INPP4B","8821","INPP4B","inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GAB1","2549","GAB1","GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCAPG","64151","NCAPG","non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRYAB","1410","CRYAB","crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMMD9","29099","COMMD9","COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD81","975","CD81","CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXM1","2305","FOXM1","forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPZ1","22818","COPZ1","COPI coat complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF57","113246","C12orf57","chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX6A1","1337","COX6A1","cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPARD","5467","PPARD","peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMNN","51053","GMNN","geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX7A2","1347","COX7A2","cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF20A","10112","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBP1","5947","RBP1","retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCHE","590","BCHE","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C3ORF14","57415","CEP15","centrosomal protein 15 [Source:HGNC Symbol;Acc:HGNC:25024]","UNIPROT_GN"
"IL1A","3552","IL1A","interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCL","4691","NCL","nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R7","5510","PPP1R7","protein phosphatase 1 regulatory subunit 7 [Source:HGNC Symbol;Acc:HGNC:9295]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RND3","390","RND3","Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP5PB","515","ATP5PB","ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCF2","4688","NCF2","neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RGS2","5997","RGS2","regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYCL","4610","MYCL","MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SIPA1L2","57568","SIPA1L2","signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC20","991","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD3","5825","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STMN1","3925","STMN1","stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPF","1063","CENPF","centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NRP2","8828","NRP2","neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGK1","6446","SGK1","serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARG1","383","ARG1","arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF198","84886","C1orf198","chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LTBP2","4053","LTBP2","latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSX2","4488","MSX2","msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARL4A","10124","ARL4A","ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PFDN5","5204","PFDN5","prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HJURP","55355","HJURP","Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCEE","84693","MCEE","methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS10","6204","RPS10","ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT2A","4502","MT2A","metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFSF9","8744","TNFSF9","TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGM3","7053","TGM3","transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGME1","92667","MGME1","mitochondrial genome maintenance exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:16205]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERGIC3","51614","ERGIC3","ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLGAP5","9787","DLGAP5","DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCL11B","64919","BCL11B","BCL11 transcription factor B [Source:HGNC Symbol;Acc:HGNC:13222]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAT1","8520","HAT1","histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD68","968","CD68","CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPDU1","9526","MPDU1","mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:HGNC:7207]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC44A2","57153","SLC44A2","solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS4Y1","6192","RPS4Y1","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM155B","None","None","None",""
"TNNI2","7136","TNNI2","troponin I2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11946]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHMP2A","27243","CHMP2A","charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM160","54958","TMEM160","transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSS2","55902","ACSS2","acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX4I1","1327","COX4I1","cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX7B","1349","COX7B","cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
