ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000188525,5.531270275,5.534967444,2.472499804,8.34E-05,0.000336857
ENSG00000188529,70.1708359,2.429057864,0.294300014,3.08E-17,4.19E-16
ENSG00000188542,6.658792914,1.960864088,0.905236927,0.005670991,0.014814351
ENSG00000188549,29.37177389,-1.388570134,0.393597195,0.000152131,0.000584617
ENSG00000188566,35.94296951,1.680628906,0.395610974,6.12E-06,2.99E-05
ENSG00000188573,2.654609881,4.304244661,2.797470665,0.002697562,0.007742456
ENSG00000188624,413.4999016,-3.326711324,0.13910674,2.85E-127,4.30E-125
ENSG00000188643,1630.541374,-2.768569767,0.078240785,3.53E-275,1.34E-272
ENSG00000188647,31.89564343,1.69303288,0.393182604,4.77E-06,2.37E-05
ENSG00000188690,5.934959091,-1.618898973,0.903872692,0.016140195,0.036769985
ENSG00000188766,24.95638418,4.687075203,0.872139688,4.70E-08,3.07E-07
ENSG00000188818,5.112319242,2.071179137,1.264959606,0.018507982,0.041363726
ENSG00000188846,98.16088829,-1.992227084,0.227852735,5.18E-19,7.83E-18
ENSG00000188848,8.659148709,6.89232824,2.474341944,6.44E-07,3.63E-06
ENSG00000188883,2.620214741,-0.923742013,1.719472096,0.016856373,0.03819125
ENSG00000188895,70.02154424,0.659961366,0.242603944,0.005030936,0.013347006
ENSG00000188910,193.7735998,-1.114482754,0.167701308,1.57E-11,1.46E-10
ENSG00000188938,24.78996556,2.214533941,0.49955945,1.90E-06,1.01E-05
ENSG00000188976,52.78480887,-0.640147832,0.276320797,0.0158127,0.03611481
ENSG00000188986,63.34110603,-1.1867387,0.290702705,2.07E-05,9.34E-05
ENSG00000188993,3.297003716,4.685736327,2.654685046,0.001189928,0.003733512
ENSG00000188994,37.36825849,1.726746563,0.383842163,1.94E-06,1.02E-05
ENSG00000189001,2026.257114,-1.280212265,0.106894467,2.07E-33,6.04E-32
ENSG00000189030,2.551153101,3.729511912,4.048572776,0.008710389,0.021530631
ENSG00000189042,21.77923725,1.965280592,0.537102655,5.58E-05,0.000234454
ENSG00000189043,73.50285148,-1.32858008,0.24329996,1.95E-08,1.32E-07
ENSG00000189046,11.06526976,-1.783974141,0.726233104,0.002974559,0.008428193
ENSG00000189050,21.72907064,1.085316705,0.501428732,0.01436948,0.033307198
ENSG00000189051,19.87714511,-1.133242639,0.538028725,0.01503357,0.034591784
ENSG00000189060,658.3654404,0.384333699,0.091445128,2.35E-05,0.000105057
ENSG00000189067,84.81914048,-0.807684882,0.242516476,0.000585844,0.001975553
ENSG00000189091,84.26722178,0.968991876,0.23353136,1.98E-05,8.94E-05
ENSG00000189120,23.30680484,-2.40630377,0.473499438,6.45E-08,4.14E-07
ENSG00000189134,5.945473942,2.045514382,1.080976531,0.008787812,0.021684989
ENSG00000189143,76.55839344,-0.544507703,0.238790691,0.018674033,0.041666143
ENSG00000189159,109.7651377,-0.787876996,0.202738006,7.01E-05,0.000287998
ENSG00000189171,164.2225736,2.026612048,0.205880651,1.21E-23,2.34E-22
ENSG00000189180,12.63784703,-1.12960069,0.570485998,0.020334798,0.044857994
ENSG00000189182,4.677033808,-3.469397645,1.483415957,0.0020386,0.006046482
ENSG00000189266,440.5603973,2.866166281,0.136941545,5.81E-98,5.61E-96
ENSG00000189280,113.0845855,-3.403745919,0.328512603,4.07E-26,8.75E-25
ENSG00000189298,10.71381382,1.848094764,0.728075052,0.002496767,0.007227747
ENSG00000189334,2631.444719,-2.256072974,0.094188044,1.50E-127,2.28E-125
ENSG00000189410,263.5927548,3.058469463,0.178594715,1.65E-66,1.02E-64
ENSG00000189420,6.141661069,1.975472533,1.134164556,0.014634236,0.03380184
ENSG00000189433,22.2429901,-1.768492361,0.492098815,7.95E-05,0.000322418
ENSG00000196139,12.93720968,-3.169887168,0.713338569,1.25E-06,6.75E-06
ENSG00000196154,60.07830483,-3.018800005,0.430120571,2.58E-13,2.75E-12
ENSG00000196182,150.9020958,2.768109303,0.215375947,1.54E-38,5.33E-37
ENSG00000196230,393.8836173,-2.869383247,0.125306067,8.04E-117,1.02E-114
ENSG00000196233,17.61285556,1.772544976,0.548286854,0.00031372,0.001127491
ENSG00000196235,86.59874187,0.60495568,0.222078093,0.005155362,0.013628074
ENSG00000196262,218.0313077,-2.004051219,0.147671847,1.34E-42,5.15E-41
ENSG00000196290,23.78827719,-1.773521036,0.481821188,5.68E-05,0.000237686
ENSG00000196305,252.8764992,1.538133494,0.145205127,1.16E-26,2.56E-25
ENSG00000196313,18.8793894,1.733250796,0.524546612,0.000249668,0.000914776
ENSG00000196337,9.272000759,2.411948194,0.935181313,0.001860378,0.005565759
ENSG00000196338,24.73775159,5.093506605,0.87315009,4.00E-09,2.95E-08
ENSG00000196352,86.28388631,1.24336719,0.262342083,9.61E-07,5.29E-06
ENSG00000196361,2.016683269,3.133507919,3.077571776,0.009990278,0.024271683
ENSG00000196363,97.54473416,2.274345665,0.243069894,1.57E-21,2.75E-20
ENSG00000196371,5.960787533,3.844448662,2.371709826,0.002082253,0.006160599
ENSG00000196372,5.630647846,-3.317870606,1.13816186,0.000490804,0.001684931
ENSG00000196378,17.08426425,2.153441484,0.551493292,1.86E-05,8.45E-05
ENSG00000196387,37.82029754,1.916397735,0.370600237,5.64E-08,3.64E-07
ENSG00000196388,4.249035992,2.107572126,1.625201701,0.021028296,0.046155787
ENSG00000196407,15.36648641,-4.122998577,0.998332425,3.28E-06,1.68E-05
ENSG00000196411,25.52293213,-2.075202374,0.438721219,4.61E-07,2.65E-06
ENSG00000196419,251.5644405,-1.253364109,0.141624534,3.89E-19,5.93E-18
ENSG00000196428,34.12151494,1.862858867,0.390626249,4.67E-07,2.68E-06
ENSG00000196449,116.1681689,1.493856525,0.224075882,9.10E-12,8.59E-11
ENSG00000196470,31.89260869,1.986789462,0.417822515,4.63E-07,2.66E-06
ENSG00000196497,18.24661871,-0.988905762,0.477226078,0.019876966,0.043968602
ENSG00000196531,141.2502192,-0.855530414,0.17209706,4.40E-07,2.54E-06
ENSG00000196535,31.45253766,-1.14590136,0.371563829,0.00096584,0.003096849
ENSG00000196542,12.43984463,-2.935543737,0.739474472,8.82E-06,4.21E-05
ENSG00000196544,15.61294753,-1.355230511,0.60023996,0.007827833,0.019666139
ENSG00000196562,30.21949184,-1.843027487,0.390400855,5.55E-07,3.16E-06
ENSG00000196581,8.86175868,2.446466556,0.790666763,0.000313153,0.001126014
ENSG00000196588,45.62190625,1.899643242,0.35161767,1.61E-08,1.11E-07
ENSG00000196611,41.39220018,4.948854402,0.83786816,3.47E-09,2.58E-08
ENSG00000196636,6.903362555,-3.737026766,1.096577281,0.000100114,0.000399133
ENSG00000196639,31.55402032,0.989536733,0.38868592,0.005943354,0.015447812
ENSG00000196642,17.75927365,-1.252889886,0.490928825,0.004226971,0.01148125
ENSG00000196652,20.07944268,1.107490144,0.472074619,0.008713366,0.021534313
ENSG00000196683,111.9106591,-2.538101103,0.215811489,1.00E-32,2.84E-31
ENSG00000196689,16.63815744,2.467885988,0.672763654,4.53E-05,0.000193449
ENSG00000196700,50.30809622,1.078893191,0.318816213,0.000363348,0.001288897
ENSG00000196704,43.25950643,-1.170282855,0.308871429,6.99E-05,0.000287566
ENSG00000196705,32.37298833,2.162443182,0.437294552,1.65E-07,1.00E-06
ENSG00000196712,40.12604597,2.569953541,0.402273139,3.20E-11,2.90E-10
ENSG00000196734,53.30250816,1.485405987,0.370543473,2.03E-05,9.18E-05
ENSG00000196739,20.18464324,1.481375624,0.481071887,0.000667931,0.002228488
ENSG00000196743,126.5395844,-3.067953628,0.232674621,1.37E-40,5.06E-39
ENSG00000196754,1936.498796,-1.814874645,0.070400273,3.12E-147,5.65E-145
ENSG00000196756,29.80822399,3.440049695,0.553347687,1.04E-10,8.96E-10
ENSG00000196757,23.610964,0.951908209,0.424066398,0.013875253,0.032322018
ENSG00000196776,10.69346912,-2.065789793,0.699507738,0.000598002,0.0020114
ENSG00000196787,103.8337574,5.678167631,0.611541907,2.25E-20,3.65E-19
ENSG00000196792,85.98334864,1.83924864,0.254687876,1.42E-13,1.53E-12
ENSG00000196821,285.6912752,0.54390954,0.128189655,1.91E-05,8.68E-05
ENSG00000196850,85.04999004,2.531135966,0.268706854,8.72E-22,1.54E-20
ENSG00000196866,279.2164641,7.237903647,0.503377508,2.48E-46,1.02E-44
ENSG00000196878,1657.957842,2.482654638,0.080793909,5.20E-208,1.51E-205
ENSG00000196890,38.67273043,4.613202499,0.657064202,9.73E-13,9.91E-12
ENSG00000196924,313.8554969,-0.577856799,0.131848794,9.95E-06,4.71E-05
ENSG00000196937,29.74903117,0.808982069,0.382121359,0.022285691,0.048533133
ENSG00000196943,46.49940503,-0.990255756,0.301274269,0.000570557,0.0019312
