"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"20380",20380,3,6,10,20,"IMAGE:784229","","Homo sapiens","cDNA_clone","DNA","Experimental","**Transcribed locus, moderately similar to XP_517655.1 PREDICTED: similar to KIAA0825 protein [Pan troglodytes]","gene","DNA","F",18,510977,0,"U","U",-1.05545833333333,2.33228571428571,-4.59143514831234,0.000357700374890596,0.00617059268914241,-0.179051820248935,-1.05545833333333
"24385",24385,4,7,25,3,"","EMPTY","Not Applicable","unknown_sequence","unknown_polymer","Control","","","","I",7,29044,0,"U","U",0.993583333333334,-0.894928571428571,4.59109294922146,0.000357942512407367,0.00617176498400497,-0.179735906439609,0.993583333333334
"41315",41315,2,12,5,28,"","K8R_1407_a","Variola virus","ss_oligo","DNA","Experimental","","","","O",12,31210,0,"U","U",2.82045833333333,-0.114857142857143,4.59052093746516,0.000358347639474286,0.00617574509216555,-0.180879429963978,2.82045833333333
"2922",2922,4,1,12,8,"IMAGE:1183769","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.580466","gene","DNA","I",13,9655,0,"U","U",-0.629916666666667,-0.432214285714286,-4.59004181520642,0.000358687339888482,0.0061785943190416,-0.18183727641138,-0.629916666666667
"34992",34992,3,10,12,27,"","A32L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","N",22,30371,0,"U","U",4.13783333333333,-0.287642857142857,4.5884998010785,0.000359782882723998,0.00619411452684715,-0.184920151665295,4.13783333333333
"10874",10874,1,4,14,3,"IMAGE:700722","","Homo sapiens","cDNA_clone","DNA","Experimental","Transcribed locus, weakly similar to NP_060190.1 signal-transducing adaptor protein-2; brk kinase substrate [Homo sapiens]","gene","DNA","D",16,1940,0,"U","U",0.773708333333333,0.114214285714286,4.58828191111873,0.000359937962091222,0.00619411452684715,-0.185355784420295,0.773708333333333
"5172",5172,2,2,12,23,"IMAGE:1269821","","Homo sapiens","cDNA_clone","DNA","Experimental","PFN2","gene","DNA","O",14,10459,0,"U","U",1.911,-0.395,4.5877859354957,0.000360291220012987,0.00619718388287387,-0.186347415219514,1.911
"17254",17254,4,5,4,6,"IMAGE:878355","","Homo sapiens","cDNA_clone","DNA","Experimental","53335","gene","DNA","A",17,521897,0,"U","U",0.974208333333333,0.128642857142857,4.58726525763241,0.000360662455059592,0.00620022656108565,-0.187388456268109,0.974208333333333
"144",144,1,1,24,5,"IMAGE:1340172","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.524910","gene","DNA","P",13,18523,0,"U","U",-0.665083333333333,0.189714285714286,-4.58704714307702,0.000360818083960111,0.00620022656108565,-0.187824560170799,-0.665083333333333
"29499",29499,1,9,9,24,"IMAGE:768464","","Homo sapiens","cDNA_clone","DNA","Experimental","GTP binding protein 6 (putative)","gene","DNA","H",9,515113,0,"U","U",-0.649416666666667,0.0254285714285714,-4.58556735894606,0.000361875760367439,0.00621538721139093,-0.190783381993397,-0.649416666666667
