,,,,,RNA-Seq,,,,,,,,,,,,,,Microarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kera,,,,,,,Colon,,,,,,,,Entrenz,,,,,,,,Gene Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibroblast,,,Monocyte,,,,,Fibroblast,,,,,Monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clade IIa,,Clade IIb,,Clade I,,,Clade IIa,,Clade IIb,,Clade I,,,,Zaire,,,Zaire,,,,Zaire,,,,,Zaire,,,,,,,,Keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,DOWN,,,
UP,Down,UP,Down,UP,Down,,UP,Down,UP,Down,UP,Down,,,UP,Down,,UP,Down,,,,UP,,Down,,,UP,,Down,,,,,1510,,"396 elements included exclusively in ""clade IIb"":",,"19 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,"11 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,"402 elements included exclusively in ""clade IIb"":",,,"8 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,,"3 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,,,402+5,,,,,,,,,,,,,,,,,,,,,,,
RNF216,RALBP1,GCLM,AP2S1,RNF216,IFNGR1,,,,,,,,,,29627,2292,,827,39378,,,3485,IGFBP2,2364,FRA1E,,1731,SEPTIN1,,,,,,,WDR37,,BIK,,,,,,,,,,CDC23,,,,,,,,,,,,,,,,,,,,,,HDAC6,,PRR4,,WASHC4,,,,,,,FXYD5,,HECTD3,,HOXA4
PTBP1,CNTN1,UBR2,KITLG,PTBP1,BAK1,,,,,,,,,,4429,7539,,2587,39027,,,25987,TSKU,3210,HOXB@,,26031,OSBPL3,,,,,,,HDAC9,,ZC3H7B,,,,,,,,,,TECR,,,,,,,,,,,,,,,,,,,,,,CDC6,,NPR3,,ULK3,,,,,,,RBM41,,TRMT5,,TRBV21OR9-2
MAP4K3,AGPS,NCAPH2,VAMP3,MAP4K3,GRN,,,,,,,,,,19687,3916,,39485,38165,,,23325,WASHC4,3208,HPCA,,1730,DIAPH2,,,,,,,PER3,,CGRRF1,,,,,,,,,,POLR2F,,,,,,,,,,,,,,,,,,,,,,BAMBI,,ABCB6,,USP22,,,,,,,FETUB,,YWHAH,,AGA
ERCC1,CPS1,VIM,EPN3,ERCC1,ALG1,,,,,,,,,,27789,3178,,29589,7017,,,25989,ULK3,2910,NR3C1P1,,8927,BSN,,,,,,,NEDD4L,,PCK2,,,,,,,,,,TIMP3,,,,,,,,,,,,,,,,,,,,,,CATSPERG,,ARTN,,PHOX2B,,,,,,,CMTM6,,CDC42EP1,,GSC2
ELOVL5,NLRP2,AGPAT4,RFC2,ELOVL5,TMSB10,,,,,,,,,,35027,1618,,4390,37077,,,23326,USP22,10868,USP20,,8928,FOXH1,,,,,,,ARHGEF5,,NINL,,,,,,,,,,AP1B1,,,,,,,,,,,,,,,,,,,,,,EFNA2,,FASTKD2,,BSN,,,,,,,SEL1L3,,ANAPC13,,CSDE1
KDM5D,RNH1,TBPL1,DKK3,KDM5D,PEX3,,,,,,,,,,3531,340,,4386,43047,,,25988,HINFP,3444,IFNA7,,28690,TRAV3,,,,,,,BCAR1,,CTSZ,,,,,,,,,,MCM5,,,,,,,,,,,,,,,,,,,,,,TECR,,MED28,,FOXH1,,,,,,,AAAS,,DTD2,,TRGV6
PSMC4,DERA,FAM13B,NFE2L3,PSMC4,FAM136A,,,,,,,,,,792,7604,,13390,38893,,,8929,PHOX2B,3201,HOXA4,,8925,HERC1,,,,,,,ARID4B,,TRIB3,,,,,,,,,,SYNGR1,,,,,,,,,,,,,,,,,,,,,,IGF2-AS,,RAB3GAP2,,HERC1,,,,,,,MRPS18A,,PODNL1,,TRGV10
PGM3,DEF6,ZCCHC8,LIMA1,CLK1,ADSS,,,,,,,,,,25992,18711,,24189,20412,,,8927,BSN,6959,TRBV21OR9-2,,8926,SNURF,,,,,,,RELT,,CDS2,,,,,,,,,,ACO2,,,,,,,,,,,,,,,,,,,,,,CYP2D6,,GTF3C3,,SNURF,,,,,,,TMEM14A,,GRSF1,,HTR1E
CLK1,EHD2,CHPF2,THOC3,GPRC5A,MRI1,,,,,,,,,,2586,5102,,20627,21312,,,8928,FOXH1,175,AGA,,8028,MLLT10,,,,,,,USP36,,ABCD1,,,,,,,,,,CDKN3,,,,,,,,,,,,,,,,,,,,,,FBXO7,,KLHL29,,POLR2A,,,,,,,TMED1,,FLOT2,,HLA-DOB
GPRC5A,CD44,TUBG2,FNIP2,TACC3,CDH1,,,,,,,,,,7131,11084,,31386,39030,,,8925,HERC1,2928,GSC2,,8029,CUBN,,,,,,,KMT2C,,RENBP,,,,,,,,,,DAAM1,,,,,,,,,,,,,,,,,,,,,,MIOX,,CD274,,TTC28,,,,,,,TRMT2A,,NXT1,,RNF19A
