Gene,WDR37,OGFR,ATP1B3,CNOT4,OVGP1,NFAT5,NEFM,ICAM5,ELL,CLDN15,ATP5F1B,FGFR1OP2,ITGB6,SLC8A2,PLAGL1,INHBA,TUBA1B,DHX38,GATA6,XRCC4,UBXN7,ATP5MG,ZNF212,BSG,IDH2,CBX6,GM2A,condition
GSM6765206,16.49586717,28.1400087,170.7807425,12.61448666,21.34759281,20.37724768,8.733106148,1.940690255,20.37724768,35.90276972,981.9892691,13.58483179,16.49586717,0.970345128,14.55517691,1.940690255,112.5600348,43.66553074,60.16139791,20.37724768,20.37724768,204.7428219,5.822070765,472.5580771,126.1448666,10.6737964,82.47933584,0
GSM6765207,16.15781729,35.34522532,155.5189914,11.10849939,19.18740803,14.13809013,9.088772225,1.009863581,21.20713519,43.42413396,1026.021398,9.088772225,16.15781729,2.019727161,17.16768087,2.019727161,130.2724019,47.46358829,64.63126916,15.14795371,16.15781729,211.0614883,10.09863581,592.7899218,142.3907649,12.11836297,84.82854077,0
GSM6765208,16.77402023,31.57462632,167.7402023,10.8537778,18.74743438,16.77402023,7.89365658,0.986707073,20.72084852,36.50816168,988.6804867,11.84048487,14.80060609,0.986707073,13.81389902,1.973414145,119.3915558,42.42840412,61.1758385,17.76072731,19.73414145,213.1287277,9.867070725,515.0610919,143.0725255,11.84048487,80.90997995,0
GSM6765209,18.71687111,29.55295439,164.5114461,11.82118176,19.70196959,17.73177263,9.850984797,0.98509848,23.64236351,39.40393919,950.6200329,11.82118176,14.77647719,0.98509848,14.77647719,1.970196959,133.9733932,49.25492398,55.16551486,18.71687111,19.70196959,217.706764,8.865886317,537.8637699,132.9882948,12.80628024,84.71846925,0
GSM6765210,16.4422836,29.98298775,171.1931881,10.63912468,18.37666991,19.34386306,8.704738378,1.934386306,21.27824937,34.81895351,900.4568255,12.57351099,13.54070414,1.934386306,13.54070414,1.934386306,121.8663373,49.32685081,57.06439603,22.24544252,20.31105621,211.8153005,8.704738378,517.4483369,125.7351099,12.57351099,76.40825909,0
GSM6765211,19.11267758,32.49155188,168.1915627,11.46760655,19.11267758,20.06831146,6.689437152,0.955633879,20.06831146,32.49155188,891.606409,13.3788743,14.33450818,0.955633879,15.29014206,0.955633879,131.8774753,46.82606006,51.60422946,21.02394533,20.06831146,210.2394533,10.51197267,516.0422946,116.5873332,11.46760655,80.27324582,0
GSM6765212,18.80644094,35.63325652,149.4617149,12.86756486,18.80644094,18.80644094,6.928688768,0.989812681,20.78606631,34.64344384,926.4646696,12.86756486,15.8370029,0.989812681,14.84719022,1.979625362,114.818271,44.54157065,58.39894819,17.81662826,21.77587899,218.7486025,9.898126812,563.2034156,132.6348993,11.87775217,77.20538913,1
GSM6765213,16.98455999,33.96911997,166.8483246,10.9900094,22.97911057,18.98274351,6.993642347,1.998183528,18.98274351,36.96639526,994.0963051,12.98819293,12.98819293,0.999091764,14.98637646,0.999091764,121.8891952,43.96003761,51.95277172,18.98274351,17.98365175,222.7974634,9.990917639,512.5340749,138.8737552,9.990917639,77.92915758,1
GSM6765214,17.81403355,32.65906152,150.4296167,11.87602237,19.79337062,15.83469649,6.927679715,0.989668531,20.78303915,32.65906152,939.1954357,10.88635384,13.85535943,0.989668531,15.83469649,1.979337062,119.7498922,47.50408948,56.41110625,20.78303915,18.80370208,210.7993971,8.907016777,554.2143772,136.5742572,11.87602237,76.20447687,1
GSM6765215,18.0108726,30.72442974,184.3465784,10.59463094,23.30818808,20.12979879,6.356778566,0,20.12979879,37.0812083,922.7923552,13.77302023,12.71355713,1.059463094,18.0108726,1.059463094,127.1355713,46.61637615,43.43798687,22.24872498,22.24872498,239.4386593,9.535167849,512.7801377,122.8977189,11.65409404,80.51919517,0
