ID,logFC,common,gene_id,gene_name,gene_name_old
35034,6.74525,,7130,TNFAIP6,
13392,8.556666667,,9790,BMS1,
14298,7.170416667,,7128,TNFAIP3,
22434,5.198083333,,68,ACTBP8,
11653,8.905125,,23345,SYNE1,
35052,8.218583333,,23588,KLHDC2,
32291,7.248333333,,23582,CCNDBP1,
41427,1.94225,,23341,DNAJC16,
18803,8.870916667,,23583,SMUG1,
14294,6.302208333,,79,ACTG1P7,
31426,7.65275,,7392,USF2,
22428,5.8,,8259,INDX,
1701,8.75075,,8258,GUST,
35886,7.026333333,,26030,PLEKHG3,
30535,6.892916667,,1854,DUT,
1736,8.80375,,28691,TRAV2,
36817,8.739791667,,26032,SUSD5,
32331,6.722916667,,28692,TRAV1-2,
16096,9.105041667,,26031,OSBPL3,
12492,8.173,,28690,TRAV3,
15225,7.269291667,,8028,MLLT10,
7992,8.198166667,,8029,CUBN,
16143,9.03875,,8026,DGS2,
13417,8.078375,,8027,STAM,
4385,7.55925,,26043,UBXN7,
20598,6.999791667,,26045,LRRTM2,
15230,7.121375,,29796,UQCR10,
7132,7.517,,1869,E2F1,
19690,6.873708333,,3801,KIFC3,
8020,8.649625,,8031,NCOA4,
24259,8.720041667,,8030,CCDC6,
5286,7.706291667,,10914,PAPOLA,
2593,7.780041667,,27102,EIF2AK1,
20625,9.3015,,1872,E2F3P1,
1725,8.372875,,1870,E2F2,
2592,8.312708333,,26027,ACOT11,
787,8.280125,,28689,TRAV4,
31455,8.861833333,,28686,TRAV7,
18843,8.494833333,,26025,PCDHGA12,
17925,9.133916667,,28685,TRAV8-1,
5295,8.769625,,1889,ECE1,
27843,6.08125,,9384,COX6CP1,
35012,7.946416667,,9382,COG1,
18845,7.822083333,,28891,IGKV1D-43,
28685,6.535791667,,26005,C2CD3,
14288,7.301,,26001,RNF167,
35893,7.618791667,,3608,ILF2,
1696,8.614041667,,3607,FOXK2,
13457,8.132,,1690,COCH,
17885,9.0805,,3624,INHBA,
22454,9.623208333,,1687,GSDME,
24188,7.760583333,,4952,OCRL,
26040,8.435541667,,3628,INPP1,
21527,7.284625,,9744,ACAP1,
1741,8.943041667,,4298,MLLT1,
15185,7.080083333,,590,BCHE,
16103,8.60725,,472,ATM,
4394,5.79275,,1579,CYP4A11,
34991,6.889416667,,474,ATOH1,
2632,7.69925,,236,AKR1B1P2,
36835,6.687666667,,28610,TRBV5-5,
4435,7.644125,,7436,VLDLR,
6237,7.745291667,,11189,CELF3,
795,9.122458333,,2308,FOXO1,
8034,8.067916667,,7696,ZNF137P,
14325,7.752166667,,7691,ZNF132,
26888,5.445083333,,483,ATP1B3,
36857,8.675083333,,2558,GABRA5,
21487,7.507333333,,3402,IDDM3,
4425,7.855166667,,489,ATP2A3,
5331,8.677166667,,2553,GABPB1,
2635,8.521875,,2311,FOXO1B,
39525,6.5865,,2310,FOXO3B,
857,8.827,,10420,TESK2,
20603,9.563416667,,490,ATP2B1,
15260,8.535916667,,495,ATP4A,
12491,7.238333333,,496,ATP4B,
39485,6.265416667,,3410,IDDM11,
25094,7.312916667,,3419,IDH3A,
26033,6.961541667,,10632,ATP5MG,
33195,6.80625,,3418,IDH2,
33235,6.704541667,,7475,WNT6,
4436,8.037,,28608,TRBV5-7,
19685,6.452458333,,7478,WNT8A,
31435,7.123208333,,3431,SP110,
31415,9.106708333,,28607,TRBV5-8,
14330,5.143375,,3428,IFI16,
31433,8.061708333,,7004,TEAD4,
11613,8.479625,,8576,STK16,
15220,8.199583333,,1380,CR2,
10707,6.967541667,,2900,GRIK4,
13425,7.939833333,,28374,IGHVII-22-1,
12516,7.945833333,,155,ADRB3,
35914,7.811875,,26870,RNU1-2,
34133,7.471083333,,3434,IFIT1,
13385,7.495041667,,4780,NFE2L2,
5291,8.823,,3694,ITGB6,
5335,8.893291667,,4300,MLLT3,
35895,6.675916667,,8346,H2BC10,
12494,7.630458333,,2364,FRA1E,
831,8.706541667,,3210,HOXB@,
25139,5.73425,,3208,HPCA,
38598,8.829208333,,2910,NR3C1P1,
23288,8.831916667,,10868,USP20,
26919,9.122958333,,3444,IFNA7,
35031,7.017083333,,3201,HOXA4,
23340,7.685625,,6959,TRBV21OR9-2,
43138,8.285541667,,175,AGA,
20638,6.384958333,,2928,GSC2,
9788,6.763708333,,7812,CSDE1,
17931,8.085166667,,6980,TRGV6,
5299,6.389041667,,6984,TRGV10,
791,8.58375,,3354,HTR1E,
31395,7.16875,,3112,HLA-DOB,
17891,8.30125,,25897,RNF19A,
38638,8.834666667,,25898,RCHY1,
39535,6.314291667,,1291,COL6A1,
20600,6.545666667,,744,MPPED2,
2629,5.966916667,,6977,TRGV4,
29659,8.398291667,,506,ATP5F1B,
21553,3.716208333,,628,BEVI,
13394,6.9445,,507,ATP5F1BP1,
17889,7.294583333,,10048,RANBP9,
17021,8.139666667,,7706,TRIM25,
25993,6.257458333,,2274,FHL2,
23328,8.382166667,,3916,LAMP1,
5326,7.4395,,3236,HOXD10,
4396,7.856583333,,10938,EHD1,
8056,8.060166667,,10376,TUBA1B,
26916,8.988125,,1618,DAZL,
23650,2.451916667,,6869,TACR1,
10694,6.639416667,,1616,DAXX,
835,9.182916667,,10939,AFG3L2,
