,GSM593806,GSM593811,GSM593812,GSM593813,GSM593816,GSM593819,GSM593821,GSM593828,GSM593829,GSM593838,GSM593839,GSM593842,GSM593843,GSM593845,GSM593855,GSM593859,GSM593863,GSM593865,GSM593867,GSM593870,GSM593872,GSM593875,GSM593882,GSM593885,GSM593886,GSM593887,GSM593891,GSM593897,GSM593899,GSM593902,GSM593915,GSM593916,GSM593922,GSM593933,GSM593940,GSM593942,GSM593946,GSM593947,GSM593949,GSM593957,GSM593958,GSM593965,GSM593970,GSM593977,GSM593978,GSM593983,GSM593988,GSM593989,GSM593992,GSM593993,GSM593996,GSM593998
30488,-0.132822161,-1.366379845,-0.404409713,0.989525102,1.820676661,1.273696991,1.562844082,-0.865932955,0.316116744,-1.376330251,-1.059673213,-0.769648144,-1.056161305,0.443423409,-0.784573753,-1.165615771,-0.123457073,1.269014447,0.366746751,-1.01372575,1.288037282,-0.202182344,-0.901052035,0.157788225,-0.494256026,-0.733943746,1.628985016,0.959673884,-0.877053997,-0.750917968,-0.724871317,0.254951013,0.346260621,-0.609856331,-0.893150242,-0.922708801,0.336895533,1.050105515,-0.821448787,1.23887057,1.875696553,0.204906324,-0.303442358,-0.956657245,1.733756938,0.646528755,-1.60753086,1.297987688,0.314068131,-1.309603999,1.21253126,-0.361681499
25991,-0.268012388,-1.021273516,-0.607140412,1.13286069,1.70342462,1.30884537,1.697879498,-1.106201446,0.129485348,-1.074681802,-0.649750302,-0.901323759,-1.293860069,0.129777196,-0.797717521,-1.221773475,-0.385627357,1.413035305,0.216748066,-0.788086518,1.356124836,0.011870379,-1.03265561,-0.103409802,-0.588753953,-1.069428528,1.542032368,1.138697661,-0.938972223,-0.596633864,-0.565989766,0.274242232,0.570760367,-0.788962064,-1.211558776,-0.913873247,0.034634566,0.812702822,-0.849666564,1.133444387,1.86744351,0.263443836,-0.29398691,-1.169532583,1.797108007,0.707345492,-0.825734982,1.563629161,0.069656393,-0.513748874,1.459439226,-0.756275025
42186,-0.415737586,-0.562162264,-1.344569722,1.104169545,2.055771825,1.017516496,1.903970863,-0.338888349,-0.197207452,-1.149442236,-0.782589911,-0.721237022,-0.678543002,-0.330665797,-1.03812153,-1.059626667,-0.243063992,1.910928407,-0.120041963,-0.639011501,1.425481581,-0.270894169,-0.677594246,-0.594103717,-0.626045169,-0.111503159,1.82617287,1.050406704,-0.879995528,-0.358495974,-0.56469228,-0.20796002,-0.138068327,-0.739895891,-0.750648459,-0.496698099,0.360977336,0.594687567,-0.610548821,0.829979058,2.090875798,-0.017892565,-0.627942681,-0.997957526,2.051660549,0.334412167,-1.372716151,1.405873957,0.070025492,-0.581453636,1.295818259,-1.082713063
32331,-0.651000537,-0.64578732,-0.21644162,0.978502309,1.586214522,1.131175107,1.801818303,-0.874424145,-0.156861991,-1.161895854,-0.325919188,-0.82787756,-1.314568652,0.179018166,-0.889691425,-0.891925661,-0.403745078,1.549349627,0.063210262,-1.051301168,1.303956031,0.019642659,-0.831228914,-0.107708798,-0.778351994,-0.702015594,1.873686231,1.42199817,-0.804418081,-0.786916565,-0.660682227,-0.091696772,0.145132252,-0.725475073,-1.266532577,-0.889319052,0.273600826,1.301721795,-1.006988819,1.338214317,1.849854379,0.029696721,-0.305066318,-0.904958705,1.774262725,0.415474817,-0.712069657,1.411571735,-0.477847241,-0.368742046,1.4774817,-1.094124026
18796,-0.156033005,-1.572416165,-0.992325589,1.469003757,1.411106578,0.969186081,1.564380269,-0.858071261,0.404478814,-1.419981563,-0.730809346,-0.845484918,-1.100847838,0.566423098,-0.971907744,-1.031203405,-0.148481199,1.264545603,0.535097088,-0.91764662,1.389010553,-0.249171945,-0.728851471,0.479437481,-0.421464999,-1.487108727,1.514873985,1.026523867,-1.027007958,-0.967712296,-0.560474168,0.528384371,0.792417883,-0.838492505,-0.766051108,-0.775840486,0.620404525,0.684734724,-0.703958481,0.95324338,1.598223547,0.530342247,-0.690533048,-1.049943072,1.664791318,0.967787599,-0.868140336,1.167211215,0.311339874,-0.819473142,1.289158896,-1.002674361
12532,-0.707801049,-0.418892286,-0.402212369,1.325890044,1.839190906,1.071285263,1.794816031,-0.662482027,-0.372629118,-1.293171744,-0.81574844,-0.666888043,-0.660593735,-0.429907326,-0.529042686,-1.055561596,-0.494109273,1.680259615,0.068916626,-0.743993323,1.329981345,-0.460120007,-0.565864391,-0.167749375,-0.618421867,-0.573732277,1.836987898,1.298195086,-0.780815028,-0.896630305,-0.31472148,-0.050675236,0.060104594,-0.755323078,-0.824245757,-0.359096355,-0.150125311,0.66750537,-0.971217862,0.998271284,1.913149032,-0.030533449,-0.673811783,-0.868305917,2.063897722,0.506056355,-0.705598041,1.280571022,-0.065466861,-0.404730092,1.683721485,-1.928582192
32330,-0.431962074,-0.736166946,-0.787738907,1.259807293,1.636840136,1.080002351,1.819781211,-1.264431078,0.183416855,-1.259901109,-0.951514726,-0.741742294,-1.142818821,0.148222477,-0.718395528,-0.666475109,-0.164693875,1.067109361,0.552086678,-0.994375206,1.42462849,0.00953572,-0.696791058,0.20293057,-0.684594986,-1.100655259,1.648339289,1.056307126,-0.715956313,-0.942454787,-0.630583812,0.205718244,0.586584138,-0.773800539,-1.051174054,-0.741045375,0.407476115,0.767434458,-0.722577038,0.912045021,1.735105628,0.479955626,-0.228113448,-0.719440905,1.800615955,0.810991856,-1.456432092,1.538923104,-0.316622082,-1.388831009,1.442399908,-0.746969181
25134,-0.35451195,-1.682825304,-0.670445393,1.313793906,1.350832195,1.61389902,1.476825692,-1.761333815,0.355230313,-1.041777987,-0.767631332,-0.70495115,-0.73914034,0.171938266,-0.600800747,-0.864817271,-0.150959642,1.313477339,0.249813643,-0.626759206,1.457198564,-0.044909839,-0.502981675,0.284952533,-0.812583786,-0.844873577,1.758253378,1.3346873,-0.934461918,-1.052857817,-0.889826031,0.02821704,0.432472558,-0.257326012,-1.155741955,-0.56439559,0.135533109,1.003242094,-0.608081778,0.868384733,1.712667791,0.176370198,-0.725527978,-0.925281487,1.761735611,0.571128718,-1.069002713,1.552485104,-0.480505448,-0.550150095,1.340068931,-0.8787462
26030,-0.343463093,-1.170371168,-0.611751623,1.394429393,1.744904903,1.468744056,1.680037019,-1.033077976,0.089829181,-1.276489988,-0.704644952,-0.839419002,-1.314277105,0.00386349,-0.474458431,-1.320574958,-0.226637923,1.450480283,0.128560976,-0.938925077,1.259655343,-0.123982922,-0.994031289,-0.285837739,-0.840048787,-0.516654045,1.414582522,1.244855389,-0.938295291,-0.682287574,-0.872167837,-0.050927829,0.241922327,-0.352280086,-1.170371168,-0.929478297,0.085735577,1.196991707,-0.564832619,1.369867767,1.746164473,0.108092955,-0.350705623,-1.186430692,1.691688046,0.609087146,-0.611751623,1.463705774,0.096441927,-0.546253953,1.440088826,-0.659300411
39489,-0.335291922,-0.635798835,-1.442255369,0.99705171,1.628405177,1.03288138,1.703820854,-0.727395654,0.199263645,-1.503512548,-0.857711633,-0.738953612,-0.914056679,-0.016870174,-0.893830252,-0.997851876,-0.165678885,1.717690404,0.415975361,-0.833150972,1.238324087,0.074437696,-0.791542322,-0.140829275,-0.672206404,-1.222943112,1.764211186,1.292646491,-0.660359497,-0.820437218,-0.602569706,0.150142322,0.421465391,-0.636087784,-1.07153386,-0.710925564,0.340848633,0.959488346,-0.640710968,1.288601206,1.781259174,0.266010853,-0.423421353,-0.943818422,1.675503856,0.595123713,-1.369729181,1.370084811,0.001333611,-0.882272294,1.409670818,-0.672495353
