category,ID,term,count,genes,logFC,adj_pval,zscore
CC,GO:0005737,cytoplasm,67,"SCARB1, GMNN, TESK2, BUB1B, ABCA12, AQP3, RGS2, MT2A, CDC23, SESN3, STMN1, TGM5, RPS10, TGM3, FST, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, NCL, PSME1, PSME2, SPATA18, CEMIP, DLX5, CDCA5, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, MYG1, PDZD2, SPRR2D, FANCI, BTF3, PLK2, IFI44, CNFN, MT4, NDC80, IL1F10, TPX2, DIAPH3, KIF4A, CALM3, BLMH, GSDME, CITED2, HSPB8, QPRT, YBX1, KIF11, SIPA1L2, OASL, DLGAP5, ZNF385A, CEP55, ZNF365, EDN1, MIOS, ARG1, GAB1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, MRPS9, TUBB2A, PSMA2, BIRC5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, OAT, ACSS2, TUFT1, PSMB6, LMAN1, PPP1R7, GBP2, RPL18, FNIP2, CENPF, PSMC5, KITLG, NUCB1, PFKM, CDKN3",0.002014377,2.85E-05,1.442864956
CC,GO:0000775,"chromosome, centromeric region",40,"CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80",0.005985732,1.13E-04,9.150300728
CC,GO:0005654,nucleoplasm,29,"EHF, CITED2, COX4I1, HSPB8, NCAPG2, GMNN, HJURP, TESK2, MCM10, YBX1, FOXM1, AQP3, OASL, CDC20, CDC23, CTSK, MYBL2, RPS10, ZNF385A, MIOS, LMO7, SMC1A, CCNA2, MYCL, ARL4A, OLFM2, PSMA2, NCL, RBP1, HAT1, PSME1, BIRC5, PSME2, MCM5, KIF20A, SNRPF, SGK1, CRYAB, PPARD, HDAC5, OAT, ACSS2, CDCA5, RPS4Y1, HIF1A, AURKA, PSMB6, MYG1, NT5E, CCNB1, COMMD9, MIEN1, NTHL1, POLR2F, GBP2, POLR2K, FANCI, TFAP2C, CBX4, ATP5PB, WDR18, XRCC1, SSRP1, GRHL1, NDC80, TPX2, CENPF, PSMC5, POLA2, CYP24A1, KIF4A, CALM3, GPR107",0.005985732,1.19E-04,1.521736189
CC,GO:0005876,spindle microtubule,22,"KIF4A, BIRC5, CALM3, KIF11, SKA1, AURKA",0.00632874,1.59E-04,11.58641975
CC,GO:0016020,membrane,15,"SLC44A5, PIGS, SLC35B2, SLC44A3, NRP2, ABCD3, SLC44A2, CD81, NCF2, COX4I1, NCAPG2, KIF11, ABCA12, NAT14, SPPL3, AQP3, OASL, TMEM101, GLIPR1, STMN1, RPS10, CEP55, SLC15A1, ATP6AP1, SCAMP2, ADGRF2, MYL6, DAAM1, NCL, PSME2, MCM5, KIF2C, PABPC1, ERGIC3, NBAS, NCAPG, HMMR, MTMR4, ADIPOR1, RPS4Y1, ADD3, TM9SF4, LMAN1, CCNB2, NT5E, CCNB1, VPS51, TMEM205, EMC7, RPL18, MPDU1, FANCI, ATP5PB, SORL1, NDC80, KITLG, PSMC5, TMEM237, KIF4A, ABTB3, CHMP2A, NUCB1, EIF3H, GPR107, CD68, PFKM, GSDME",0.00632874,1.61E-04,1.54821709
CC,GO:0005634,nucleus,13,"EHF, GMNN, HJURP, TESK2, BUB1B, RGS2, MT2A, CHCHD2, SESN3, COTL1, MSX2, FST, LMO7, JMJD8, OLFM2, NCL, RBP1, HAT1, KIF20A, SNRPF, FLG, CEMIP, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, CCNB2, CCNB1, MYG1, PDZD2, NTHL1, SERF2, BTF3, TFAP2C, CBX4, BCL11B, PLK2, XRCC1, MT4, NDC80, TPX2, POLA2, DIAPH3, CALM3, BLMH, CITED2, HSPB8, TECR, NCAPG2, MCM10, YBX1, KIF11, FOXM1, NAT14, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ARG1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, ARL4A, TUBB2A, PSMA2, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, GBP2, RPL18, POLR2K, ATP5PB, SSRP1, GRHL1, CENPF, PSMC5, TRIP13, PFKM, SSBP3, CDKN3",0.009721741,2.75E-04,1.365044863
CC,GO:0034451,centriolar satellite,12,"MIEN1, PDZD2, WDR62, FNIP2, SKA1, DLGAP5, CEP55, ZNF365",0.029128163,9.08E-04,5.188829202
CC,GO:0000922,spindle pole,9,"CDC20, TPX2, CENPF, CCNB1, PLK2, CALM3, WDR62, KIF11",0.03618478,0.001230077,4.925627721
CC,GO:0030496,midbody,9,"ASPM, CENPF, KIF4A, DCTN3, CHMP2A, BIRC5, KIF20A, CEP55, AURKA",0.048694397,0.001793278,4.046051342
CC,GO:0015630,microtubule cytoskeleton,9,"CCNB2, TPX2, TUBB2A, BIRC5, KIF2C, HMMR, CRYAB, SKA1, AURKA",0.058524645,0.002321091,3.881744689
CC,GO:0005751,mitochondrial respiratory chain complex IV,9,"COX7B, COX4I1, COX7A2, COX6A1",0.071139472,0.003022924,13.59473251
CC,GO:0000502,proteasome complex,8,"PSMB6, PSMC5, PSMA2, PSME1, PSME2",0.105008158,0.004759577,7.32474812
CC,GO:0001533,cornified envelope,8,"FLG, SPRR3, NCL, CNFN, SPRR2D",0.118297696,0.005697056,6.964514606
CC,GO:0072686,mitotic spindle,7,"TPX2, TUBB2A, WDR62, KIF11, SKA1, DLGAP5, AURKA",0.134535282,0.00733475,4.101858947
CC,GO:0005739,mitochondrion,7,"COX7B, ABCD3, OAT, SLC44A2, NDUFB11, COX4I1, HJURP, COX6A1, PSMB6, CHCHD2, MYG1, RGS2, MPC1, NTHL1, IDH3B, DLGAP5, MGME1, TFAP2C, ATP5PB, REXO2, HADHB, COQ3, MRPS9, CYP24A1, HAT1, ACO2, SGK1, SPATA18, CRYAB",0.134535282,0.007377064,1.680794862
CC,GO:0070062,extracellular exosome,6,"SPRR3, SCARB1, SEMA3C, SLC44A2, CD81, QPRT, FBLN1, LTBP2, GDPD3, YBX1, THBS1, PSMB6, LMAN1, NT5E, PPP1R7, STMN1, COTL1, CTSH, GPR155, TGM3, ATP6AP1, RNASET2, SORL1, RHOB, SCAMP2, PSMC5, MYL6, TUBB2A, PSMA2, NCL, RAB13, PSME1, CHMP2A, UFC1, PSME2, EIF3H, NUCB1, BLMH, PABPC1, CRYAB",0.134535282,0.007622396,1.517269253
CC,GO:0005813,centrosome,6,"PLK2, DCTN3, WDR62, HMMR, NDC80, AURKA, CDC20, ASPM, CCNB2, CENPF, CCNB1, CALM3, KIF2C, CEP55, ZNF365",0.135112091,0.008283238,2.212684328
CC,GO:0043231,intracellular membrane-bounded organelle,5,"SCARB1, ABCD3, ACSS2, CITED2, AP1B1, YBX1, ABCA12, GRHL1, SPPL3, RUNDC3A, WDR54, SCAMP2, OASL, PDZD2, VPS51, DHRS9, CTSK, RAET1L, CTSH, B4GALNT3, SPATA18, ZNF365",0.135112091,0.008420584,1.84346718
CC,GO:0005694,chromosome,5,"MYCL, NCL, PPP1R7, KIF4A, CDCA5, MCM5, TRIP13, SSRP1, SMC1A",0.178501181,0.011630389,2.952523953
CC,GO:0000794,condensed nuclear chromosome,5,"NCAPG2, NCAPG, SMC1A, ADD3",0.17965246,0.012214332,8.289471043
CC,GO:0030176,integral component of endoplasmic reticulum membrane,5,"SLC35B2, WDR83OS, DHRS9, TECR, EMC7, ERGIC3",0.255304524,0.018081057,3.951957125
CC,GO:0032154,cleavage furrow,4,"DCTN3, KIF20A, CEP55, RHOB",0.354157444,0.026688662,6.179423868
CC,GO:0005680,anaphase-promoting complex,4,"CDC20, CDC23, BUB1B",0.354157444,0.02708853,11.58641975
CC,GO:0045171,intercellular bridge,4,"TPX2, TUBB2A, KIF20A, SKA1, CEP55",0.379979381,0.030140008,4.248353909
GOTERM_CC_DIRECT,GO:0005759,mitochondrial matrix,10,"COQ3, MCEE, MYG1, CCNB1, ACSS2, OAT, ATP5PB, IDH3B, ACO2, REXO2",0.559043222,0.050678139,2.092785177
GOTERM_CC_DIRECT,GO:0042788,polysomal ribosome,3,"BTF3, EIF3H, RPL18",0.576665833,0.053909271,7.96566358
GOTERM_CC_DIRECT,GO:0045120,pronucleus,2,"CENPF, AURKA",0.594408399,0.0572518,33.98683128
GOTERM_CC_DIRECT,GO:0030665,clathrin-coated vesicle membrane,3,"CEMIP, ATP6AP1, AP1B1",0.605749357,0.060060135,7.497095134
GOTERM_CC_DIRECT,GO:0005743,mitochondrial inner membrane,11,"HADHB, COQ3, COX7B, MRPS9, CYP24A1, ATP5PB, NDUFB11, MPC1, COX4I1, TMEM160, COX6A1",0.645981938,0.065879178,1.891979474
GOTERM_CC_DIRECT,GO:0032133,chromosome passenger complex,2,"BIRC5, AURKA",0.651659652,0.068304269,28.3223594
GOTERM_CC_DIRECT,GO:0005925,focal adhesion,10,"TSPAN9, CD81, LMO7, PABPC1, REXO2, RPL18, RND3, PHLDB2, RPS10, RHOB",0.656187958,0.070637797,1.957766779
GOTERM_CC_DIRECT,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,4,"LMAN1, ATP6AP1, ERGIC3, SPPL3",0.674247514,0.076015173,4.046051342
GOTERM_CC_DIRECT,GO:0097431,mitotic spindle pole,3,"ASPM, SMC1A, AURKA",0.674247514,0.076401985,6.535929091
GOTERM_CC_DIRECT,GO:0043203,axon hillock,2,"TPX2, AURKA",0.682131105,0.079227692,24.27630805
GOTERM_CC_DIRECT,GO:0036464,cytoplasmic ribonucleoprotein granule,4,"FLG, NCL, CTSH, PABPC1",0.768690837,0.091458966,3.734816624
GOTERM_CC_DIRECT,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,3,"CCNA2, CCNB2, CCNB1",0.78298047,0.097595299,5.664471879
GOTERM_CC_DIRECT,GO:0005622,intracellular,3,"DHX40, TUFT1, DQX1",0.78298047,0.097595299,5.664471879
Category,ID,Term,Count,Genes,FDR,PValue,Fold Enrichment
MF,GO:0005515,protein binding,197,"SLC35B2, TESK2, ABCA12, AQP3, CDC20, MT2A, CDC23, STMN1, RPS10, WDR83OS, AP1B1, JMJD8, DKK1, SCAMP2, LCE2B, DHX40, INPP4B, MYL6, DAAM1, RBP1, PSME1, PSME2, KIF20A, SPATA18, FLG, CDCA5, NCAPG, WDR62, LYPD5, MTMR4, HIF1A, SKA1, C12ORF57, SYNGR1, COMMD9, NTHL1, BTF3, BCL11B, PLK2, TMEM50B, IFI44, XRCC1, CGN, CNFN, IL1F10, TPX2, POLA2, TCN1, RAET1L, CALM3, GSDME, SLC44A5, PIGS, NRP2, COX7B, SLC44A3, CITED2, NCAPG2, TECR, QPRT, KRT23, KIF11, SPPL3, MCEE, GLIPR1, CTSK, TIMP3, CTSH, DLGAP5, CEP55, ZNF365, EDN1, MIOS, ARG1, KIAA1143, GAB1, RHOB, HADHB, IL1A, MRPS9, TUBB2A, PSMA2, UFC1, KIF2C, PABPC1, SGK1, ERGIC3, CRYAB, PPARD, SPRR3, NBAS, OAT, TMEM160, TM9SF4, PSMB6, LMAN1, NT5E, OS9, PPP1R7, EMC7, RPL18, XDH, BCHE, ATP5PB, WDR18, GRHL1, CENPF, PSMC5, KITLG, NUCB1, TRIP13, CD68, CDKN3, SCARB1, NCF2, CD81, GMNN, HJURP, BUB1B, COX6A1, C1ORF74, RGS2, CHCHD2, SESN3, MPC1, COTL1, MAP3K8, TGM5, MSX2, FST, RUNDC3A, OLFM2, NCL, HAT1, SNRPF, PHLDB2, COL17A1, CEMIP, NDUFB11, FBLN1, COX7A2, LTBP2, HMMR, DDX60, ADIPOR1, CCNB2, CCNB1, MYG1, MPDU1, FANCI, TFAP2C, CBX4, NDC80, COQ3, TMEM237, KIF4A, CHMP2A, BLMH, ABCD3, HSPB8, COX4I1, MCM10, YBX1, FOXM1, RND3, OASL, TMEM101, MYBL2, ATP6AP1, SMC1A, TENT5B, CCNA2, ARL4A, BIRC5, MCM5, PFDN5, HDAC5, TUFT1, DCTN3, ATP2C2, THBS1, AURKA, MIEN1, VPS51, TMEM205, TNNI2, GBP2, FNIP2, POLR2K, MGME1, SSRP1, SORL1, RAB13, EIF3H, PFKM, SSBP3, VPS35L",7.25E-05,1.59E-07,1.224946293
MF,GO:0008017,microtubule binding,13,"TPX2, CENPF, KIF4A, BIRC5, KIF2C, KIF20A, KIF11, CGN, CRYAB, SKA1, DLGAP5",0.489150695,0.002523893,3.18277093
MF,GO:0015220,choline transmembrane transporter activity,12,"SLC44A5, SLC44A3, SLC44A2",0.489150695,0.003211055,33.72910492
MF,GO:0001968,fibronectin binding,11,"CCDC80, CTSK, FBLN1, THBS1",0.864958088,0.007570749,9.837655602
MF,GO:0008022,protein C-terminus binding,8,"CDC20, CENPF, NCF2, NCL, FBLN1, LMO7, PABPC1, PFKM",1,0.011315912,3.279218534
MF,GO:0030169,low-density lipoprotein particle binding,5,"SCARB1, THBS1, SORL1",1,0.021349959,13.11687414
MF,GO:0001540,beta-amyloid binding,4,"SCARB1, BCHE, CRYAB, PFDN5, SORL1",1,0.024596947,4.523060047
MF,GO:0016887,ATPase activity,4,"DHX40, PSMC5, ABCD3, DQX1, KIF2C, MCM5, KIF20A, TRIP13, ATP2C2, DDX60, SMC1A, ABCA12",1,0.025776391,2.131862162
MF,GO:0004129,cytochrome-c oxidase activity,3,"COX7B, COX4I1, COX6A1",1,0.026078724,11.80518672
MF,GO:0019901,protein kinase binding,3,"AP1B1, KIF11, FOXM1, ADIPOR1, RND3, HIF1A, RHOB, AURKA, CCNA2, TPX2, CCNB1, CALM3, KIF20A",1,0.034161736,1.963754669
MF,GO:0003777,microtubule motor activity,3,"KIF4A, KIF2C, KIF20A, KIF11",1,0.040406663,5.246749654
GOTERM_MF_DIRECT,GO:0070051,fibrinogen binding,2,"FBLN1, THBS1",1,0.061693129,31.48049793
GOTERM_MF_DIRECT,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,3,"CCNA2, CCNB2, CCNB1",1,0.061702316,7.378241701
GOTERM_MF_DIRECT,GO:0030234,enzyme regulator activity,3,"PPP1R7, CALM3, COX6A1",1,0.075866056,6.558437068
GOTERM_MF_DIRECT,GO:0008234,cysteine-type peptidase activity,3,"CTSK, CTSH, BLMH",1,0.083297028,6.213256169
