Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0051231,spindle elongation,2,0.809716599,0.03565644,"KIF4A, KIF11",235,3,19453,55.1858156,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0051000,positive regulation of nitric-oxide synthase activity,3,1.214574899,0.036046013,"SCARB1, CALM3, HIF1A",235,25,19453,9.933446809,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0044772,mitotic cell cycle phase transition,3,1.214574899,0.036046013,"CCNA2, CCNB2, CCNB1",235,25,19453,9.933446809,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0003148,outflow tract septum morphogenesis,3,1.214574899,0.038746356,"NRP2, SEMA3C, MSX2",235,26,19453,9.551391162,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0015031,protein transport,11,4.453441296,0.042978109,"BTF3, LMAN1, SLC15A1, CENPF, NBAS, VPS51, CHMP2A, KIF20A, COPZ1, SCAMP2, VPS35L",235,444,19453,2.050824228,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0009615,response to virus,5,2.024291498,0.043915649,"PSMA2, STMN1, IFI44, DDX60, OASL",235,110,19453,3.762669246,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006270,DNA replication initiation,3,1.214574899,0.044368304,"POLA2, MCM10, MCM5",235,28,19453,8.869148936,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0035307,positive regulation of protein dephosphorylation,3,1.214574899,0.044368304,"PPP1R7, CALM3, SPPL3",235,28,19453,8.869148936,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0014070,response to organic cyclic compound,4,1.619433198,0.045217506,"KITLG, ABCD3, FST, CTSK",235,66,19453,5.016892328,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0099638,endosome to plasma membrane protein transport,2,0.809716599,0.047258311,"ATP6AP1, SORL1",235,4,19453,41.3893617,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0019884,antigen processing and presentation of exogenous antigen,2,0.809716599,0.047258311,"PSME1, PSME2",235,4,19453,41.3893617,1,1,0.996277916
GOTERM_BP_DIRECT,GO:1905448,positive regulation of mitochondrial ATP synthesis coupled electron transport,2,0.809716599,0.047258311,"CHCHD2, CCNB1",235,4,19453,41.3893617,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0002605,negative regulation of dendritic cell antigen processing and presentation,2,0.809716599,0.047258311,"CD68, THBS1",235,4,19453,41.3893617,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0045840,positive regulation of mitotic nuclear division,3,1.214574899,0.050271035,"IL1A, EDN1, AURKA",235,30,19453,8.27787234,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0045766,positive regulation of angiogenesis,6,2.429149798,0.050530924,"IL1A, GAB1, CTSH, THBS1, HIF1A, RHOB",235,166,19453,2.992002051,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006196,AMP catabolic process,2,0.809716599,0.058721191,"NT5E, XDH",235,5,19453,33.11148936,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,2,0.809716599,0.058721191,"IL1A, HIF1A",235,5,19453,33.11148936,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0045931,positive regulation of mitotic cell cycle,3,1.214574899,0.062853392,"CCNB1, BIRC5, AURKA",235,34,19453,7.304005006,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0031669,cellular response to nutrient levels,3,1.214574899,0.062853392,"MIOS, CD68, PPARD",235,34,19453,7.304005006,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0048255,mRNA stabilization,3,1.214574899,0.066149409,"YBX1, PABPC1, TENT5B",235,35,19453,7.095319149,1,1,0.996277916
