category,ID,term,count,genes,logFC,adj_pval,zscore
GOTERM_CC_DIRECT,GO:0016327,apicolateral plasma membrane,3,"CLDN7, KRT8, EPPK1",0.956734603,0.057605564,7.658382789
GOTERM_CC_DIRECT,GO:0032154,cleavage furrow,4,"PITPNM1, SPIRE1, PKN1, RAB11FIP3",0.956734603,0.060309918,4.45578635
GOTERM_CC_DIRECT,GO:0015629,actin cytoskeleton,9,"VASP, CFL2, SHLD2, SPRY2, SYNPO, DBN1, PDLIM7, LIMD2, SNCA",0.997142857,0.071293617,2.065181876
GOTERM_CC_DIRECT,GO:0005856,cytoskeleton,15,"VASP, FAAH, LRP1, CDC42BPG, CDC42BPB, GAN, DGKQ, ENC1, SPIRE1, SPRY2, EPPK1, LRRFIP1, DBN1, TNS1, CDC42SE2",0.997142857,0.072479625,1.649920888
GOTERM_CC_DIRECT,GO:0001891,phagocytic cup,3,"RAB11FIP2, PEAR1, CDC42SE2",0.997142857,0.075651042,6.564328105
GOTERM_CC_DIRECT,GO:0017053,transcriptional repressor complex,4,"CTBP2, CTBP1, ZNF224, RCOR1",0.997142857,0.080158505,3.952713698
GOTERM_CC_DIRECT,GO:0055037,recycling endosome,6,"PHETA2, DENND6A, RAB17, RAB11FIP3, ATP9A, C1ORF210",0.997142857,0.080802269,2.607109035
GOTERM_CC_DIRECT,GO:0098978,glutamatergic synapse,12,"LAMA5, PPP3CC, CTBP2, ABHD17A, CTBP1, DGKQ, DVL1, DGCR8, CAMK1, ATP2B1, RAB17, DBN1",0.997142857,0.089339581,1.725832741
GOTERM_CC_DIRECT,GO:0005813,centrosome,15,"CDKL2, PLK3, SMAD4, CCDC57, CEP164, SLC1A4, SNX10, CCDC88A, KATNAL1, TRAF5, CAPRIN2, ACADS, NINL, RAB11FIP3, MAP3K11",0.997142857,0.089554032,1.595496414
GOTERM_CC_DIRECT,GO:0005802,trans-Golgi network,7,"PHETA2, ATP8B2, GOLT1A, CORO7, ATP9A, PLEKHA8, CHST3",0.997142857,0.090426911,2.257207559
GOTERM_CC_DIRECT,GO:0098802,plasma membrane receptor complex,2,"TRAF5, TRAF2",0.997142857,0.093764919,20.4223541
GOTERM_CC_DIRECT,GO:0098591,external side of apical plasma membrane,2,"SLC7A5, SLC38A1",0.997142857,0.093764919,20.4223541
GOTERM_CC_DIRECT,GO:0005925,focal adhesion,12,"VASP, MRC2, TES, SDC4, LRP1, SPRY4, KRAS, SLC4A2, LIMD1, HSPG2, PDLIM7, TNS1",0.997142857,0.097878439,1.694020156
