,category,ID,term,count,genes,logFC,adj_pval,zscore
135,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,NACC2,1.680651854,0.004728564,4.472135955
136,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,BHLHE40,1.130222959,0.004728564,4.472135955
137,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,SCMH1,1.252215628,0.004728564,4.472135955
138,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,HSBP1L1,1.049550792,0.004728564,4.472135955
139,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,TRIB3,1.61216085,0.004728564,4.472135955
140,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,BCOR,1.147086185,0.004728564,4.472135955
141,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,RBAK,1.428049258,0.004728564,4.472135955
142,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,ZNF224,1.473187991,0.004728564,4.472135955
143,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,EID2B,2.23367179,0.004728564,4.472135955
144,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,RCOR1,1.350458626,0.004728564,4.472135955
145,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,TRIM11,1.196391419,0.004728564,4.472135955
146,BP,GO:0006469,negative regulation of protein kinase activity,6,DBNDD2,1.075593205,0.005360877,2.449489743
147,BP,GO:0006469,negative regulation of protein kinase activity,6,DVL1,1.101623715,0.005360877,2.449489743
148,BP,GO:0006469,negative regulation of protein kinase activity,6,TRIB3,1.61216085,0.005360877,2.449489743
149,BP,GO:0006469,negative regulation of protein kinase activity,6,PKN1,1.987067782,0.005360877,2.449489743
150,BP,GO:0006469,negative regulation of protein kinase activity,6,TRIM27,1.360869388,0.005360877,2.449489743
151,BP,GO:0006469,negative regulation of protein kinase activity,6,SNCA,1.721141724,0.005360877,2.449489743
152,BP,GO:0090141,positive regulation of mitochondrial fission,4,BNIP3,1.675952671,0.00547963,2
153,BP,GO:0090141,positive regulation of mitochondrial fission,4,DDHD2,1.063834176,0.00547963,2
154,BP,GO:0090141,positive regulation of mitochondrial fission,4,SPIRE1,1.304672153,0.00547963,2
155,BP,GO:0090141,positive regulation of mitochondrial fission,4,MIEF2,1.12156051,0.00547963,2
156,BP,GO:0006355,"regulation of transcription, DNA-templated",29,L3MBTL1,1.863367877,0.005678323,5.385164807
157,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF251,1.541876182,0.005678323,5.385164807
158,BP,GO:0006355,"regulation of transcription, DNA-templated",29,CHD7,1.021629009,0.005678323,5.385164807
159,BP,GO:0006355,"regulation of transcription, DNA-templated",29,LIMD1,1.60682939,0.005678323,5.385164807
160,BP,GO:0006355,"regulation of transcription, DNA-templated",29,MLLT6,1.05354506,0.005678323,5.385164807
161,BP,GO:0006355,"regulation of transcription, DNA-templated",29,SCMH1,1.252215628,0.005678323,5.385164807
162,BP,GO:0006355,"regulation of transcription, DNA-templated",29,DVL1,1.101623715,0.005678323,5.385164807
163,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZKSCAN2,1.576432276,0.005678323,5.385164807
164,BP,GO:0006355,"regulation of transcription, DNA-templated",29,LRRFIP1,1.964244425,0.005678323,5.385164807
165,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF224,1.473187991,0.005678323,5.385164807
166,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF664,1.124912218,0.005678323,5.385164807
167,BP,GO:0006355,"regulation of transcription, DNA-templated",29,PDE8A,1.032360242,0.005678323,5.385164807
168,BP,GO:0006355,"regulation of transcription, DNA-templated",29,TGIF1,1.132479571,0.005678323,5.385164807
169,BP,GO:0006355,"regulation of transcription, DNA-templated",29,SMAD4,1.111311315,0.005678323,5.385164807
170,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF284,1.342966478,0.005678323,5.385164807
171,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF282,1.113319467,0.005678323,5.385164807
172,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF160,1.338489131,0.005678323,5.385164807
173,BP,GO:0006355,"regulation of transcription, DNA-templated",29,SMARCA1,1.929628541,0.005678323,5.385164807
174,BP,GO:0006355,"regulation of transcription, DNA-templated",29,WTIP,2.0124801,0.005678323,5.385164807
175,BP,GO:0006355,"regulation of transcription, DNA-templated",29,SAP30,1.566837245,0.005678323,5.385164807
176,BP,GO:0006355,"regulation of transcription, DNA-templated",29,PTP4A3,4.08549018,0.005678323,5.385164807
177,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF37A,1.776778011,0.005678323,5.385164807
178,BP,GO:0006355,"regulation of transcription, DNA-templated",29,BHLHE40,1.130222959,0.005678323,5.385164807
179,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF778,1.771428092,0.005678323,5.385164807
180,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF514,1.671528334,0.005678323,5.385164807
181,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF337,1.048689011,0.005678323,5.385164807
182,BP,GO:0006355,"regulation of transcription, DNA-templated",29,RBAK,1.428049258,0.005678323,5.385164807
183,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZFP28,1.859448972,0.005678323,5.385164807
184,BP,GO:0006355,"regulation of transcription, DNA-templated",29,ZNF354B,1.247448134,0.005678323,5.385164807
185,BP,GO:0006468,protein phosphorylation,16,CDKL2,2.79006747,0.007397841,4
186,BP,GO:0006468,protein phosphorylation,16,PLK3,1.176796238,0.007397841,4
187,BP,GO:0006468,protein phosphorylation,16,SRMS,2.270221283,0.007397841,4
188,BP,GO:0006468,protein phosphorylation,16,CTBP1,1.142562066,0.007397841,4
189,BP,GO:0006468,protein phosphorylation,16,CDC42BPG,1.344976019,0.007397841,4
190,BP,GO:0006468,protein phosphorylation,16,TNK1,1.068708238,0.007397841,4
191,BP,GO:0006468,protein phosphorylation,16,HUS1,1.466218523,0.007397841,4
192,BP,GO:0006468,protein phosphorylation,16,EIF2AK2,1.121911985,0.007397841,4
193,BP,GO:0006468,protein phosphorylation,16,CDC42BPB,1.025286988,0.007397841,4
194,BP,GO:0006468,protein phosphorylation,16,RSKR,1.342693349,0.007397841,4
195,BP,GO:0006468,protein phosphorylation,16,NRBP2,1.666829684,0.007397841,4
196,BP,GO:0006468,protein phosphorylation,16,TRIB3,1.61216085,0.007397841,4
197,BP,GO:0006468,protein phosphorylation,16,PKN1,1.987067782,0.007397841,4
198,BP,GO:0006468,protein phosphorylation,16,CAMK1,2.477262972,0.007397841,4
199,BP,GO:0006468,protein phosphorylation,16,MAP3K11,1.469992671,0.007397841,4
200,BP,GO:0006468,protein phosphorylation,16,PDK1,2.072438177,0.007397841,4
201,BP,GO:0032092,positive regulation of protein binding,6,ACE,3.63583652,0.00764778,2.449489743
202,BP,GO:0032092,positive regulation of protein binding,6,RALB,1.123441973,0.00764778,2.449489743
203,BP,GO:0032092,positive regulation of protein binding,6,LRP1,1.124225932,0.00764778,2.449489743
204,BP,GO:0032092,positive regulation of protein binding,6,CAPRIN2,1.313527779,0.00764778,2.449489743
205,BP,GO:0032092,positive regulation of protein binding,6,TRIB3,1.61216085,0.00764778,2.449489743
206,BP,GO:0032092,positive regulation of protein binding,6,PKD1,3.12838686,0.00764778,2.449489743
207,BP,GO:0070534,protein K63-linked ubiquitination,5,ITCH,1.074303954,0.008088925,2.236067977
208,BP,GO:0070534,protein K63-linked ubiquitination,5,TRAF5,3.108006786,0.008088925,2.236067977
209,BP,GO:0070534,protein K63-linked ubiquitination,5,TRAF2,1.147132307,0.008088925,2.236067977
210,BP,GO:0070534,protein K63-linked ubiquitination,5,TRIM27,1.360869388,0.008088925,2.236067977
211,BP,GO:0070534,protein K63-linked ubiquitination,5,TRIM56,1.14757533,0.008088925,2.236067977
212,BP,GO:0031623,receptor internalization,5,ITCH,1.074303954,0.009996076,2.236067977
213,BP,GO:0031623,receptor internalization,5,RALB,1.123441973,0.009996076,2.236067977
214,BP,GO:0031623,receptor internalization,5,LRP1,1.124225932,0.009996076,2.236067977
215,BP,GO:0031623,receptor internalization,5,ADM,1.353968202,0.009996076,2.236067977
216,BP,GO:0031623,receptor internalization,5,SNCA,1.721141724,0.009996076,2.236067977
217,BP,GO:0035556,intracellular signal transduction,16,SMAD4,1.111311315,0.010458548,4
218,BP,GO:0035556,intracellular signal transduction,16,CDC42BPG,1.344976019,0.010458548,4
219,BP,GO:0035556,intracellular signal transduction,16,ADCY4,3.008967977,0.010458548,4
220,BP,GO:0035556,intracellular signal transduction,16,ADCY3,1.281745516,0.010458548,4
221,BP,GO:0035556,intracellular signal transduction,16,CDC42BPB,1.025286988,0.010458548,4
222,BP,GO:0035556,intracellular signal transduction,16,KCTD9,1.323884066,0.010458548,4
223,BP,GO:0035556,intracellular signal transduction,16,NRBP2,1.666829684,0.010458548,4
224,BP,GO:0035556,intracellular signal transduction,16,RASSF1,1.375498834,0.010458548,4
225,BP,GO:0035556,intracellular signal transduction,16,RASSF3,1.185213773,0.010458548,4
226,BP,GO:0035556,intracellular signal transduction,16,DGKQ,2.456190221,0.010458548,4
227,BP,GO:0035556,intracellular signal transduction,16,DDIT4,3.420497782,0.010458548,4
228,BP,GO:0035556,intracellular signal transduction,16,DVL1,1.101623715,0.010458548,4
229,BP,GO:0035556,intracellular signal transduction,16,PKN1,1.987067782,0.010458548,4
230,BP,GO:0035556,intracellular signal transduction,16,SH2B3,2.082011917,0.010458548,4
231,BP,GO:0035556,intracellular signal transduction,16,SIPA1,2.381848047,0.010458548,4
232,BP,GO:0035556,intracellular signal transduction,16,TNS1,2.160138003,0.010458548,4
233,BP,GO:0001843,neural tube closure,6,VASP,1.660345002,0.011083778,2.449489743
234,BP,GO:0001843,neural tube closure,6,SDC4,1.100705282,0.011083778,2.449489743
235,BP,GO:0001843,neural tube closure,6,MTHFD1L,1.025794583,0.011083778,2.449489743
236,BP,GO:0001843,neural tube closure,6,DEAF1,1.220831697,0.011083778,2.449489743
237,BP,GO:0001843,neural tube closure,6,ADM,1.353968202,0.011083778,2.449489743
238,BP,GO:0001843,neural tube closure,6,CELSR1,1.410772692,0.011083778,2.449489743
239,BP,GO:0007565,female pregnancy,6,SLC38A1,1.071911154,0.01409995,2.449489743
240,BP,GO:0007565,female pregnancy,6,ACE,3.63583652,0.01409995,2.449489743
241,BP,GO:0007565,female pregnancy,6,SPHK2,1.411713019,0.01409995,2.449489743
242,BP,GO:0007565,female pregnancy,6,SLC2A1,1.540415578,0.01409995,2.449489743
243,BP,GO:0007565,female pregnancy,6,ADM,1.353968202,0.01409995,2.449489743
244,BP,GO:0007565,female pregnancy,6,UPRT,1.567362336,0.01409995,2.449489743
