Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
KEGG_PATHWAY,hsa05145:Toxoplasmosis,19,1.521216974,8.73E-05,"HSPA8, TGFB1, HSPA1L, LAMB3, CHUK, LAMB2, HSPA6, RELA, NFKB1, CASP9, NFKBIA, IKBKB, MAPK8, SOCS1, AKT3, PPIF, IKBKG, HSPA1B, HSPA1A",512,111,8586,2.870460304,0.025344505,0.002333644,,0.001905016
KEGG_PATHWAY,hsa05220:Chronic myeloid leukemia,15,1.200960769,1.32E-04,"TGFB1, GADD45B, CHUK, PIK3CD, BRAF, CBL, RELA, NFKB1, GADD45G, CRKL, NFKBIA, IKBKB, AKT3, E2F3, IKBKG",512,76,8586,3.309775905,0.037953213,0.003224137,,0.002631949
KEGG_PATHWAY,hsa05215:Prostate cancer,17,1.361088871,1.74E-04,"HSP90AB1, CHUK, PIK3CD, BRAF, ETV5, RELA, NFKB1, CASP9, NFKBIA, IKBKB, ZEB1, AKT3, E2F3, IKBKG, CREB5, FGFR1, ATF4",512,97,8586,2.938990013,0.049868932,0.003934684,,0.003211987
KEGG_PATHWAY,hsa05168:Herpes simplex virus 1 infection,51,4.083266613,3.10E-04,"ZNF254, PIK3CD, CGAS, ZNF44, CASP9, IKBKB, ZNF528, AKT3, ZNF567, IKBKG, ZNF721, ZNF764, ZNF641, ZNF441, CHUK, HLA-F, HCFC2, ZNF91, ZNF92, TRAF3, SRSF3, ZNF558, ZNF316, SRSF5, ITGA5, SRSF6, ZNF432, ZNF431, ZNF112, ZNF155, ZNF671, ZNF550, ZNF473, RELA, SOCS3, NXF1, ZNF746, ZNF426, ZNF621, ZNF267, ZNF189, ZNF783, ZNF222, ZNF264, ZNF460, NFKB1, NFKBIA, ZNF776, ZNF611, ZNF212, ZNF256",512,512,8586,1.670402527,0.087037361,0.006158713,,0.005027521
KEGG_PATHWAY,hsa05222:Small cell lung cancer,16,1.28102482,3.14E-04,"GADD45B, LAMB3, CHUK, LAMB2, PIK3CD, RELA, NFKB1, GADD45G, CASP9, NFKBIA, IKBKB, TRAF4, TRAF3, AKT3, E2F3, IKBKG",512,92,8586,2.916440217,0.088255252,0.006158713,,0.005027521
KEGG_PATHWAY,hsa05212:Pancreatic cancer,14,1.120896717,4.85E-04,"TGFB1, GADD45B, CHUK, PIK3CD, BRAF, RELA, NFKB1, GADD45G, CASP9, IKBKB, MAPK8, AKT3, E2F3, IKBKG",512,76,8586,3.089124178,0.132799431,0.00857955,,0.007003714
KEGG_PATHWAY,hsa05167:Kaposi sarcoma-associated herpesvirus infection,25,2.001601281,4.96E-04,"CXCL8, PIK3CD, CXCL1, CXCL3, CXCL2, RELA, CASP9, IKBKB, MAP1LC3B, MAPK8, ZFP36, UBB, AKT3, UBC, E2F3, IKBKG, MICB, CHUK, NFATC1, FOS, HLA-F, NFKB1, NFKBIA, TRAF3, IL6ST",512,194,8586,2.161022068,0.135745976,0.00857955,,0.007003714
KEGG_PATHWAY,hsa05161:Hepatitis B,22,1.761409127,5.92E-04,"ATF2, TGFB1, CXCL8, CHUK, PIK3CD, BRAF, NFATC1, FOS, ELK1, RELA, NFKB1, CASP9, NFKBIA, IKBKB, MAPK8, TRAF3, AKT3, PTK2B, E2F3, IKBKG, CREB5, ATF4",512,162,8586,2.27734375,0.159772411,0.009668386,,0.00789256
KEGG_PATHWAY,hsa04920:Adipocytokine signaling pathway,13,1.040832666,6.79E-04,"CHUK, ACSL4, IRS2, CPT1B, RELA, NFKB1, NFKBIA, IKBKB, SOCS3, MAPK8, AKT3, IKBKG, NFKBIE",512,69,8586,3.159476902,0.180986531,0.010336321,,0.008437813
KEGG_PATHWAY,hsa00564:Glycerophospholipid metabolism,16,1.28102482,7.03E-04,"ACHE, CHKB, LPGAT1, DGKD, CHKA, MBOAT7, PLA2G4C, LCAT, DGKZ, PISD, AGPAT4, GPD1, GPAT3, LPIN1, LPIN2, DGKH",512,99,8586,2.710227273,0.186817032,0.010336321,,0.008437813
