,P.Value,adj.P.Val,log2FC
NBAS,NA,NA,NA
HSPB8,NA,NA,NA
PFKM,0.00286412,0.022225548,-0.433875
SKA1,NA,NA,NA
TMEM237,NA,NA,NA
RAET1L,NA,NA,NA
PSD3,NA,NA,NA
BUB1B,0.003731112,0.02591332,-0.34975
SSBP3,0.018351501,0.065223333,-0.533125
CCNB2,0.035628058,0.09783878,0.492625
SLC35B2,NA,NA,NA
SPPL3,NA,NA,NA
XDH,0.027113362,0.082761739,-0.53475
TENT5B,NA,NA,NA
ADIPOR1,NA,NA,NA
LCE2B,0.014757156,0.05737838,-0.4575
LYPD5,NA,NA,NA
CALM3,NA,NA,NA
ZNF385A,0.114676148,0.209200085,-0.187
JMJD8,NA,NA,NA
GBP2,0.040406556,0.10582897,1.694375
C1ORF74,NA,NA,NA
SPATA18,NA,NA,NA
SPRR3,0.236684067,0.347886081,-0.151
SPRR2D,0.584352884,0.673333015,-0.14225
GPR155,NA,NA,NA
KIAA1143,NA,NA,NA
NSA2,0.748681559,0.809375587,-0.1575
ADGRF2,NA,NA,NA
CITED2,0.583932383,0.672983305,-0.367
MIOS,NA,NA,NA
DNAAF5,NA,NA,NA
AQP3,0.594547313,0.681979533,-0.0315
SKA3,NA,NA,NA
SERPINA12,NA,NA,NA
CKB,NA,NA,NA
NOLC1,NA,NA,NA
USP54,NA,NA,NA
WEE1,0.001304934,0.014623801,-0.521625
MCM7,0.090954543,0.17954821,-0.562125
SEC11C,NA,NA,NA
CDH16,0.490342748,0.591765317,0.2185
HSP90B1,NA,NA,NA
B2M,0.069632712,0.150609314,-0.214
SCNN1G,0.011116622,0.048614324,-0.623
NAV2,NA,NA,NA
CDT1,NA,NA,NA
EEF2,0.002978785,0.022706741,-0.52925
NXN,NA,NA,NA
KLK13,NA,NA,NA
KRT80,NA,NA,NA
CDK2AP2,0.02538263,0.079557317,-0.439
KRT24,NA,NA,NA
BSCL2,0.142329342,0.242152042,-0.113875
SAC3D1,0.003638437,0.025546222,-0.625875
PBK,NA,NA,NA
VASN,NA,NA,NA
FILIP1L,NA,NA,NA
SCNN1B,0.164641602,0.267999627,-0.24925
PHYHIP,0.091305289,0.179949674,1.228875
MN1,0.088741716,0.176772769,-0.46475
CKAP2L,NA,NA,NA
BUB1,0.00041994,0.008338132,-0.582875
MT1E,NA,NA,NA
PCDH7,0.090353416,0.17887662,-0.364875
ROBO1,0.318831002,0.43177876,-0.2855
SLC30A1,0.001064651,0.013020896,-0.709875
KRT4,0.002250576,0.019702089,-0.444625
NUDT9,NA,NA,NA
SHCBP1,NA,NA,NA
KRT15,0.002695742,0.021532866,-0.4735
KRT9,0.230218155,0.341054422,-0.117875
RRM2,NA,NA,NA
ID4,0.001060834,0.013000323,-0.559
OVOL1,0.002605157,0.021168704,-0.5365
CES4A,NA,NA,NA
HPSE,0.503282892,0.603238221,-0.16275
COQ2,0.873029724,0.905961372,-0.086875
COMMD1,NA,NA,NA
NWD2,NA,NA,NA
ZHX3,NA,NA,NA
GLIS1,NA,NA,NA
EXO1,0.002831713,0.022103206,-0.566875
MRPL11,NA,NA,NA
NDUFA11,NA,NA,NA
RAB1B,NA,NA,NA
UBE2C,0.044078319,0.111863388,-0.4015
CLTB,0.275402096,0.388068112,-0.09125
TOM1L2,NA,NA,NA
SLC35A4,NA,NA,NA
ZBTB8OS,NA,NA,NA
TYMS,0.00033538,0.007591204,-0.459375
FAM89B,0.357975622,0.469962846,-0.120375
PPFIA3,0.001009342,0.012661576,-0.32625
ZFAS1,NA,NA,NA
STX19,NA,NA,NA
