NAME	TITLE	SCORE	
SP4	Sp4 transcription factor [Source:HGNC Symbol;Acc:HGNC:11209]	3.8843443	
ZBTB40	zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]	3.8822966	
CBARP	CACN subunit beta associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28617]	3.872352	
DNAJB5	DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]	3.8647387	
LRP2BP-AS1	LRP2BP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55998]	3.8637986	
RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	3.860576	
PPP1R10	protein phosphatase 1 regulatory subunit 10 [Source:HGNC Symbol;Acc:HGNC:9284]	3.858673	
FAM193A	family with sequence similarity 193 member A [Source:HGNC Symbol;Acc:HGNC:16822]	3.8566518	
C2orf49-DT	C2orf49 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55178]	3.853495	
SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	3.848587	
JMJD1C	jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]	3.845871	
GOLGA8B	golgin A8 family member B [Source:HGNC Symbol;Acc:HGNC:31973]	3.8366604	
PWWP3A	PWWP domain containing 3A, DNA repair factor [Source:HGNC Symbol;Acc:HGNC:29641]	3.8347394	
HELZ	helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]	3.8340216	
LURAP1L-AS1	LURAP1L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49761]	3.8316064	
FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	3.8282545	
OTUD7B	OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]	3.8197598	
MAFK	MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]	3.8121355	
SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	3.8012567	
H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	3.7937567	
HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	3.791488	
CEACAM19	CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]	3.7884033	
STARD8	StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]	3.7880676	
CEMIP2	cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869]	3.7700622	
RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	3.7599401	
