,GSM593820,GSM593848,GSM593869,GSM593874,GSM593878,GSM593888,GSM593894,GSM593896,GSM593905,GSM593907,GSM593910,GSM593921,GSM593923,GSM593927,GSM593950,GSM593951,GSM593952,GSM593954,GSM593955,GSM593956,GSM593966,GSM593972,GSM593984,GSM593985
7265,1.540396913,-0.080823454,-1.492574218,0.427357242,0.854972706,-0.400605453,-0.19857264,1.210699193,0.638066311,-1.066198219,1.114020914,1.145007542,-0.276658942,-0.209727826,-0.445226197,0.762012822,-1.602886613,-0.917462405,2.090719423,-0.285335198,-0.243193384,-0.400605453,-1.526039776,-0.63734329
36070,1.214374386,0.859939514,-1.488798417,-0.147529469,0.9934595,-0.560227607,-0.7143825,1.181601298,0.9934595,-1.248462443,1.493552538,0.671797716,-0.431562893,-0.1159702,-1.184130086,1.265354744,-0.497109068,-1.19990972,1.673197609,-1.176847177,-0.077128022,-0.929228295,-0.327174541,-0.248276367
11942,1.041630789,0.459704496,-0.861845672,-0.467971897,1.41033218,-0.314716499,0.19317337,0.679592675,1.051995888,-1.006216699,1.504358439,0.935018338,-0.871470407,0.150232244,0.082859098,0.756590556,-1.291256931,-1.143924448,2.085544367,-0.938843553,-0.52275885,-1.162433554,-1.149106997,-0.62048693
11728,1.440191498,0.553169029,-0.782531797,0.053680648,0.888170719,0.082099814,0.289645848,0.729712336,0.989790769,-0.730860585,1.071603521,0.948453799,-0.651631393,0.285339914,-0.697274297,0.415379131,-2.03383631,-0.725693464,2.241095281,-0.778225862,-0.394136521,-1.176094193,-1.002995634,-1.01505225
12301,0.973330527,0.353419252,-0.662013878,-1.041203592,0.761722784,-0.297736119,0.280989756,0.274598918,1.615254687,-0.891373948,1.647208877,1.028007695,-1.022741172,-0.328270122,-0.55478982,1.200560318,-1.102981692,-1.012089775,2.07894548,-0.708169929,-0.147906475,-0.927588696,-1.210205749,-0.306967329
12628,1.553981325,0.507502533,-0.691565203,-0.074716277,0.983666616,-0.017360149,0.12981784,0.802940703,0.621132599,-0.655852896,1.765008589,0.823502334,-0.746756949,0.309461563,-1.610345444,0.162283573,-1.295427835,-0.564948844,2.087501536,-0.662346043,-0.251113426,-0.78788021,-1.226167605,-1.16231833
7267,1.187806684,0.325206348,-1.061276914,-0.465134273,0.870767189,-0.550039437,0.315270637,0.868960696,0.749732168,-0.552749177,1.282647558,1.400069594,-0.709914055,-0.167062953,-0.366680413,0.781345793,-1.569804651,-0.824626351,2.147054387,-0.850820497,-0.01893054,-1.483092994,-1.340380059,0.03165126
7270,1.324219896,0.31769665,-1.870479238,-0.451554512,1.131200939,-0.290548455,0.001333871,1.130259383,0.801656377,-0.269834225,1.562433536,0.840260169,-0.737787503,-0.013731023,-0.835709315,0.609578976,-1.095578741,-0.872429995,1.912692327,-0.306554905,-0.164379966,-0.60785279,-1.756550976,-0.358340479
16478,1.061089773,-0.003089553,-0.560582206,-1.439388359,1.128373369,-0.976641994,-0.357358283,1.199776368,0.960850946,-0.592164302,1.949507867,1.28353758,-0.590791167,-0.891507648,-0.88326884,0.406104562,-1.534134647,-0.638850879,1.750403348,-0.285955283,-0.552343398,0.356671716,-0.055268668,-0.734970302
36433,1.42869088,-0.712627049,-1.432329827,0.544022521,1.373702353,-0.248459189,-0.243607261,0.924090281,0.806026679,-1.613468503,1.936526099,0.459922421,-0.871123391,-0.107753253,-0.723948216,1.001721142,-0.546044158,-0.332559289,1.488531336,-1.053879377,-0.395634364,-1.259277698,-0.49590756,0.073385424
