"","ATP1B3","ATP5F1B","BSG","GATA6","GM2A","IDH2","INHBA","ITGB6","NEFM","CNOT4","OVGP1","PLAGL1","SLC8A2","ICAM5","XRCC4","ZNF212","ELL","DHX38","TUBA1B","ATP5MG","NFAT5","OGFR","WDR37","CBX6","CLDN15","UBXN7","FGFR1OP2"
"OVGP1",-0.831802934046268,-0.819328301979575,-0.699142240527157,0.863431207252528,-0.851784658889237,-0.830356090308047,0.799493707109029,-0.69845539292884,0.657528476005901,0.659845969704126,1,0.826507101857075,0.644274712879056,0.858276838567019,0.71928693225566,0.802237374023436,0.793250971525096,0.780598199803678,-0.742207389892877,-0.547502135963305,0.807210794947513,0.811796190635581,0.728309154162521,0.772181179708293,0.613123104865848,0.770298748312648,0.715077675816012
"PLAGL1",-0.836536029004047,-0.940835726229532,-0.741736698874374,0.991472886530512,-0.700941619950418,-0.823225292706947,0.808361576183816,-0.893509460167127,0.68885031591459,0.582067502804116,0.826507101857075,1,0.69714659520645,0.989186483471577,0.639466206759088,0.94700344372783,0.71509108377165,0.959700619774494,-0.724673928370113,-0.669591997052348,0.957507549975546,0.764272836646918,0.867858365301925,0.816735758612849,0.717200305398688,0.863391152959541,0.690026108249147
"SLC8A2",-0.758491266397718,-0.724460353511245,-0.734485509648665,0.707202229518819,-0.414723072529363,-0.743891791572562,0.742424483825617,-0.722561923490869,0.60494192908181,0.423964731085166,0.644274712879056,0.69714659520645,1,0.671262359507123,0.529455303371396,0.683369963830442,0.703292589155611,0.637087062574507,-0.846034002936525,-0.723376923402685,0.7465607743081,0.591485906968449,0.709159695257406,0.623003802489098,0.558769835377029,0.624866030961125,0.761741818061504
"ICAM5",-0.843946071374285,-0.960110760896806,-0.701745661039554,0.990391199734538,-0.75481298501395,-0.833592680296409,0.804106648200618,-0.881177926540417,0.66874910294087,0.575480078177579,0.858276838567019,0.989186483471577,0.671262359507123,1,0.633167976635678,0.964372689293305,0.708587805086957,0.96738972638391,-0.73433985108458,-0.637986789996412,0.951506435517926,0.792287624113483,0.837150600986281,0.798495222222003,0.713571735705119,0.892685675579677,0.706289999925178
"XRCC4",-0.66229770199587,-0.595250802252758,-0.54866861746339,0.662035290613415,-0.548166192564053,-0.627095611379282,0.572384175347668,-0.707955280096582,0.51893299214662,0.646217722604887,0.71928693225566,0.639466206759088,0.529455303371396,0.633167976635678,1,0.611275383148414,0.800275713215872,0.627312473630584,-0.53011182897838,-0.680306707250004,0.640535238074584,0.684270433064761,0.495358683693801,0.530842946321477,0.592762972934195,0.617271289950834,0.482968122982387
"ZNF212",-0.8957725387702,-0.974338739933287,-0.702660042837841,0.962048072086392,-0.635801129948999,-0.885931403891024,0.770969134151581,-0.898961948012928,0.631402657960364,0.475330843020047,0.802237374023436,0.94700344372783,0.683369963830442,0.964372689293305,0.611275383148414,1,0.722106384061883,0.985436533700961,-0.794036090004207,-0.695181697052488,0.900123509713552,0.749073381803021,0.831637171473961,0.690901302450757,0.795615736146863,0.965575178229167,0.809552536495191
"ELL",-0.752344355256213,-0.744397174709035,-0.561863846220737,0.758750140684782,-0.577330498840096,-0.836504837668242,0.772399223329285,-0.716141247706121,0.814201003040735,0.662521127964118,0.793250971525096,0.71509108377165,0.703292589155611,0.708587805086957,0.800275713215872,0.722106384061883,1,0.722706637896066,-0.702543713310059,-0.73848147825738,0.720344187133746,0.698367612609568,0.694919835833861,0.523089953276711,0.690196447554738,0.747507352257375,0.738885572754396
"DHX38",-0.856341545206125,-0.967093442845428,-0.67784279030998,0.961773523180289,-0.616215289479021,-0.863429303921584,0.749296714768876,-0.922854875959915,0.665830972821946,0.506211043993026,0.780598199803678,0.959700619774494,0.637087062574507,0.96738972638391,0.627312473630584,0.985436533700961,0.722706637896066,1,-0.757730922683784,-0.698873531321904,0.890469181068071,0.743536005136931,0.820919173661201,0.724162288696711,0.820833748732155,0.955014400389098,0.75194401969154
"TUBA1B",0.86098919432841,0.778676241457138,0.72616173639205,-0.740465678268296,0.381902596944931,0.832260613748775,-0.779000848107626,0.818757531722815,-0.658150267243865,-0.315320282168483,-0.742207389892877,-0.724673928370113,-0.846034002936525,-0.73433985108458,-0.53011182897838,-0.794036090004207,-0.702543713310059,-0.757730922683784,1,0.794929826191782,-0.681316505458707,-0.740124596638189,-0.692192426021947,-0.614895950442101,-0.754252076104109,-0.835604998770491,-0.859959558788447
"ATP5MG",0.662518111554197,0.637588366994036,0.534521611727704,-0.650159695133607,0.252178485720686,0.65557264541266,-0.684692433412555,0.84932772423914,-0.678877797684422,-0.472397364750478,-0.547502135963305,-0.669591997052348,-0.723376923402685,-0.637986789996412,-0.680306707250004,-0.695181697052488,-0.73848147825738,-0.698873531321904,0.794929826191782,1,-0.578861926768346,-0.663971620322845,-0.706872684284219,-0.548918144644911,-0.812917482470281,-0.733787076332049,-0.701596758129886
"NFAT5",-0.824483873596656,-0.91500765861949,-0.71835343601458,0.966976689453451,-0.722887749386938,-0.793667375804531,0.808422109775528,-0.82027989522331,0.663220706692558,0.528516154884186,0.807210794947513,0.957507549975546,0.7465607743081,0.951506435517926,0.640535238074584,0.900123509713552,0.720344187133746,0.890469181068071,-0.681316505458707,-0.578861926768346,1,0.748788901103184,0.782568643770104,0.707069164878377,0.559337224005996,0.797097477885793,0.642387428164493
"OGFR",-0.681807135278737,-0.719368077858306,-0.550905446142033,0.783088274620865,-0.62777904023378,-0.687977039237022,0.820580772163777,-0.749693241541707,0.735908923998141,0.626281693621902,0.811796190635581,0.764272836646918,0.591485906968449,0.792287624113483,0.684270433064761,0.749073381803021,0.698367612609568,0.743536005136931,-0.740124596638189,-0.663971620322845,0.748788901103184,1,0.665572928899293,0.588495404785107,0.594290680291262,0.75836888308803,0.654343010570401
"WDR37",-0.743987733542075,-0.801893813121153,-0.753061064766588,0.863404654370378,-0.567390226238532,-0.810799869940815,0.800426732952985,-0.761907661607788,0.64850928493114,0.689991096542205,0.728309154162521,0.867858365301925,0.709159695257406,0.837150600986281,0.495358683693801,0.831637171473961,0.694919835833861,0.820919173661201,-0.692192426021947,-0.706872684284219,0.782568643770104,0.665572928899293,1,0.776191366107188,0.751699871807655,0.749365014008483,0.818906673904088
"CBX6",-0.637981951183581,-0.720505277163643,-0.708343029105685,0.776514725896749,-0.687246267233495,-0.647876902816042,0.641594422352482,-0.72773094697565,0.48848920883076,0.676095820551577,0.772181179708293,0.816735758612849,0.623003802489098,0.798495222222003,0.530842946321477,0.690901302450757,0.523089953276711,0.724162288696711,-0.614895950442101,-0.548918144644911,0.707069164878377,0.588495404785107,0.776191366107188,1,0.642017981759492,0.588637115453153,0.540112656715356
"CLDN15",-0.706566476380161,-0.7355587359503,-0.630345883898978,0.710222496539735,-0.311027743880429,-0.802981886881146,0.677831174697828,-0.866918632519555,0.541039509114578,0.525403678625979,0.613123104865848,0.717200305398688,0.558769835377029,0.713571735705119,0.592762972934195,0.795615736146863,0.690196447554738,0.820833748732155,-0.754252076104109,-0.812917482470281,0.559337224005996,0.594290680291262,0.751699871807655,0.642017981759492,1,0.849181717937813,0.772389553159556
"UBXN7",-0.893195892518681,-0.923115310950309,-0.640013322728332,0.886901142783631,-0.530332968456229,-0.8994328981119,0.7438429235946,-0.897333052605318,0.640643142158833,0.402805382287385,0.770298748312648,0.863391152959541,0.624866030961125,0.892685675579677,0.617271289950834,0.965575178229167,0.747507352257375,0.955014400389098,-0.835604998770491,-0.733787076332049,0.797097477885793,0.75836888308803,0.749365014008483,0.588637115453153,0.849181717937813,1,0.836632736939024
"FGFR1OP2",-0.858702127627653,-0.782703599843602,-0.715841152468396,0.735327352290091,-0.428271627549242,-0.916760706288476,0.719527047307218,-0.712952679883342,0.564213444864823,0.465940110070871,0.715077675816012,0.690026108249147,0.761741818061504,0.706289999925178,0.482968122982387,0.809552536495191,0.738885572754396,0.75194401969154,-0.859959558788447,-0.701596758129886,0.642387428164493,0.654343010570401,0.818906673904088,0.540112656715356,0.772389553159556,0.836632736939024,1
