HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_E2F_TARGETS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_MYC_TARGETS_V1,HALLMARK_PEROXISOME,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_COAGULATION,HALLMARK_G2M_CHECKPOINT,HALLMARK_DNA_REPAIR,HALLMARK_APICAL_SURFACE,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COMPLEMENT,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_MYC_TARGETS_V2,HALLMARK_SPERMATOGENESIS,HALLMARK_ANGIOGENESIS,HALLMARK_GLYCOLYSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_APICAL_JUNCTION,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PROTEIN_SECRETION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MTORC1_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_MYOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MITOTIC_SPINDLE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_HYPOXIA,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ATP5MC2,CDC25B,ELF1,ALDH9A1,CALCB,ANGPTL4,ADIPOR2,ALDH3A1,CDK4,CACNA1B,CCL5,BTG3,CASP1,NEUROG3,C9,CCNT1,CMPK2,GHRL,CTNNB1,C9,BCL11B,MCM5,CDK1,PF4,B3GAT1,NOTCH2,AMIGO2,CCL22,JUNB,BET1,CDC14B,BUB1,BMP2,ATP6AP1,C3AR1,ARHGEF11,CDH11,CAPG,AVL9,CXCL1,ATG4A,HEY2,CDKN1B,NRP1,DCP1A,BHLHE40,BTG1,BDNF,ID3,CCL4
ATP5MC3,CDCA3,EPSTI1,AMACR,CALML5,APLP2,ADSL,ALDH9A1,CLNS1A,CADM1,CCL7,CA12,CCND2,NKX2-2,CAPN2,CDC20,COX17,GSTM3,CXCL16,CA2,BCL2,MPHOSPH10,CDKN3,PGLYRP1,B3GAT3,NOTCH3,ARHGEF6,CCL4,LAMTOR5,BNIP3,CDK6,CACYBP,BNIP3L,BAG1,C5AR1,ARHGEF12,CDH2,CAPN3,BIRC3,CXCL10,ATP6V0A1,JAG1,CFL1,NRP2,DCP2,BNIP3L,BTG2,BHLHE40,IFNGR2,CCL5
ATP5ME,CDCA8,GBP2,APOA1,CAMK1D,APOE,ALAD,ANGPTL3,CNBP,CAT,CD274,CA2,CCND3,NKX6-1,CAPN5,CDC25A,CSTF3,HSPB1,CYP51A1,CALM1,BHLHE40,MRTO4,CFTR,POSTN,B3GNT3,PPARD,ARPC2,CCL5,LSP1,CAV2,CENPN,CALR,BRCA1,BDKRB2,CALCRL,ARHGEF2,CDH6,CASP3,BMP2,CXCL11,BACH1,JAG2,CLTC,OPHN1,DCTN1,BRS3,BTG3,BMPR1A,JUNB,CCN1
ATP5MF,CDK1,GBP4,AQP9,CAPN9,ARAF,ALDH1A1,AOX1,COPS5,CDK7,CD38,CACNA2D2,CCNG1,PAK3,CASP9,CDC25B,DAD1,IL2RB,DHCR7,CALM3,BLVRB,MYBBP1A,CHFR,PRG2,B4GALT1,PRKCA,ATP1A3,CCL7,MBP,CD63,DBI,CANX,BTG2,BHLHE40,CCL17,ARHGEF3,COL11A1,CCND2,BPGM,CXCL13,BCAM,KAT2A,CSNK2B,PLG,DDIT4,BTG1,C4BPB,CACNA1A,KLF10,CCND1
ATP5MG,CDK4,GMPR,AR,CCDC106,ARL4A,ALDH3A1,AP4B1,COX5A,CEL,CD40,CALCR,CCNK,PAX4,CD9,CDC27,DCTN4,IL2RG,EBP,CASP1,CA12,MYC,CHRM4,PTK2,B4GALT2,PSEN2,B4GALT1,CCND2,MGST1,CLCN3,DHCR24,CCNF,BTG3,BIN1,CCL2,ARHGEF7,COL12A1,CCND3,BTBD3,CXCL3,BLVRA,LEF1,CXCR4,PML,DDX10,CA12,CA2,CAP2,LEFTY2,CCNL1
ATP5PB,CDKN1A,HELZ2,ATXN1,CCNA1,ATL2,ALDH3A2,APOE,CSTF2,CLN6,CD69,CAV1,CCP110,PAX6,CFB,CDC45,DDB1,LYN,ECH1,CASP10,CALB2,NDUFAF4,CLGN,S100A4,B4GALT4,PSENEN,BAIAP2,CCND3,MPO,CLN5,DNAJB9,CCNG1,CASP1,CACNA1H,CCL20,ARL8A,COL16A1,CCNE1,BTC,CXCL9,BLVRB,MAML1,DAPP1,PTCH1,DKC1,CASP6,CASP3,CAV1,LTBP2,CCRL2
ATP5PD,CDKN1B,HERC6,BBOX1,CCR8,ATP1B3,ALDH9A1,AQP9,CTPS1,CLN8,CD74,CCN5,CD81,PCSK1,CFD,CDC6,DDB2,LYPD3,ERRFI1,CASP3,CALCR,NIP7,CLPB,SERPINA5,B4GALT7,RBX1,BMP1,CCR1,MSRA,CLTA,ELK4,CCT6A,CASP2,CACNG1,CCL22,ATG4B,COL1A1,CCR4,C3AR1,DNTT,BMP2K,MYC,DDIT3,RASA1,DNAJA4,CAV1,CCK,CCN1,MAP3K7,CD44
ATP5PF,CDKN2A,HLA-C,BCAR3,CD207,ATP5PO,ALDOA,ARG1,CUL1,CNBP,CD86,CCNA1,CD82,PCSK2,CFH,CDC7,DGCR8,MAL,ETHE1,CASP4,CANT1,NOC4L,CLVS1,SLCO2A1,BIK,SAP30,CADM2,CCR2,NDUFA6,CLTC,ELL2,CD9,CASP3,CAMK2B,CCL24,AURKA,COL1A2,CD44,CA2,EBI3,BNIP3L,NCOR2,DUSP3,RTN1,DNAJB9,CAVIN1,CCND3,CDC42BPA,NCOR2,CD69
ATP5PO,CDKN2C,IFI27,BMP6,CD40LG,BAZ2A,AOC3,ARG2,CYC1,CRABP1,CDKN1A,CCND1,CDH13,PDX1,CFI,CDK1,DGUOK,MDGA1,FABP5,CASP5,CBFA2T3,NOLC1,CNIH2,SPP1,BPNT1,SKP1,CADM3,CCR5,NDUFB4,COG2,ELOVL5,CDC25A,CASP4,CASQ1,CCL5,BCAR1,COL3A1,CD48,CAB39L,FAS,BPGM,NCSTN,E2F1,SCG2,DNAJC3,CAVIN3,CCNE1,CDK13,NOG,CD80
ATP6AP1,CDKN3,IFI30,CAT,CD80,BCKDHA,APEX1,ARPP19,DDX18,CRABP2,CFB,CD44,CDK5R1,PKLR,CLU,CDK4,DUT,NCOA6,FADS2,CASP7,CCN5,NOP16,COIL,STC1,CACNA1H,ST3GAL6,CALB2,CD1D,NDUFS2,COPB1,FADS1,CDKN1A,CASP6,CASQ2,CCL7,BCL2L11,COL4A1,CD79B,CBL,GRB2,BSG,NKD1,ECSIT,SHH,EDC4,CCN1,CDC34,CDKN1B,PMEPA1,CD83
