Category,ID,Term,Genes,adj_pval
BP,GO:0016024,CDP-diacylglycerol biosynthetic process,"GPAT4, AGPAT2, CDS2",0.018887711
BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,"XBP1, LRP1, SNX25",0.018887711
BP,GO:0033169,histone H3-K9 demethylation,"KDM4B, KDM3A, KDM7A",0.018887711
BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,"SH2D3A, CAPRIN2, SPRY2, CAMK1, VEGFA, SNCA",0.019182591
BP,GO:0016567,protein ubiquitination,"RNF34, DCAF4, MID2, KLHL9, KCTD9, ITCH, MED30, GAN, TSPAN17, ENC1, TRIM47, KCTD11, TRIM27, LZTR1, TRIM11, FBXO9",0.019569212
BP,GO:0030010,establishment of cell polarity,"UST, CORO7, RAB11FIP2, PKD1",0.023054387
BP,GO:0006730,one-carbon metabolic process,"MTHFD1L, MTHFD2, FPGS, ALDH1L2",0.023054387
BP,GO:0030097,hemopoiesis,"L3MBTL1, ZNF160, CRIP2, SH2B3, EPOR",0.027485549
BP,GO:0032897,negative regulation of viral transcription,"TRIM27, MID2, TRIM11",0.028127693
BP,GO:0046655,folic acid metabolic process,"MTHFD2, FPGS, ALDH1L2",0.028127693
BP,GO:0006654,phosphatidic acid biosynthetic process,"GPAT4, DGKQ, LPCAT1, AGPAT2",0.028277145
BP,GO:0031100,animal organ regeneration,"ACE, FPGS, ADM, HSPG2",0.028277145
BP,GO:0008283,cell proliferation,"UCHL1, SMAD4, SPHK2, TXNRD1, FPGS, TACC1, PDK1, OVOL2",0.029016426
BP,GO:0002720,positive regulation of cytokine production involved in immune response,"SLC7A5, SPHK2, IRF5",0.031535123
BP,GO:0044790,negative regulation by host of viral release from host cell,"TRIM27, MID2, TRIM11",0.031535123
BP,GO:1990830,cellular response to leukemia inhibitory factor,"PTP4A3, KDM3A, CTBP2, SPRY4, SPRY2, SNX10",0.032642831
BP,GO:0008355,olfactory learning,"TPBG, ADCY3",0.032832278
BP,GO:0032091,negative regulation of protein binding,"ACE, RALB, CTSZ, DVL1, CAMK1",0.035817022
BP,GO:0030163,protein catabolic process,"PDLIM2, CASP3, LPCAT1, TRAF2, DENND3",0.035817022
BP,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,"CREB3, XBP1, SELENOS",0.038804076
BP,GO:0006650,glycerophospholipid metabolic process,"GPAT4, LPCAT1, AGPAT2",0.038804076
BP,GO:0043407,negative regulation of MAP kinase activity,"UCHL1, SPRY4, SPRY2, SH2B3",0.04043626
BP,GO:0010801,negative regulation of peptidyl-threonine phosphorylation,"DGKQ, DDIT4, SPRY2",0.042653802
BP,GO:0035914,skeletal muscle cell differentiation,"KRAS, ANKRD52, LEMD2, SAP30",0.044987329
BP,GO:0032012,regulation of ARF protein signal transduction,"IQSEC1, ARFGAP3, ARFGEF3",0.046639415
BP,GO:0036303,lymph vessel morphogenesis,"PKD1, VEGFA",0.048843178
BP,GO:1902033,regulation of hematopoietic stem cell proliferation,"ACE, EIF2AK2",0.048843178
BP,GO:0006990,positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response,"CREB3, XBP1",0.048843178
BP,GO:0055092,sterol homeostasis,"XBP1, ABCD1",0.048843178
CC,GO:0005829,cytosol,"TES, GOLT1A, DOCK11, RASSF3, FTH1, FPGS, TRIM27, SYNPO, PDE8A, PPFIA4, FBXO9, KRT8, HUS1, KLHL42, MYL5, DGKQ, DDIT4, HSBP1L1, ULK2, UPRT, TRIB3, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, EIF5A2, HELZ2, HRH1, ATXN7, DVL1, TNRC18, RHPN2, RAB6B, RAB11FIP3, PCK2, VASP, MOAP1, XBP1, PHETA2, SMAD4, SRMS, ATP8B2, GFPT1, EIF2AK2, SPART, CCDC88A, AGO4, NOXA1, CAPRIN2, SPIRE1, CORO7, MAP3K11, USP35, DOCK9, CEP164, SLC2A1, HCCS, LIMD1, LARP1B, CDC73, LIMD2, WDR44, UCHL1, PPP3CC, IMPA1, RASGEF1A, AIFM2, SNAPC2, UBE2Q2, CASP3, DGCR8, MAN1A1, C19ORF12, LRRFIP1, NINL, ABCD1, KLF12, VPS9D1, PARP4, SPHK2, ARHGEF16, TRAF2, ARFGAP3, RENBP, VAV2, PTP4A2, SLC7A5, CREB3, PITPNM1, GAN, TRAF5, IRF5, SYNC, PAFAH1B2, TRIM56, RNF34, TRIM16L, DENND3, MTHFD1L, CBS, TRIM47, WHAMM, ANKRD52, SH2B3, PDLIM7, SNCA, KDM4B, FKRP, CDC42BPG, TXNRD1, GSR, SPRY4, DDHD2, CDC42BPB, PLEKHA8, KLF8, KLHL9, ITCH, NOL4L, SPRY2, KRAS, TACC1, CAMK1, PKN1, SEC24D, SIPA1, TNRC6A",8.51E-06
CC,GO:0016020,membrane,"ANKRD13B, TMEM200B, DOCK9, GOLT1A, LPCAT1, SLC2A1, SNX10, HCCS, SLC2A3, VLDLR, SLC4A2, CELSR1, PEAR1, PKD1, TMEM263, PRSS21, MRC2, STBD1, FLVCR1, MAN1A1, CLCC1, ABCD1, SLFN12L, ABCC3, SLC38A1, PARP4, SPHK2, CSGALNACT2, ARFGAP3, LEMD2, FRS3, SLC7A5, CREB3, PITPNM1, CERS2, TLCD5, SMIM24, KDM3A, RGS19, LRP1, CBFB, SDC3, ADCY4, ADCY3, SLC1A4, ITPRIPL2, PCNX3, HELZ2, APH1B, MTHFD1L, GPAT4, FAM241B, SNCA, CD276, TM4SF19, SLC37A1, ACE, CMTM4, IQSEC1, PLEKHA2, TPBG, TNK1, SPRY4, DDHD2, EIF2AK2, LHFPL2, CDC42BPB, ATP2B1, TMCO3, DLK2, PLEKHA8, VEGFA, CCDC88A, ITCH, SLC6A9, P4HA1, ABHD17A, AGO4, TSPAN17, UST, SPRY2, KRAS, EPPK1, TACC1, CORO7, MAP3K11, SIPA1, CDS2",1.24E-04
CC,GO:0000139,Golgi membrane,"FKRP, GALNT4, GOLT1A, FUT11, CSGALNACT2, LPCAT1, SLC2A1, ARFGAP3, FUT2, PKD1, PLEKHA8, CREB3, APH1B, MAN2A2, UST, KRAS, MAN1A1, CORO7, WHAMM, CLCC1, RAB6B, RAB11FIP3, CHST3",0.002244005
CC,GO:0031463,Cul3-RING ubiquitin ligase complex,"KLHL9, GAN, ENC1, LZTR1, KLHL42",0.003287401
CC,GO:0016323,basolateral plasma membrane,"ABCC3, SLC7A5, SLC38A1, LRP1, SLC6A9, CLDN7, SLC2A1, EPPK1, SLC4A2, ATP2B1, RAB17, PKD1",0.003814359
CC,GO:0012505,endomembrane system,"NRBP2, RNF34, ATP8B2, DOCK9, BIK, RAB17, LZTR1, GDPD5, RAB6B",0.007296059
CC,GO:0016328,lateral plasma membrane,"SLC6A9, CLDN7, DVL1, DSG2, ATP2B1, PKD1",0.008880106
CC,GO:0005634,nucleus,"TES, SMC5, ZDBF2, RASSF1, RASSF3, ZMIZ2, FTH1, SCMH1, TRIM27, SYNPO, CDKL2, ZNF284, ZNF282, ZNF160, KRT8, HUS1, SAP30, OVOL2, MOB3C, DGKQ, ZNF319, HSBP1L1, HOXB2, TRIB3, NEIL1, BCORL1, KCTD15, ZNF397, L3MBTL1, ZNF275, PXK, CBFB, CTBP2, CTBP1, EIF5A2, MED30, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF664, PLK3, XBP1, SMAD4, EIF2AK2, MEX3D, SMARCA1, ZNF37A, AGO4, BHLHE40, ZNF416, ZNF778, RBAK, RCOR1, MUS81, USP35, ZNF251, CHD7, SNX10, LIMD1, PKD1, LARP1B, CDC73, ZNF805, AIFM2, SNAPC2, ZC3H7B, UBE2Q2, CASP3, ENC1, SPEG, DGCR8, LRRFIP1, ACADS, EID2B, TGIF1, CERS5, PARP4, KLF13, SPHK2, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, ZNF514, IRF5, JDP2, KDM7A, CERS2, LAMA5, KDM3A, RNF34, LRP1, PPM1M, MLLT6, PDLIM2, CBS, TRIM47, ANKRD52, ZNF224, ZNF587, SNCA, KDM4B, PLEKHA2, BNIP3, WTIP, VEGFA, SHLD2, RPA4, SPRY2, ZNF337, TACC1, CAMK1, BCOR, PKN1, SIPA1, ZFP28, ZNF354B",0.01107964
CC,GO:0030496,midbody,"KLHL9, SPART, RALB, PITPNM1, KATNAL1, SLC2A1, TACC1, PKN1, RAB11FIP3",0.012454998
CC,GO:0005874,microtubule,"SHTN1, EML5, RASSF1, RASSF3, KATNAL1, KIFC2, DVL1, KIF12, WHAMM, NINL, MID2, MAP3K11",0.019968861
CC,GO:0005737,cytoplasm,"ANKRD13B, TES, SMC5, ALDH1L2, PTPDC1, NRBP2, RASSF1, RASSF3, CFL2, FTH1, FPGS, DZIP1L, TRIM27, PPFIA4, FBXO9, TNS1, CDKL2, KRT8, FRS3, MID2, MYL5, SHTN1, EML5, MOB3C, KATNAL1, DGKQ, DDIT4, ULK2, UPRT, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, HELZ2, DEAF1, VASP, MOAP1, PLK3, XBP1, SMAD4, SRMS, TNK1, EIF2AK2, TDRD7, SPART, MFHAS1, CCDC88A, AGO4, BHLHE40, CAPRIN2, CDC42SE2, KIF12, ADM, LIMD1, PKD1, PRSS21, UCHL1, PPP3CC, IMPA1, AIFM2, CASP3, ENC1, DGCR8, LRRFIP1, ABCD1, PARP4, SPHK2, VAV2, ANO1, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, PITPNM1, GAN, IRF5, DBN1, PAFAH1B2, TRIM56, KDM3A, RNF34, TP53I13, TRIM16L, ADCY4, ADCY3, CBS, WHAMM, MICA, SNCA, CCDC57, PLEKHA2, CDC42BPG, TXNRD1, BNIP3, SPRY4, DDHD2, CDC42BPB, SPATA2L, VEGFA, ITCH, DBNDD2, SPRY2, PTPN9, KRAS, EPPK1, TACC1, PKN1, SIPA1",0.022305705
CC,GO:0030018,Z disc,"PDLIM2, CFL2, KRT8, SLC2A1, SYNPO, SYNC, PDLIM7",0.024011152
CC,GO:0005783,endoplasmic reticulum,"GOLT1A, CTSZ, SEMA3B, LPCAT1, PLOD2, SNX10, AGPAT2, PKD1, APH1B, GPAT4, STBD1, MAN1A1, C19ORF12, CLCC1, TMED5, CERS5, XBP1, SPHK2, BNIP3, TPBG, CGRRF1, LEMD2, VEGFA, CCDC88A, CREB3, SELENOS, P4HA1, CERS2, CDS2",0.028186671
CC,GO:0098944,postsynaptic recycling endosome membrane,"ABHD17A, RAB11FIP3",0.032283048
CC,GO:0005769,early endosome,"ANKRD13B, PTP4A2, PHETA2, PXK, PTP4A3, ITCH, LRP1, TRIM27, RAB17, ATP9A, C1ORF210",0.032812649
CC,GO:0005654,nucleoplasm,"MUS81, PDCD7, CHD7, CEP164, SMC5, CELSR1, LIMD1, ALDH1L2, DCAF4, PTPDC1, CDC73, LIMD2, UCHL1, SNAPC2, ZMIZ2, CASP3, SCMH1, ENC1, DGCR8, TRIM27, ACADS, EID2B, TGIF1, CDKL2, KLF12, PARP4, SPHK2, KRT8, HUS1, TRAF2, CGRRF1, SAP30, ANO1, CREB3, HOXB2, TRIB3, UPRT, NEIL1, BCORL1, TRIM11, KDM7A, TRIM56, L3MBTL1, KDM3A, RNF34, CBFB, CTBP1, HELZ2, MNT, MED30, DEAF1, ATXN7, TNRC18, RAB11FIP2, ZNF224, RAB11FIP3, PDLIM7, PLK3, XBP1, KDM4B, SMAD4, FKRP, TXNRD1, BNIP3, ATP2B1, SMARCA1, PLEKHA8, KLF8, ITCH, NOL4L, SHLD3, SHLD2, CAPRIN2, RPA4, PTPN9, SPIRE1, PKN1, BCOR, RBAK, RCOR1, TNRC6A",0.036589815
CC,GO:0055038,recycling endosome membrane,"ABHD17A, RAB17, LZTR1, RAB11FIP2, RAB11FIP3, ATP9A",0.037504762
CC,GO:0005768,endosome,"ACE, SLC6A9, SNX25, DGKQ, SNX10, PKN1, TRIM27, RAB17, RAB11FIP2, RAB11FIP3, ATP9A",0.041577469
CC,GO:0043231,intracellular membrane-bounded organelle,"ANKRD13B, EIF5A2, CEP164, CTSZ, FAM241B, SNX25, CLCC1, RAB11FIP2, RAB11FIP3, IQSEC1, SPHK2, ATP2B1, SMARCA1, CGRRF1, SPART, SLC7A5, ITCH, PITPNM1, P4HA1, ABHD17A, UPRT, DSG2, DENND6A, SEC24D, TNRC6A",0.043088895
CC,GO:0035861,site of double-strand break,"SHLD3, SHLD2, RPA4, HUS1, SMC5",0.055511892
CC,GO:0016327,apicolateral plasma membrane,"CLDN7, KRT8, EPPK1",0.057605564
CC,GO:0032154,cleavage furrow,"PITPNM1, SPIRE1, PKN1, RAB11FIP3",0.060309918
CC,GO:0015629,actin cytoskeleton,"VASP, CFL2, SHLD2, SPRY2, SYNPO, DBN1, PDLIM7, LIMD2, SNCA",0.071293617
CC,GO:0005856,cytoskeleton,"VASP, FAAH, LRP1, CDC42BPG, CDC42BPB, GAN, DGKQ, ENC1, SPIRE1, SPRY2, EPPK1, LRRFIP1, DBN1, TNS1, CDC42SE2",0.072479625
CC,GO:0001891,phagocytic cup,"RAB11FIP2, PEAR1, CDC42SE2",0.075651042
CC,GO:0017053,transcriptional repressor complex,"CTBP2, CTBP1, ZNF224, RCOR1",0.080158505
CC,GO:0055037,recycling endosome,"PHETA2, DENND6A, RAB17, RAB11FIP3, ATP9A, C1ORF210",0.080802269
CC,GO:0098978,glutamatergic synapse,"LAMA5, PPP3CC, CTBP2, ABHD17A, CTBP1, DGKQ, DVL1, DGCR8, CAMK1, ATP2B1, RAB17, DBN1",0.089339581
CC,GO:0005813,centrosome,"CDKL2, PLK3, SMAD4, CCDC57, CEP164, SLC1A4, SNX10, CCDC88A, KATNAL1, TRAF5, CAPRIN2, ACADS, NINL, RAB11FIP3, MAP3K11",0.089554032
CC,GO:0005802,trans-Golgi network,"PHETA2, ATP8B2, GOLT1A, CORO7, ATP9A, PLEKHA8, CHST3",0.090426911
CC,GO:0098802,plasma membrane receptor complex,"TRAF5, TRAF2",0.093764919
CC,GO:0098591,external side of apical plasma membrane,"SLC7A5, SLC38A1",0.093764919
CC,GO:0005925,focal adhesion,"VASP, MRC2, TES, SDC4, LRP1, SPRY4, KRAS, SLC4A2, LIMD1, HSPG2, PDLIM7, TNS1",0.097878439
MF,GO:0005515,protein binding,"FAAH, TES, TLNRD1, SERPINE1, SMC5, DCAF4, PTPDC1, IL27RA, RASSF1, RASSF3, ZMIZ2, FTH1, DZIP1L, TRIM27, SYNPO, PDK1, FBXO9, TNS1, KRT8, HUS1, FRS3, HSPG2, OVOL2, SHTN1, KATNAL1, MTHFD2, HSBP1L1, DDIT4, CLDN7, ULK2, HOXB2, UPRT, TRIB3, NEIL1, TRIM11, KCTD15, ZNF397, L3MBTL1, ZNF275, SDC4, CTBP2, CTBP1, EIF5A2, FUT11, SDC3, HELZ2, APH1B, RAB11FIP2, RAB11FIP3, PCK2, PPP1R26, VASP, PLK3, XBP1, PHETA2, SRMS, IQSEC1, EIF2AK2, PYCR2, SMARCA1, SPART, AGO4, CYSTM1, CORO7, RBAK, RCOR1, CDS2, CDC42SE2, ZNF251, CTSZ, SNX10, HCCS, VLDLR, PEAR1, LIMD1, LARP1B, PRSS21, WDR44, LIMD2, MRC2, UCHL1, PPP3CC, IMPA1, AIFM2, STBD1, ENC1, FLVCR1, NINL, TMED5, PARP4, SPHK2, RENBP, VAV2, MED22, ANO1, SLC7A5, INF2, PITPNM1, GAN, KXD1, SYNC, JDP2, DBN1, PAFAH1B2, TP53I13, ADCY4, MIEF2, CRIP2, GDPD5, MNT, ANKRD52, ZNF224, ZNF587, MICA, TM4SF19, BIK, PLEKHA2, WNT7B, LHFPL2, WTIP, VEGFA, KLHL9, ITCH, NOL4L, RPA4, ZNF337, TACC1, CAMK1, PKN1, SIPA1, GOLT1A, ALDH1L2, DOCK11, CFL2, SCMH1, CLCC1, PPFIA4, SLC38A1, CSGALNACT2, CGRRF1, LEMD2, SAP30, KLHL42, CACNB1, KCTD9, MOB3C, SELENOS, LYG1, DGKQ, ZNF319, CARD11, CBFB, LTBP3, FUT2, RSKR, MED30, ATXN7, DEAF1, NACC2, DVL1, RAB6B, ZNF664, CD276, MOAP1, SMAD4, ATP8B2, TNK1, TDRD7, MFHAS1, BMP1, P4HA1, NOXA1, BHLHE40, CAPRIN2, PLXNB3, SPIRE1, ZNF778, LZTR1, MAP3K11, MUS81, DOCK9, CHD7, CEP164, SLC2A1, SLC2A3, PKD1, CDC73, ZC3H7B, UBE2Q2, CASP3, SPEG, DGCR8, LRRFIP1, ABCD1, EID2B, TGIF1, SUN2, KLF12, VPS9D1, KLF13, SH2D3A, TNFRSF18, ARHGEF16, TRAF2, ARFGAP3, CREB3, PTP4A2, PTP4A3, TRAF5, IRF5, DSG2, CUEDC1, CERS2, TRIM56, KDM3A, RGS19, RALB, RNF34, LRP1, FAM169A, MLLT6, ERICH5, PDLIM2, CBS, FAM241B, SH2B3, PDLIM7, ATP9A, SNCA, FKRP, GALNT4, CMTM4, CCDC57, TXNRD1, BNIP3, CDC42BPG, SPRY4, ATP2B1, EPOR, SPATA2L, DBNDD2, ABHD17A, SHLD3, SHLD2, SPRY2, PTPN9, KRAS, BCOR, RAB17, SEC24D, TNRC6A",4.91E-05
MF,GO:0031267,small GTPase binding,"VPS9D1, SPHK2, ARHGEF16, CDC42BPB, WDR44, DOCK11, INF2, RASSF3, NOXA1, DVL1, WHAMM, PKN1, LZTR1, RAB11FIP2, RAB11FIP3, MAP3K11, CDC42SE2",7.31E-05
MF,GO:0042802,identical protein binding,"FAAH, TLNRD1, SLC2A1, RASSF1, IMPA1, RASSF3, FTH1, DGCR8, TRIM27, ABCD1, EID2B, SUN2, VPS9D1, TRAF2, FRS3, RENBP, MID2, KCTD9, ANO1, SHTN1, CREB3, KATNAL1, TRAF5, CLDN7, IRF5, KCTD11, PAFAH1B2, KCTD15, L3MBTL1, CTBP2, SDC4, CTBP1, SDC3, CBS, DVL1, RAB11FIP2, RAB11FIP3, SNCA, XBP1, SMAD4, FKRP, TXNRD1, BNIP3, EIF2AK2, EPOR, DLK2, VEGFA, BMP1, P4HA1, NOXA1, KRAS, MAP3K11",1.03E-04
MF,GO:0046872,metal ion binding,"MUS81, TES, ZNF251, HCCS, LIMD1, LIMD2, PPP3CC, IMPA1, ZNF805, RASSF3, ZC3H7B, FPGS, DZIP1L, DGCR8, TRIM27, PDE8A, TNS1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, CSGALNACT2, TRAF2, CGRRF1, ARFGAP3, VAV2, SAP30, OVOL2, ANO1, MOB3C, PITPNM1, DGKQ, ZNF319, ZNF514, KDM7A, TRIM56, ZNF397, ZNF275, RNF34, ADCY4, ADCY3, CRIP2, MLLT6, HELZ2, PDLIM2, MAN2A2, DEAF1, CBS, ZKSCAN2, ZNF587, ZNF224, ZNF664, PDLIM7, PCK2, KDM4B, SMAD4, FKRP, ACE, DDHD2, ATP2B1, WTIP, MEX3D, KLF8, ZNF37A, CAPRIN2, ZNF416, ZNF778, ZNF337, ZFP28, ZNF354B",2.96E-04
MF,GO:0003714,transcription corepressor activity,"CTBP2, DEAF1, CTBP1, HSBP1L1, TRIB3, BCOR, LIMD1, WTIP, BCORL1, EID2B, RCOR1, SAP30",8.37E-04
MF,GO:0003779,actin binding,"VASP, PXK, ACE, TLNRD1, CCDC88A, INF2, PDLIM2, ENC1, SPIRE1, CORO7, WHAMM, SYNPO, PDLIM7, DBN1, TNS1, SNCA",9.03E-04
MF,GO:0005085,guanyl-nucleotide exchange factor activity,"DOCK11, CCDC88A, VPS9D1, RASGEF1A, IQSEC1, DOCK9, SH2D3A, ARHGEF16, DENND3, DENND6A, ARFGEF3, VAV2",0.002651452
MF,GO:0004842,ubiquitin-protein transferase activity,"KLHL9, ITCH, UBE2Q2, TSPAN17, TRIM47, TRAF2, BCOR, TRIM27, TRIM11, TRIM56, KLHL42, FBXO9",0.004251564
MF,GO:0042803,protein homodimerization activity,"ZNF397, PHETA2, XBP1, SMAD4, BNIP3, MID2, VEGFA, ANO1, CREB3, CCDC88A, MTHFD1L, IMPA1, CBS, NACC2, BHLHE40, DGCR8, TRIM27, LRRFIP1, RAB11FIP2, ABCD1, RAB11FIP3, JDP2, MAP3K11, PAFAH1B2",0.005313277
MF,GO:0001227,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding","TGIF1, KLF12, ZNF282, OVOL2, KLF8, MNT, DEAF1, NACC2, BHLHE40, ZNF778, ZNF337, LRRFIP1, ZNF224, JDP2",0.005731207
MF,GO:0000978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,"ZNF397, ZNF275, ZNF251, CHD7, MNT, ZNF805, NACC2, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, ZNF319, BHLHE40, ZNF416, ZNF514, HOXB2, IRF5, RBAK, JDP2, ZFP28, ZNF354B",0.011851052
MF,GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding","ZNF397, ZNF275, ZNF251, MNT, ZNF805, DEAF1, NACC2, ZKSCAN2, LRRFIP1, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF514, HOXB2, IRF5, ZNF337, RBAK, JDP2, ZFP28, ZNF354B",0.013963779
MF,GO:0031434,mitogen-activated protein kinase kinase binding,"ACE, TRIB3, MAP3K11",0.014620775
MF,GO:0030374,ligand-dependent nuclear receptor transcription coactivator activity,"HELZ2, MED30, ZMIZ2, TACC1, PKN1",0.019662212
MF,GO:0031625,ubiquitin protein ligase binding,"SPART, MOAP1, MFHAS1, UCHL1, XBP1, RNF34, RALB, PDLIM2, CBS, TRAF5, TRIB3, TRAF2",0.020860455
MF,GO:0032454,histone demethylase activity (H3-K9 specific),"KDM4B, KDM3A, KDM7A",0.023385007
MF,GO:0005524,ATP binding,"PXK, CHD7, ADCY4, ADCY3, KIF12, SMC5, RSKR, HELZ2, NRBP2, MTHFD1L, UBE2Q2, FPGS, SPEG, ABCD1, ATP9A, PDK1, ABCC3, CDKL2, PLK3, SRMS, ATP8B2, SPHK2, CDC42BPG, TNK1, EIF2AK2, CDC42BPB, ATP2B1, SMARCA1, RENBP, KATNAL1, KIFC2, DGKQ, ULK2, KRAS, TRIB3, PKN1, CAMK1, MAP3K11",0.023888613
MF,GO:0015175,neutral amino acid transmembrane transporter activity,"SLC7A5, SLC38A1, SLC1A4",0.033790001
MF,GO:0030145,manganese ion binding,"NPEPL1, GALNT4, IMPA1, PPM1M, PCK2",0.033888564
MF,GO:0004727,prenylated protein tyrosine phosphatase activity,"PTP4A2, PTP4A3",0.034080966
MF,GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,"GPAT4, LPCAT1, AGPAT2",0.049893165
MF,GO:0015375,glycine:sodium symporter activity,"SLC38A1, SLC6A9",0.050684689
MF,GO:0038024,cargo receptor activity,"LRP1, STBD1, VLDLR",0.058785785
MF,GO:0004672,protein kinase activity,"CDKL2, NRBP2, PXK, SPEG, EIF2AK2, TRIB3, PKN1, CAMK1, CDC42BPB, MAP3K11, RSKR, PDK1",0.066755179
