Category,ID,Term,Count,PValue,Genes,Fold Enrichment,FDR
GOTERM_CC_DIRECT,GO:0005765,lysosomal membrane,15,0.01587381,"SCARB1, MIOS, ATP6AP1, SLC44A2, AP1B1, HLA-A, VASN, DPP4, LAMP1, CHMP2A, HPSE, CD68, FNIP2, GPR155, B2M",2.044662309,0.264615866
GOTERM_CC_DIRECT,GO:0005694,chromosome,11,0.020026579,"MYCL, MCM7, PRC1, NCL, PPP1R7, KIF4A, CDCA5, MCM5, TRIP13, SSRP1, SMC1A",2.344651374,0.288770344
GOTERM_CC_DIRECT,GO:1904813,ficolin-1-rich granule lumen,7,0.026098537,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",3.091529412,0.353516544
GOTERM_CC_DIRECT,GO:0032588,trans-Golgi network membrane,6,0.044781034,"SCAMP4, VPS51, VPS52, AP1B1, ATP2C2, SCAMP2",3.095656954,0.541003304
GOTERM_CC_DIRECT,GO:0045171,intercellular bridge,6,0.035049016,"TPX2, TUBB2A, PRC1, KIF20A, SKA1, CEP55",3.312352941,0.447626004
GOTERM_CC_DIRECT,GO:0034774,secretory granule lumen,7,0.018853809,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",3.331389452,0.280921758
GOTERM_CC_DIRECT,GO:0015630,microtubule cytoskeleton,12,9.56E-04,"CCNB2, TPX2, TUBB2A, CKAP2L, PRC1, BIRC5, CHP1, KIF2C, HMMR, CRYAB, SKA1, AURKA",3.362794864,0.030536244
GOTERM_CC_DIRECT,GO:0034451,centriolar satellite,8,0.009814377,"MIEN1, PDZD2, WDR62, FNIP2, SKA1, DLGAP5, CEP55, ZNF365",3.371351594,0.186575005
GOTERM_CC_DIRECT,GO:0055038,recycling endosome membrane,7,0.01678235,"SCAMP4, RAB13, HLA-A, B2M, SORL1, SCAMP2, HLA-E",3.41983342,0.267918224
GOTERM_CC_DIRECT,GO:0030176,integral component of endoplasmic reticulum membrane,8,0.009059962,"BSCL2, SLC35B2, WDR83OS, DHRS9, ATF6B, TECR, EMC7, ERGIC3",3.423620611,0.184081955
GOTERM_CC_DIRECT,GO:0072686,mitotic spindle,9,0.00491784,"TPX2, TUBB2A, CKAP2L, WDR62, KIF11, SKA3, SKA1, DLGAP5, AURKA",3.426572008,0.12212636
GOTERM_CC_DIRECT,GO:0030496,midbody,13,1.76E-04,"DCTN3, CTNND1, SHCBP1, AURKA, HSP90B1, ASPM, CENPF, PRC1, KIF4A, CHMP2A, BIRC5, KIF20A, CEP55",3.797230003,0.007880336
