Category,ID,Term,Genes,adj_pval
CC,GO:0016020,membrane,"SLC44A5, PIGS, SLC35B2, SLC44A3, NRP2, ABCD3, MCM7, SLC44A2, CD81, NCF2, COX4I1, NCAPG2, KIF11, ABCA12, NAT14, SPPL3, AQP3, NKPD1, IPO4, OASL, AADACL2, TMEM101, GLIPR1, LAMP1, STMN1, B2M, RPS10, CEP55, SLC15A1, ATP6AP1, HLA-A, KRT9, HLA-E, SCAMP2, ADGRF2, TOM1L2, BACE2, MYL6, DAAM1, LTB4R2, NCL, GEMIN4, PSME2, MCM5, KIF2C, PABPC1, ERGIC3, NBAS, SMIM5, PSMD13, NCAPG, HMMR, MTMR4, ADIPOR1, RPS4Y1, ADD3, TM9SF4, HSP90B1, DPP4, LMAN1, CCNB2, NT5E, CCNB1, VPS51, TMEM205, VPS52, EIF4EBP3, EMC7, FILIP1L, RPL18, BUB1, MPDU1, FANCI, FIS1, ATP5PB, PRAF2, NAP1L1, EEF2, ASPRV1, SORL1, NDC80, KITLG, PSMC5, TMEM237, KIF4A, CHMP2A, NUCB1, EIF3H, GPR107, HPSE, CD68, PFKM, GSDME",4.91E-04
CC,GO:0005576,extracellular region,"NRP2, YBX1, AADACL2, CTSK, LIPN, COTL1, TIMP3, CTSH, B2M, RPTN, EPHB3, EDN1, SERPINB2, ARG1, RNASET2, FST, OVCH2, PDCD1LG2, DKK1, TMPRSS11F, CES4A, IL1A, OLFM2, CCDC80, PSG4, PSMA2, CFD, COL17A1, PMEL, CEMIP, SEMA3C, PSMD13, TUFT1, FBLN1, LTBP2, THBS2, LYPD5, THBS1, HSP90B1, PSORS1C2, DPP4, COMMD9, PDZD2, LY6G6C, CLCA4, BCHE, CDSN, KLK13, ISG15, EEF2, IL1F10, KITLG, TCN1, RAET1L, NUCB1, CALM3, HPSE",0.005631333
CC,GO:0005739,mitochondrion,"COX7B, ABCD3, OAT, NDUFA11, SLC44A2, NDUFB11, MAOA, COX4I1, HJURP, TYMS, COX6A1, MRPL11, PSMB6, CHCHD2, RGS2, MPC1, NTHL1, IDH3B, CKB, DLGAP5, FIS1, MGME1, TFAP2C, ATP5PB, SDHD, REXO2, MRPL21, VASN, HADHB, NUDT9, COQ3, MRPS9, CYP24A1, HAT1, NDUFS3, ACO2, SGK1, SPATA18, CRYAB",0.015983509
CC,GO:0005829,cytosol,"NCF2, GMNN, CTNND1, HJURP, BUB1B, ABCA12, IFIT1, CDC20, RGS2, MT2A, CDC23, LAMP1, STMN1, COTL1, MAP3K8, RPL39, B2M, RPS10, PPFIA3, RPTN, EPHB3, KRT4, MSX2, C17ORF49, AP1B1, LMO7, RUNDC3A, KRT9, INPP4B, MYL6, DAAM1, RBP1, PSME1, GEMIN4, PSME2, SNRPF, PHLDB2, FLG, MAOA, PSMD13, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, SKA3, HIF1A, SKA1, HSP90B1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, FIS1, CDT1, RPL41, TFAP2C, UBE2C, PLK2, ISG15, EEF2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, BLMH, ACO2, COPS8, GSDME, ABCD3, MCM7, CITED2, COX4I1, HSPB8, QPRT, KRT24, CLTB, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, CKAP2L, GAB1, COMMD1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, SAPCD2, PSMA2, PELI1, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, NBAS, ACSS2, ATF6B, NXN, RAB1B, DCTN3, ADD3, TYMS, AURKA, PSMB6, NT5E, MIEN1, RASSF10, VPS51, VPS52, POLR2F, TNNI2, CKB, GBP2, RPL18, FNIP2, XDH, BUB1, POLR2K, RRM2, CENPF, PSMC5, NLRP10, PRC1, KRT15, RAB13, EIF3H, PFKM, CDKN3",2.50E-09
CC,GO:0070062,extracellular exosome,"SCARB1, SLC44A2, CD81, QPRT, CTNND1, KRT24, YBX1, LAMP1, STMN1, COTL1, CTSH, CHP1, GET3, B2M, TGM3, ATP6AP1, RNASET2, HLA-A, RHOB, KRT9, HLA-E, SCAMP2, TOM1L2, SCNN1G, MYL6, TUBB2A, PSMA2, SCNN1B, NCL, UFC1, GEMIN4, PSME1, PSME2, PABPC1, CDH16, CRYAB, CFD, SPRR3, PMEL, SEMA3C, RAB1B, FBLN1, GDPD3, LTBP2, THBS1, HSP90B1, DPP4, PSMB6, LMAN1, NT5E, PPP1R7, CKB, GPR155, EEF2, SORL1, VASN, NUDT9, PSMC5, NACA, KRT15, RAB13, CHMP2A, NUCB1, EIF3H, BLMH, COPS8",7.78E-05
CC,GO:0005813,centrosome,"CKAP2L, PLK2, DCTN3, WDR62, HMMR, SKA3, NDC80, AURKA, CDC20, ASPM, CCNB2, CENPF, CCNB1, CALM3, KIF2C, SAC3D1, CEP55, ZNF365",0.033672268
CC,GO:0005743,mitochondrial inner membrane,"COX7B, NDUFA11, ATP5PB, NDUFB11, COX4I1, TMEM160, SDHD, TYMS, COX6A1, MRPL21, MRPL11, HADHB, COQ3, COQ2, MRPS9, CYP24A1, MPC1, NDUFS3",0.008813401
CC,GO:0005765,lysosomal membrane,"SCARB1, MIOS, ATP6AP1, SLC44A2, AP1B1, HLA-A, VASN, DPP4, LAMP1, CHMP2A, HPSE, CD68, FNIP2, GPR155, B2M",0.01587381
CC,GO:0005694,chromosome,"MYCL, MCM7, PRC1, NCL, PPP1R7, KIF4A, CDCA5, MCM5, TRIP13, SSRP1, SMC1A",0.020026579
CC,GO:1904813,ficolin-1-rich granule lumen,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",0.026098537
