ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
TMEM256,-2.76373009,0.329145757,59.91868211,6.16E-18,1.25E-16,
CPT1B,2.257378082,0.366812954,51.10625134,1.62E-10,1.91E-09,
ITPRIPL2,1.870012312,0.572496706,14.18494547,0.000242257,0.001155201,
C5orf51,0.663013926,0.245311236,73.77417837,0.005268578,0.017435581,
RFPL3S,3.224699918,2.100809759,14.63185401,0.003054329,0.01090832,
C1RL-AS1,2.729607807,0.627928381,16.73568635,2.48E-06,1.74E-05,
AC108134.1,8.362289836,2.427182176,58.77056354,7.12E-11,8.69E-10,
ZNF316,1.823751754,0.361200802,44.15916715,1.19E-07,1.03E-06,
RNPS1,0.780209829,0.263026555,77.98723277,0.002092487,0.007802301,
NYNRIN,-2.963691968,0.61828638,13.5340614,2.01E-07,1.69E-06,
SERPINB4,-4.318467054,0.519199824,31.47485056,1.37E-17,2.75E-16,
SERPINB5,-1.82993522,0.100750668,896.7580523,2.53E-74,2.32E-72,
HCG27,4.926433401,2.32967499,9.967895747,0.00017263,0.000853868,
HLA-A,-1.295197926,0.104495173,915.9569941,1.12E-35,4.83E-34,
HACD2,-1.19531988,0.253802807,60.87474139,1.13E-06,8.40E-06,
THUMPD3-AS1,1.577329252,0.460358286,26.15242559,0.000190294,0.000931886,
GPX3,-3.892291344,0.330322728,70.12473025,5.25E-33,2.09E-31,
DIO2,2.055557438,1.093868348,12.90565712,0.015382629,0.042997829,
MT-ND4L,-0.221872994,0.0574133,8141.902636,0.00010703,0.000556105,
ZNF611,1.722852773,0.762252234,11.62858369,0.005933401,0.01929839,
DENND1B,1.180251375,0.480346767,27.43957319,0.006246589,0.020143591,
SCAF8,0.981169063,0.278514173,76.79898219,0.000246688,0.001173895,
ZNF254,1.989273388,0.604036859,15.32437005,0.000215798,0.00103981,
MLLT11,-1.461226582,0.479473924,18.21750704,0.000703967,0.002995605,
ASIC3,3.304347617,0.76337367,26.02575516,3.55E-06,2.44E-05,
SUPT4H1,-0.797891159,0.276638625,69.41856033,0.002625272,0.00954759,
NRAS,0.743548893,0.245767763,72.56365001,0.001784895,0.006817479,
QTRT1,0.955498159,0.341353389,48.02930269,0.002931763,0.010506608,
CHUK,1.339468659,0.30202714,59.16676009,3.78E-06,2.59E-05,
LCAT,2.829772646,0.42039024,58.18368753,3.67E-12,5.00E-11,
SIPA1,2.381848047,0.674616435,11.97017631,6.80E-05,0.000368461,
ERV3-1,-1.327792886,0.498115393,16.78974115,0.002724275,0.009864863,
ARL2,-1.914785439,0.323648054,42.60620455,7.29E-10,8.22E-09,
VDAC1,-0.843328564,0.151855797,169.7139907,1.85E-08,1.80E-07,
TMX2,-0.979452369,0.186673663,124.0605755,8.96E-08,7.91E-07,
NDUFS3,-1.156225535,0.378439248,32.00972413,0.001000792,0.004077631,
LBH,1.785086779,0.930927112,18.35152511,0.015269216,0.042715424,
ATF6B,-1.246812951,0.278457745,54.33511055,3.20E-06,2.22E-05,
CLIC1,0.690312968,0.074965686,953.5342756,3.01E-20,6.84E-19,
DDAH2,1.291596773,0.300085757,126.9286496,7.40E-06,4.84E-05,
RPS29,-1.492381441,0.27234018,53.81069786,1.39E-08,1.37E-07,
GTF2H4,1.150544463,0.310797473,74.17905789,0.00010394,0.000541478,
DDX47,1.85259453,0.872993171,34.33933743,0.010634433,0.031539905,
ZNF888,1.664325809,0.741490236,9.795517248,0.006100951,0.019745104,
KCTD11,1.521469424,0.20395777,110.539519,2.96E-14,4.83E-13,
LTB4R,-1.804368134,0.47564412,19.85389422,3.40E-05,0.000196121,
LTB4R2,-1.63746286,0.729348402,8.50598582,0.005720163,0.01868361,
CSNK1E,1.592987961,0.180730328,196.5309838,4.07E-19,8.84E-18,
TAX1BP3,-2.0680237,0.203309467,177.5834703,5.23E-25,1.49E-23,
AP1G2,0.699177436,0.219162535,95.28263332,0.001057234,0.004286084,
TTLL3,1.517529576,0.541176848,23.52399017,0.001644992,0.006351675,
REPIN1,1.140393276,0.279851041,58.1164251,2.26E-05,0.000135638,
UCA1,1.471398405,0.706382443,15.80465486,0.011486174,0.033675206,
CPNE1,0.838402184,0.162246874,190.0955386,1.59E-07,1.35E-06,
MYCBP,-5.174082183,0.779550516,20.51226474,6.05E-12,8.13E-11,
ALG3,-1.044970749,0.421518783,22.23056377,0.006431211,0.020649304,
SMIM30,-0.743188333,0.248620185,60.13770179,0.001998063,0.007494774,
C17orf67,3.142952622,1.059373568,17.5170728,0.000956903,0.003923537,
