Category,ID,Term,Count,PValue,Genes,Fold Enrichment,FDR
GOTERM_BP_DIRECT,GO:0044772,mitotic cell cycle phase transition,3,0.074555519,"CCNA2, CCNB2, CCNB1",6.612917847,0.993695441
GOTERM_BP_DIRECT,GO:0051000,positive regulation of nitric-oxide synthase activity,3,0.074555519,"SCARB1, CALM3, HIF1A",6.612917847,0.993695441
GOTERM_BP_DIRECT,GO:0045786,negative regulation of cell cycle,4,0.077469306,"CDT1, GMNN, TENT5B, RHOB",4.007828998,0.993695441
GOTERM_BP_DIRECT,GO:0045766,positive regulation of angiogenesis,7,0.081585939,"IL1A, GAB1, CTSH, HPSE, THBS1, HIF1A, RHOB",2.323816513,0.993695441
GOTERM_BP_DIRECT,GO:0043616,keratinocyte proliferation,3,0.085223664,"FST, OVOL1, PPARD",6.123072081,0.993695441
GOTERM_BP_DIRECT,GO:0051754,"meiotic sister chromatid cohesion, centromeric",2,0.087267586,"BUB1B, BUB1",22.04305949,0.993695441
GOTERM_BP_DIRECT,GO:0006196,AMP catabolic process,2,0.087267586,"NT5E, XDH",22.04305949,0.993695441
GOTERM_BP_DIRECT,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,2,0.087267586,"IL1A, HIF1A",22.04305949,0.993695441
GOTERM_BP_DIRECT,GO:0036343,psychomotor behavior,2,0.087267586,"DPP4, C12ORF57",22.04305949,0.993695441
GOTERM_BP_DIRECT,GO:0035307,positive regulation of protein dephosphorylation,3,0.090720313,"PPP1R7, CALM3, SPPL3",5.904390935,0.993695441
