initial_alias,converted_alias,name,description,namespace,,,,,From,To,Species,Gene Name,,,,,,4963,OFC1,Homo sapiens,orofacial cleft 1(OFC1),,,,,,,,,,,,fibro down,,,,,,,,,,mono up,,,,,,,,,mono down,,,
27785,None,None,None,,,,,,3487,IGFBP4,Homo sapiens,insulin like growth factor binding protein 4(IGFBP4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4391,None,None,None,,,,,,5425,POLD2,Homo sapiens,"DNA polymerase delta 2, accessory subunit(POLD2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16087,None,None,None,,,,,,8932,MBD2,Homo sapiens,methyl-CpG binding domain protein 2(MBD2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12186,None,None,None,,,,,,5427,POLE2,Homo sapiens,"DNA polymerase epsilon 2, accessory subunit(POLE2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12488,None,None,None,,,,,,5428,POLG,Homo sapiens,"DNA polymerase gamma, catalytic subunit(POLG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26891,None,None,None,,,,,,23548,TTC33,Homo sapiens,tetratricopeptide repeat domain 33(TTC33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36069,None,None,None,,,,,,5684,PSMA3,Homo sapiens,proteasome 20S subunit alpha 3(PSMA3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528,None,None,None,,,,,,23782,AP1B1P1,Homo sapiens,AP1B1 pseudogene 1(AP1B1P1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12391,None,None,None,,,,,,23301,EHBP1,Homo sapiens,EH domain binding protein 1(EHBP1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6186,None,None,None,,,,,,23781,AP1B1P2,Homo sapiens,AP1B1 pseudogene 2(AP1B1P2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38629,None,None,None,,,,,,11320,MGAT4A,Homo sapiens,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A(MGAT4A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22391,None,None,None,,,,,,6543,SLC8A2,Homo sapiens,solute carrier family 8 member A2(SLC8A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8130,None,None,None,,,,,,10691,GMEB1,Homo sapiens,glucocorticoid modulatory element binding protein 1(GMEB1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42187,None,None,None,,,,,,7402,UTRN,Homo sapiens,utrophin(UTRN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,None,None,None,,,,,,10690,FUT9,Homo sapiens,fucosyltransferase 9(FUT9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15439,None,None,None,,,,,,10692,RRH,Homo sapiens,retinal pigment epithelium-derived rhodopsin homolog(RRH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27825,None,None,None,,,,,,6548,SLC9A1,Homo sapiens,solute carrier family 9 member A1(SLC9A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32405,None,None,None,,,,,,9832,JAKMIP2,Homo sapiens,janus kinase and microtubule interacting protein 2(JAKMIP2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15226,None,None,None,,,,,,9830,TRIM14,Homo sapiens,tripartite motif containing 14(TRIM14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39530,None,None,None,,,,,,9831,ZNF623,Homo sapiens,zinc finger protein 623(ZNF623),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8258,None,None,None,,,,,,23531,MMD,Homo sapiens,monocyte to macrophage differentiation associated(MMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36433,None,None,None,,,,,,9825,SPATA2,Homo sapiens,spermatogenesis associated 2(SPATA2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26925,None,None,None,,,,,,9826,ARHGEF11,Homo sapiens,Rho guanine nucleotide exchange factor 11(ARHGEF11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30526,None,None,None,,,,,,9829,DNAJC6,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C6(DNAJC6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26885,None,None,None,,,,,,9827,RGP1,Homo sapiens,"RGP1 homolog, RAB6A GEF complex partner 1(RGP1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38591,None,None,None,,,,,,9828,ARHGEF17,Homo sapiens,Rho guanine nucleotide exchange factor 17(ARHGEF17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36553,None,None,None,,,,,,7661,ZNF90P1,Homo sapiens,zinc finger protein 90 pseudogene 1(ZNF90P1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186,None,None,None,,,,,,4161,MC5R,Homo sapiens,melanocortin 5 receptor(MC5R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27015,None,None,None,,,,,,23751,TOP3BP1,Homo sapiens,DNA topoisomerase III beta pseudogene 1(TOP3BP1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7989,None,None,None,,,,,,10686,CLDN16,Homo sapiens,claudin 16(CLDN16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15192,None,None,None,,,,,,10688,CRSP5,Homo sapiens,cofactor required for Sp1 transcriptional activation subunit 5(CRSP5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15232,None,None,None,,,,,,10687,PNMA2,Homo sapiens,PNMA family member 2(PNMA2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25143,None,None,None,,,,,,23287,AGTPBP1,Homo sapiens,ATP/GTP binding carboxypeptidase 1(AGTPBP1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22425,None,None,None,,,,,,23288,IQCE,Homo sapiens,IQ motif containing E(IQCE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6225,None,None,None,,,,,,28732,TRAJ23,Homo sapiens,T cell receptor alpha joining 23(TRAJ23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36555,None,None,None,,,,,,28730,TRAJ25,Homo sapiens,T cell receptor alpha joining 25 (non-functional)(TRAJ25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34130,None,None,None,,,,,,28731,TRAJ24,Homo sapiens,T cell receptor alpha joining 24(TRAJ24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,None,None,None,,,,,,23286,WWC1,Homo sapiens,WW and C2 domain containing 1(WWC1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36254,None,None,None,,,,,,5016,OVGP1,Homo sapiens,oviductal glycoprotein 1(OVGP1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12529,None,None,None,,,,,,7453,WARS1,Homo sapiens,tryptophanyl-tRNA synthetase 1(WARS1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36403,None,None,None,,,,,,7454,WAS,Homo sapiens,WASP actin nucleation promoting factor(WAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35930,None,None,None,,,,,,24146,CLDN15,Homo sapiens,claudin 15(CLDN15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32330,None,None,None,,,,,,24147,FJX1,Homo sapiens,four-jointed box kinase 1(FJX1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35890,None,None,None,,,,,,23291,FBXW11,Homo sapiens,F-box and WD repeat domain containing 11(FBXW11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16453,None,None,None,,,,,,28981,IFT81,Homo sapiens,intraflagellar transport 81(IFT81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34090,None,None,None,,,,,,7208,TRL-TAG1-1,Homo sapiens,tRNA-Leu (anticodon TAG) 1-1(TRL-TAG1-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12489,None,None,None,,,,,,5286,PIK3C2A,Homo sapiens,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha(PIK3C2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39490,None,None,None,,,,,,11280,SCN11A,Homo sapiens,sodium voltage-gated channel alpha subunit 11(SCN11A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22385,None,None,None,,,,,,5287,PIK3C2B,Homo sapiens,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta(PIK3C2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19143,None,None,None,,,,,,5288,PIK3C2G,Homo sapiens,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma(PIK3C2G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33226,None,None,None,,,,,,5289,PIK3C3,Homo sapiens,phosphatidylinositol 3-kinase catalytic subunit type 3(PIK3C3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32290,None,None,None,,,,,,28729,TRAJ26,Homo sapiens,T cell receptor alpha joining 26(TRAJ26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21491,None,None,None,,,,,,11054,OGFR,Homo sapiens,opioid growth factor receptor(OGFR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692,None,None,None,,,,,,5290,PIK3CA,Homo sapiens,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38631,None,None,None,,,,,,28727,TRAJ28,Homo sapiens,T cell receptor alpha joining 28(TRAJ28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29630,None,None,None,,,,,,5291,PIK3CB,Homo sapiens,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta(PIK3CB)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22431,None,None,None,,,,,,5292,PIM1,Homo sapiens,"Pim-1 proto-oncogene, serine/threonine kinase(PIM1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526,None,None,None,,,,,,28725,TRAJ30,Homo sapiens,T cell receptor alpha joining 30(TRAJ30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35030,None,None,None,,,,,,28726,TRAJ29,Homo sapiens,T cell receptor alpha joining 29(TRAJ29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,None,None,None,,,,,,11260,XPOT,Homo sapiens,exportin for tRNA(XPOT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34990,None,None,None,,,,,,5078,PAX4,Homo sapiens,paired box 4(PAX4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43131,None,None,None,,,,,,9435,CHST2,Homo sapiens,carbohydrate sulfotransferase 2(CHST2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8561,None,None,None,,,,,,7266,DNAJC7,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C7(DNAJC7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21668,None,None,None,,,,,,8110,DPF3,Homo sapiens,double PHD fingers 3(DPF3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19726,None,None,None,,,,,,7265,TTC1,Homo sapiens,tetratricopeptide repeat domain 1(TTC1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27011,None,None,None,,,,,,7268,TTC4,Homo sapiens,tetratricopeptide repeat domain 4(TTC4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26931,None,None,None,,,,,,7267,TTC3,Homo sapiens,tetratricopeptide repeat domain 3(TTC3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17478,None,None,None,,,,,,23464,GCAT,Homo sapiens,glycine C-acetyltransferase(GCAT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37725,None,None,None,,,,,,23466,CBX6,Homo sapiens,chromobox 6(CBX6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31390,None,None,None,,,,,,23467,NPTXR,Homo sapiens,neuronal pentraxin receptor(NPTXR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29590,None,None,None,,,,,,23468,CBX5,Homo sapiens,chromobox 5(CBX5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24454,None,None,None,,,,,,23469,PHF3,Homo sapiens,PHD finger protein 3(PHF3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10828,None,None,None,,,,,,11247,NXPH4,Homo sapiens,neurexophilin 4(NXPH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40391,None,None,None,,,,,,6185,RPN2,Homo sapiens,ribophorin II(RPN2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38589,None,None,None,,,,,,6188,RPS3,Homo sapiens,ribosomal protein S3(RPS3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21779,None,None,None,,,,,,6187,RPS2,Homo sapiens,ribosomal protein S2(RPS2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22432,None,None,None,,,,,,6189,RPS3A,Homo sapiens,ribosomal protein S3A(RPS3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131,None,None,None,,,,,,8126,MRST,Homo sapiens,"Mental retardation, severe, with spasticity and tapetoretinal(MRST)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26041,None,None,None,,,,,,9457,FHL5,Homo sapiens,four and a half LIM domains 5(FHL5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36066,None,None,None,,,,,,7270,TTF1,Homo sapiens,transcription termination factor 1(TTF1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26932,None,None,None,,,,,,5094,PCBP2,Homo sapiens,poly(rC) binding protein 2(PCBP2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16127,None,None,None,,,,,,7272,TTK,Homo sapiens,TTK protein kinase(TTK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36006,None,None,None,,,,,,23471,TRAM1,Homo sapiens,translocation associated membrane protein 1(TRAM1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,None,None,None,,,,,,1729,DIAPH1,Homo sapiens,diaphanous related formin 1(DIAPH1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21531,None,None,None,,,,,,1728,NQO1,Homo sapiens,NAD(P)H quinone dehydrogenase 1(NQO1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36027,None,None,None,,,,,,11258,DCTN3,Homo sapiens,dynactin subunit 3(DCTN3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34225,None,None,None,,,,,,1727,CYB5R3,Homo sapiens,cytochrome b5 reductase 3(CYB5R3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8885,None,None,None,,,,,,1725,DHPS,Homo sapiens,deoxyhypusine synthase(DHPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36249,None,None,None,,,,,,11259,FILIP1L,Homo sapiens,filamin A interacting protein 1 like(FILIP1L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26892,None,None,None,,,,,,10807,ENTR1,Homo sapiens,endosome associated trafficking regulator 1(ENTR1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19686,None,None,None,,,,,,6191,RPS4X,Homo sapiens,ribosomal protein S4 X-linked(RPS4X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27791,None,None,None,,,,,,27005,USP21,Homo sapiens,ubiquitin specific peptidase 21(USP21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12654,None,None,None,,,,,,8130,MCOPCT1,Homo sapiens,"cataract, congenital, with microphthalmia(MCOPCT1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36236,None,None,None,,,,,,6192,RPS4Y1,Homo sapiens,ribosomal protein S4 Y-linked 1(RPS4Y1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16478,None,None,None,,,,,,1730,DIAPH2,Homo sapiens,diaphanous related formin 2(DIAPH2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36221,None,None,None,,,,,,3912,LAMB1,Homo sapiens,laminin subunit beta 1(LAMB1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23653,None,None,None,,,,,,9478,CABP1,Homo sapiens,calcium binding protein 1(CABP1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29592,None,None,None,,,,,,10828,NPM1P19,Homo sapiens,nucleophosmin 1 pseudogene 19(NPM1P19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12277,None,None,None,,,,,,10827,FAM114A2,Homo sapiens,family with sequence similarity 114 member A2(FAM114A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19689,None,None,None,,,,,,9002,F2RL3,Homo sapiens,F2R like thrombin or trypsin receptor 3(F2RL3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15229,None,None,None,,,,,,9497,SLC4A7,Homo sapiens,solute carrier family 4 member 7(SLC4A7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031,None,None,None,,,,,,7088,TLE1,Homo sapiens,"TLE family member 1, transcriptional corepressor(TLE1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691,None,None,None,,,,,,8178,ELL,Homo sapiens,elongation factor for RNA polymerase II(ELL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15189,None,None,None,,,,,,7087,ICAM5,Homo sapiens,intercellular adhesion molecule 5(ICAM5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31430,None,None,None,,,,,,7089,TLE2,Homo sapiens,"TLE family member 2, transcriptional corepressor(TLE2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36067,None,None,None,,,,,,7086,TKT,Homo sapiens,transketolase(TKT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36093,None,None,None,,,,,,7085,TKCR,Homo sapiens,"torticollis, keloids, cryptorchidism and renal dysplasia(TKCR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27845,None,None,None,,,,,,2625,GATA3,Homo sapiens,GATA binding protein 3(GATA3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11945,None,None,None,,,,,,27443,CECR2,Homo sapiens,CECR2 histone acetyl-lysine reader(CECR2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38054,None,None,None,,,,,,2629,GBA1,Homo sapiens,glucosylceramidase beta 1(GBA1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21529,None,None,None,,,,,,2628,GATM,Homo sapiens,glycine amidinotransferase(GATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30628,None,None,None,,,,,,2627,GATA6,Homo sapiens,GATA binding protein 6(GATA6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427,None,None,None,,,,,,2626,GATA4,Homo sapiens,GATA binding protein 4(GATA4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26886,None,None,None,,,,,,7091,TLE4,Homo sapiens,"TLE family member 4, transcriptional corepressor(TLE4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21489,None,None,None,,,,,,7090,TLE3,Homo sapiens,"TLE family member 3, transcriptional corepressor(TLE3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34092,None,None,None,,,,,,26127,FGFR1OP2,Homo sapiens,FGFR1 oncogene partner 2(FGFR1OP2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11585,None,None,None,,,,,,7092,TLL1,Homo sapiens,tolloid like 1(TLL1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33186,None,None,None,,,,,,2632,GBE1,Homo sapiens,"1,4-alpha-glucan branching enzyme 1(GBE1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23656,None,None,None,,,,,,2631,NIPSNAP2,Homo sapiens,nipsnap homolog 2(NIPSNAP2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19729,None,None,None,,,,,,2630,GBA1LP,Homo sapiens,"glucosylceramidase beta 1 like, pseudogene(GBA1LP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27831,None,None,None,,,,,,5917,RARS1,Homo sapiens,arginyl-tRNA synthetase 1(RARS1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25145,None,None,None,,,,,,3750,KCND1,Homo sapiens,potassium voltage-gated channel subfamily D member 1(KCND1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13748,None,None,None,,,,,,3749,KCNC4,Homo sapiens,potassium voltage-gated channel subfamily C member 4(KCNC4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11625,None,None,None,,,,,,26341,OR5H1,Homo sapiens,olfactory receptor family 5 subfamily H member 1(OR5H1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13743,None,None,None,,,,,,3982,LIM2,Homo sapiens,lens intrinsic membrane protein 2(LIM2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18827,None,None,None,,,,,,5920,PLAAT4,Homo sapiens,phospholipase A and acyltransferase 4(PLAAT4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29632,None,None,None,,,,,,9069,CLDN12,Homo sapiens,claudin 12(CLDN12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39532,None,None,None,,,,,,9068,ANGPTL1,Homo sapiens,angiopoietin like 1(ANGPTL1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15458,None,None,None,,,,,,4850,CNOT4,Homo sapiens,CCR4-NOT transcription complex subunit 4(CNOT4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25091,None,None,None,,,,,,10539,GLRX3,Homo sapiens,glutaredoxin 3(GLRX3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17029,None,None,None,,,,,,10533,ATG7,Homo sapiens,autophagy related 7(ATG7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16272,None,None,None,,,,,,3530,IGKV1OR22-1,Homo sapiens,immunoglobulin kappa variable 1/OR22-1 (pseudogene)(IGKV1OR22-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11588,None,None,None,,,,,,9070,ASH2L,Homo sapiens,"ASH2 like, histone lysine methyltransferase complex subunit(ASH2L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40431,None,None,None,,,,,,9071,CLDN10,Homo sapiens,claudin 10(CLDN10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18825,None,None,None,,,,,,9076,CLDN1,Homo sapiens,claudin 1(CLDN1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19732,None,None,None,,,,,,9075,CLDN2,Homo sapiens,claudin 2(CLDN2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11807,None,None,None,,,,,,3527,IGKV3OR22-2,Homo sapiens,immunoglobulin kappa variable 3/OR22-2 (pseudogene)(IGKV3OR22-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,None,None,None,,,,,,3525,IGKV1OR1-1,Homo sapiens,immunoglobulin kappa variable 1/OR1-1 (pseudogene)(IGKV1OR1-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41331,None,None,None,,,,,,4852,NPY,Homo sapiens,neuropeptide Y(NPY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16635,None,None,None,,,,,,3529,IGKV2OR22-3,Homo sapiens,immunoglobulin kappa variable 2/OR22-3 (pseudogene)(IGKV2OR22-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14470,None,None,None,,,,,,4870,NPM1P1,Homo sapiens,nucleophosmin 1 pseudogene 1(NPM1P1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19142,None,None,None,,,,,,3531,IGKV1OR2-1,Homo sapiens,immunoglobulin kappa variable 1/OR2-1 (pseudogene)(IGKV1OR2-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15358,None,None,None,,,,,,5726,TAS2R38,Homo sapiens,taste 2 receptor member 38(TAS2R38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42190,None,None,None,,,,,,10730,YME1L1,Homo sapiens,YME1 like 1 ATPase(YME1L1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
