initial_alias,converted_alias,name,description,namespace,,,,,From,To,Species,Gene Name,,,,,,4963,OFC1,Homo sapiens,orofacial cleft 1(OFC1),,,,,,,,,,,,fibro down,,,,,,,,,,mono up,,,,,,,,,mono down,,,
825,CAPN3,CAPN3,calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480],ENTREZGENE_ACC,,,,,32207,LIMK1,Drosophila melanogaster,LIM domain kinase 1(LIMK1),,,,,,2589,GALNT1,Homo sapiens,polypeptide N-acetylgalactosaminyltransferase 1(GALNT1),,,,,,,,,,,1579,CYP4A11,Homo sapiens,cytochrome P450 family 4 subfamily A member 11(CYP4A11),,,,,,,,32327,CG11158,Drosophila melanogaster,uncharacterized protein(CG11158),,,,,,40169,Usp32,Drosophila melanogaster,Ubiquitin specific protease 32(Usp32)
827,CAPN6,CAPN6,calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483],ENTREZGENE_ACC,,,,,42230,CG7694,Drosophila melanogaster,uncharacterized protein(CG7694),,,,,,2588,GALNS,Homo sapiens,galactosamine (N-acetyl)-6-sulfatase(GALNS),,,,,,,,,,,474,ATOH1,Homo sapiens,atonal bHLH transcription factor 1(ATOH1),,,,,,,,42230,CG7694,Drosophila melanogaster,uncharacterized protein(CG7694),,,,,,42745,fzo,Drosophila melanogaster,fuzzy onions(fzo)
826,CAPNS1,CAPNS1,calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481],ENTREZGENE_ACC,,,,,42232,CG14304,Drosophila melanogaster,uncharacterized protein(CG14304),,,,,,830,CAPZA2,Homo sapiens,capping actin protein of muscle Z-line subunit alpha 2(CAPZA2),,,,,,,,,,,236,AKR1B1P2,Homo sapiens,aldo-keto reductase family 1 member B1 pseudogene 2(AKR1B1P2),,,,,,,,33082,Stt3A,Drosophila melanogaster,Catalytic subunit 3A of the oligosaccharyltransferase complex(Stt3A),,,,,,34963,GMF,Drosophila melanogaster,Glia maturation factor(GMF)
4076,CAPRIN1,CAPRIN1,cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743],ENTREZGENE_ACC,,,,,33764,TotM,Drosophila melanogaster,Turandot M(TotM),,,,,,2587,GALR1,Homo sapiens,galanin receptor 1(GALR1),,,,,,,,,,,28610,TRBV5-5,Homo sapiens,T cell receptor beta variable 5-5(TRBV5-5),,,,,,,,35029,ApepP,Drosophila melanogaster,Aminopeptidase P(ApepP),,,,,,42580,dnd,Drosophila melanogaster,dead end(dnd)
828,CAPS,CAPS,calcyphosine [Source:HGNC Symbol;Acc:HGNC:1487],ENTREZGENE_ACC,,,,,31347,CG2938,Drosophila melanogaster,uncharacterized protein(CG2938),,,,,,831,CAST,Homo sapiens,calpastatin(CAST),,,,,,,,,,,7436,VLDLR,Homo sapiens,very low density lipoprotein receptor(VLDLR),,,,,,,,35027,CG12288,Drosophila melanogaster,uncharacterized protein(CG12288),,,,,,39164,Taf2,Drosophila melanogaster,TBP-associated factor 2(Taf2)
829,CAPZA1,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488],ENTREZGENE_ACC,,,,,32436,dob,Drosophila melanogaster,doppelganger von brummer(dob),,,,,,2585,GALK2,Homo sapiens,galactokinase 2(GALK2),,,,,,,,,,,11189,CELF3,Homo sapiens,CUGBP Elav-like family member 3(CELF3),,,,,,,,35026,tweek,Drosophila melanogaster,tweek(tweek),,,,,,40310,CG32432,Drosophila melanogaster,uncharacterized protein(CG32432)
830,CAPZA2,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490],ENTREZGENE_ACC,,,,,42226,fru,Drosophila melanogaster,fruitless(fru),,,,,,832,CAPZB,Homo sapiens,capping actin protein of muscle Z-line subunit beta(CAPZB),,,,,,,,,,,2308,FOXO1,Homo sapiens,forkhead box O1(FOXO1),,,,,,,,37686,CG13540,Drosophila melanogaster,uncharacterized protein(CG13540),,,,,,41247,Syn,Drosophila melanogaster,Synapsin(Syn)
832,CAPZB,CAPZB,capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491],ENTREZGENE_ACC,,,,,35932,CG8788,Drosophila melanogaster,uncharacterized protein(CG8788),,,,,,5616,PRKY,Homo sapiens,protein kinase Y-linked (pseudogene)(PRKY),,,,,,,,,,,7696,ZNF137P,Homo sapiens,"zinc finger protein 137, pseudogene(ZNF137P)",,,,,,,,37687,ord,Drosophila melanogaster,orientation disruptor(ord),,,,,,39161,Ciz1,Drosophila melanogaster,Ciz1 zinc finger protein(Ciz1)
831,CAST,CAST,calpastatin [Source:HGNC Symbol;Acc:HGNC:1515],ENTREZGENE_ACC,,,,,34843,ppk,Drosophila melanogaster,pickpocket(ppk),,,,,,4528,MTIF2,Homo sapiens,mitochondrial translational initiation factor 2(MTIF2),,,,,,,,,,,7691,ZNF132,Homo sapiens,zinc finger protein 132(ZNF132),,,,,,,,37688,CG3124,Drosophila melanogaster,uncharacterized protein(CG3124),,,,,,41195,Naa80,Drosophila melanogaster,N(alpha)-acetyltransferase 80(Naa80)
23468,CBX5,CBX5,chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555],ENTREZGENE_ACC,,,,,35931,alc,Drosophila melanogaster,alicorn(alc),,,,,,3690,ITGB3,Homo sapiens,integrin subunit beta 3(ITGB3),,,,,,,,,,,483,ATP1B3,Homo sapiens,ATPase Na+/K+ transporting subunit beta 3(ATP1B3),,,,,,,,42226,fru,Drosophila melanogaster,fruitless(fru),,,,,,41994,CG14882,Drosophila melanogaster,uncharacterized protein(CG14882)
