baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
7.358897952,-0.058932944,0.312000738,0.78213846,0.888799855,NO,NA
31.57270889,0.022263418,0.363189148,0.908024621,0.954977562,NO,NA
97.38542413,0.089874904,0.24173336,0.650518014,0.809074941,NO,NA
29.44745619,-0.025474727,0.308611726,0.897151144,0.949879026,NO,NA
0.61226571,-0.115986062,0.434856004,0.281165986,NA,NO,NA
29.94028223,-0.625398129,0.339935643,0.014060145,0.091712812,NO,NA
7.2152367,0.115115335,0.439981552,0.010376786,0.077372755,NO,NA
12.00859889,0.078926339,0.400579473,0.500974015,0.70264719,NO,NA
10.34620508,-0.654835103,0.440147365,0.02502792,0.126620944,NO,NA
78.51860699,0.206962443,0.148288852,0.138896378,0.335516593,NO,NA
3.165511551,0.119964618,0.385841488,0.50919926,NA,NO,NA
5.002296813,0.074506567,0.401992769,0.584678351,0.764864837,NO,NA
22.65947213,-0.022270047,0.289167039,0.91194088,0.956797691,NO,NA
65.54561027,0.036205062,0.422751998,0.004892538,0.050341949,NO,NA
65.92058011,-0.485526907,0.363687625,0.054100104,0.196097884,NO,NA
103.7103621,0.002812818,0.335384555,0.995087977,0.998045745,NO,NA
3.287939686,0.041062266,0.421316014,0.245216687,0.469400443,NO,NA
114.4756533,-0.097315086,0.333317576,0.616287137,0.786340247,NO,NA
6.202407778,0.054086588,0.424842921,0.048863682,0.186551548,NO,NA
7.450427798,-0.017776754,0.396127498,0.877488849,0.941333703,NO,NA
26.07888894,0.07733051,0.421730241,0.251425449,0.475322982,NO,NA
5.284382483,0.087959988,0.338313395,0.674428816,0.824270976,NO,NA
2.539784179,0.052691962,0.423605322,0.134487543,NA,NO,NA
21.33439226,-0.094705517,0.374538743,0.572038941,0.756076271,NO,NA
82.40416385,1.064036399,0.711200045,0.009157994,0.072106105,NO,NA
30.17414808,0.506671937,0.412438596,0.062111277,0.212141884,NO,NA
1.160328859,0.052749214,0.421386215,0.302617885,NA,NO,NA
2.695256032,0.37464561,0.557149483,0.086729157,NA,NO,NA
90.23568734,-0.296167085,0.46524146,0.122112026,0.311059811,NO,NA
10.28318555,-0.133104514,0.340715492,0.508835847,0.70913845,NO,NA
31.38700724,0.696364924,0.434823939,0.02017619,0.111617688,NO,NA
74.40356723,0.229468915,0.304614279,0.30067593,0.525630239,NO,NA
40.63362565,-0.183683198,0.293286901,0.399604162,0.619197065,NO,NA
10.25617511,0.050809065,0.424520515,0.034990358,0.154114317,NO,NA
35.67001093,0.468421287,0.606865723,0.049150115,0.186745592,NO,NA
0.577843995,0.043866467,0.4177625,0.553151385,NA,NO,NA
1.093186944,-0.219921917,0.469348831,0.151060171,NA,NO,NA
195.8153576,0.119463652,0.164687693,0.416114029,0.63398553,NO,NA
2.028978448,0.285099152,0.527030953,0.078269223,NA,NO,NA
21.14433258,-0.075753593,0.259555712,0.709271759,0.844949542,NO,NA
8.448498567,0.121259202,0.39651382,0.429378257,0.645375112,NO,NA
23.42410701,1.000223596,0.574909288,0.007799528,0.066149304,NO,NA
50.56147628,0.235022996,0.303541189,0.260567158,0.485782267,NO,NA
35.83831652,0.071214551,0.384463849,0.654545901,0.8116965,NO,NA
0.578784232,0.032881814,0.416547641,0.698970256,NA,NO,NA
85.88520847,-0.572096126,0.281770602,0.013086624,0.088220038,NO,NA
16.53250979,-0.743658835,0.361803141,0.007572722,0.065169774,NO,NA
109.7239387,0.711225495,0.473085737,0.02134832,0.115036396,NO,NA
18.06903379,2.195067498,1.071929327,0.001728769,0.02610721,UP,NA
40.66900016,1.724227491,0.727601838,0.000248397,0.006999107,UP,NA
24.96393112,0.062343126,0.392619885,0.643736905,0.803810888,NO,NA
41.75439851,0.364537017,0.393668459,0.140985103,0.337972092,NO,NA
19.29427677,0.010373506,0.406041039,0.915974121,0.958252104,NO,NA
137.9885992,0.081479386,0.420557293,0.296135231,0.520755217,NO,NA
131.1875655,3.378358323,0.840756824,1.06E-06,0.000142816,UP,NA
4.508467794,-0.042064065,0.421513819,0.122765561,0.312127632,NO,NA
12.55208741,0.164933444,0.444395882,0.104386222,0.285718503,NO,NA
55.99401508,0.246072011,0.53205324,0.000574059,0.01245032,UP,NA
78.68010741,4.42939201,1.257287161,2.34E-09,1.22E-06,UP,NA
12.39581981,0.092414181,0.37582699,0.614919811,0.785420577,NO,NA
11.72188528,0.084926741,0.389110983,0.603385453,0.777962806,NO,NA
33.73740092,0.432299881,0.299386214,0.064347345,0.216890356,NO,NA
24.14246709,0.107183511,0.424173861,0.220256085,0.441999246,NO,NA
28.17145388,0.009421013,0.217437509,0.952776309,0.976903847,NO,NA
48.51481661,0.221521131,0.18723731,0.190602497,0.405251091,NO,NA
320.3926941,-0.102404886,0.221293586,0.588876979,0.768011281,NO,NA
311.0524721,-0.101058929,0.149695165,0.476814311,0.684122606,NO,NA
57.80676694,-0.185533788,0.174560656,0.239686073,0.463166268,NO,NA
10.22470737,0.167076879,0.305055508,0.440681198,0.655210176,NO,NA
2.710056411,0.04591319,0.422057494,0.219917461,NA,NO,NA
1.867003599,0.057550174,0.422453818,0.236765235,NA,NO,NA
3.697476269,0.050604706,0.423747592,0.106269969,0.288498825,NO,NA
8.038115327,-0.198315118,0.374264398,0.364864775,0.588735538,NO,NA
10.20629516,0.039094927,0.325002563,0.849282515,0.926271097,NO,NA
30.2618575,-0.43539826,0.224936793,0.025357226,0.127792602,NO,NA
8.909473857,0.128059059,0.446340565,0.003013349,0.037324198,UP,NA
71.66653568,0.303071778,0.271805296,0.150596102,0.351381948,NO,NA
64.75957396,-0.13194299,0.16144438,0.374015507,0.596643794,NO,NA
1.523346776,0.091296442,0.412385961,0.463401104,NA,NO,NA
11.21982834,-0.324821909,0.321164983,0.16405559,0.369153304,NO,NA
32.61476353,-0.695280917,0.23536894,0.000793646,0.015750081,DOWN,NA
4.084480314,-0.346627654,0.452239206,0.146528789,0.346090574,NO,NA
99.12282958,0.252688276,0.478786427,0.122561137,0.311839407,NO,NA
110.8369647,-0.245090957,0.29510412,0.25299991,0.476968838,NO,NA
34.0322355,0.344299162,0.442682189,0.100859822,0.281006551,NO,NA
140.2728051,-0.764927873,0.388206048,0.008284032,0.068568716,NO,NA
1.203405455,0.234011382,0.489547198,0.107248123,NA,NO,NA
28.0943681,-0.008041132,0.309123981,0.964428428,0.983205381,NO,NA
2.665307113,0.095592873,0.406558588,0.440807301,NA,NO,NA
9.958146242,0.267878045,0.468055079,0.169762052,0.376746078,NO,NA
