"initial_alias","converted_alias","name","description","namespace"
"PARP4","143","PARP4","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KATNAL1","84056","KATNAL1","katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC7A5","8140","SLC7A5","solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD276","80381","CD276","CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSR","2936","GSR","glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD9","54793","KCTD9","potassium channel tetramerization domain containing 9 [Source:HGNC Symbol;Acc:HGNC:22401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNAPC2","6618","SNAPC2","small nuclear RNA activating complex polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:11135]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL27RA","9466","IL27RA","interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DENND3","22898","DENND3","DENN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KXD1","79036","KXD1","KxDL motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28420]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLEKHA8","84725","PLEKHA8","pleckstrin homology domain containing A8 [Source:HGNC Symbol;Acc:HGNC:30037]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GARS1","2617","GARS1","glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERPINE1","5054","SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CREB3","10488","CREB3","cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
